title,album,year,lyrics,urls
Are You Ready For Freddy,Coming Back Hard Again,UnKnown,"Freddy, Freddy, Freddy, Freddy -- Freddy!
Freddy, Freddy, Freddy, Freddy -- Freddy!
Freddy:
Freddy Krueger's the name
You know my game
Elm Street's the place
You got the time
Listen to this
You'll bust a rhyme
Fat Boys:
Fred Krueger the myth
Or Fred Krueger the man
Doesn't matter cause I'm still
Rapping bout him understand?
So sit back Jack, I'm gonna bust a rhyme
Grab a hold of your friends, it's Krueger time!
Freddy:
It's time for Freddy
See I'm a popular guy
If you don't know yet
You're gonna find out why
Fat Boys:
Well the place was Elm Street
Late one night
It lookin' like a ghost town
No one in sight
With a hat like a vagabond
Standing like a flasher
Mr. Big Time
Fred Krueger, dream crasher
Trying to find a girl to fit his fancy
Not once, not twice
But three times, Nancy!
All the people sleeping, snoozing and dreaming
While Krueger's on the corner of Elm Street scheming
Ha they better wake up and listen to this
Because the blades on Freddy Krueger's hands don't miss!
Nancy: D-d-d-don't fall asleep (asleep)
Chorus 1:
It's 1 AM, and Freddy's here, the supreme dream maker
The ""Master of Fear""
When you see night coming, stay away from the dark
Watch out for, Freddy, he'll bust your heart
It's 2 AM, and Freddy's here, the supreme dream maker
The ""Master of Fear""
When you see night coming, stay away from the dark
(Nancy: Fred Krueger, Mom. Fred Krueger!)
Watch out for, Freddy, he'll bust your heart
Freddy: I'm here...
Fat Boys:
Even if our dreams or dream warriors fail
And Mr. Big Time, Freddy Krueger prevails
It was just prime time, I know you'll never forget
What he did to the girl with the TV set
But you can't stop Freddy cuz he's cool as ice
Comes right back at ya to slash and slice
Like a Ginsu blade, like a blender, he'll blitz ya
Fred Krueger's putting on a ritz
Chorus 2:
It's 3 AM, and Freddy's here, the supreme dream maker
The ""Master of Fear""
When you see night coming, stay away from the dark
Watch out for, Freddy, he'll bust your heart
It's 3 AM, and Freddy's here, the supreme dream maker
The ""Master of Fear""
When you see night coming, stay away from the dark
Watch out for, Freddy, he'll bust your heart
Freddy: Thrillin'!
Young ones, old ones, yo mamas too
And if you don't watch out, I'm gonna thrill you too
So my advice to you is to... stay ready
'Cause you know who's back? Freddy!
You see my name is Freddy and I'm here to say
I'll wrap you up and take you all away!
So if you feel like your tired and ready for bed
Don't fall asleep or you'll wake up dead!
Chorus 2:
It's 3 AM, and Freddy's here, the supreme dream maker
The ""Master of Fear""
When you see night coming, stay away from the dark
Watch out for, Freddy, he'll bust your heart
It's 3 AM, and Freddy's here, the supreme dream maker
The ""Master of Fear""
When you see night coming, stay away from the dark
Watch out for, Freddy, he'll bust your heart",https://genius.com/Fat-boys-are-you-ready-for-freddy-lyrics
The Twist,Coming Back Hard Again,UnKnown,"Hee hee hee hee hee hee hee, Twist
Aah, we're back
Come on baby, let's do The Twist
Come on baby, let's do The Twist
Take me by my little hand and go like this
The party was packed, I'm talkin' back to back
There was a rapper that was rappin' to a beat that was wack
They was going through the motions out on the dance floor
An' when the rapper was done they wasn't yellin' encore
The people were tired of the same old groove
They wanted something def, something new and improved
Something easy to do but hard to resist
I got something for y'all, what do you call it? The Twist!
Come on baby, let's do The Twist
Chubby Checker and the Fat Boys, we're doin' The Twist
Take us by our little hands and go like this
We, we, we broke into the booth and the record stacks
Came up with The Twist and we were scratchin' the track
People started jammin' hard to the funky sound
Did The Twist down and up, then up and down
Then I heard somebody yell: ""Yo Chubby's here""
The people took a little pause just to stop and stare
He said: ""I'll show you people how to Twist with style
'Cause I've been doin' The Twist for a long long while""
Oh you should see Prince Markie Dee
Check out that Kool Rock is rockin' like me
Here comes B-Beat Box, come on, do it Buffy
Com' com' com' come on baby
Com' com' com' com' come on baby
Ooh ooh do do do The Twist
Ooh ooh do do do The Twist
Come on baby, let's do The Twist
Chub and the Fat Boys, we're doin' The Twist
Take the world by the hand and do The Twist
Chubby took my sister down to the dance floor
Did The Twist so def, the crowd yelled for more
So I pulled it with my mussle, did my flow with my coil
And when Buff did the Limbo we was rockin' the world
Come on baby, let's do The Twist
Chubby Checker and the Fat Boys, we're doin' The Twist
Take the world by the hand and go like this
Hey hey, England, do The Twist, Twist
And France, do The Twist, Twist
Ha ha ha, Holland, do The Twist, Twist
And Germany, do The Twist, Twist
And all over Europe, do The Twist, Twist, do The Twist, Twist
(Ha ha ha ha) come on baby
(Twist to the left, Twist to the right) let's do The Twist
(Twist up and down, Twist all night)
Chubby Checker (come on, come on) and the Fat Boys
(Come on, come on, come on, come on) we're doin' The Twist
(Come on, come on, come on) take us by our little hands
And go like this
Oh yeah, and do The Twist
Yeah, just like me
Ooh yeah, and do The Twist
Oh yeah",https://genius.com/Fat-boys-the-twist-lyrics
Wipeout,Crushin’,1987,"Heheheheheheee Wipe out

Wiping out wipe out
Wiping out wipe out
Wah wah wah
Wiping out wipe out
Wiping out wipe out
Wah wah wah
Wiping out wipe out
Wiping out wipe out
Wah wah wah
Wiping out wipe out
Wiping out wipe out
Hey watch out
Here we go here go
Wah wah wah
Wiping out wipe out

For three years straight we toured the nation
When we get through we needed a vacation
We wanted to party and get a little rest
So we packed our things and headed out west
We got our surfboards took the beach ball out
Jumped in a limousine ready to wipe out
Now we're ready to go
Here we go here we go
One one two one two one two hit it D
Here we go
We got to California I said headed for the beach
There were girls galore all within our reach
There was sand and sun and lots of fun
But when we get there the fun really begun
So we cut on the box and started to shout
It was the Beach Boys rocking huh huh the ""Wipe Out""
Oo oo
Ooo ooo
Oo
Oo
Oo oo
Wa-ah-ah-ah wawawa-ooh-oo
Wa-ah-ah-ah wawawa-ooh-oo
That's it, that that that's it dit dit dit dit dit
Hit it D
The sun went down and the night began
We was rapping for the people cold chilling bopping
We was partying hard making lots of noise
When around the corner came the real Beach Boys
So we all jumped up and started to shout
""Let's all sing the song called the 'Wipeout'""


Stay go stay go stay go
Bring it out now",https://genius.com/Fat-boys-wipeout-lyrics
Protect Yourself/ My Nuts,Crushin’,1987,"Intro:
Yo, Kool, man. I'm tellin' you, man. There's a lot of disease out there, man
Word
AIDS and everything, man. So, you got to be careful, man
Word up
Yo, so we wanna tell all the homeboys out there that this is a message coming from The Fat boys
You know what I'm sayin'? And it goes like this:

Now, there's somethin' real old, but still hot news
Been around since Lincoln, but out of view
You stuff it in your wallet so your mom can't see
It's called a condom, baby - And you better believe
It ain't under the shelf now it's on display
With all these diseases going around today
You need a piece of mind when you do the wild thing
So, a condom, brotha' - Don't forget to bring
Hook:
Protect yourself
Word
Protect yourself
Get busy
Protect yourself
Markie Dee, can you get funky one time
Now, check this out. Listen to me real clear, now:

Now, if what I say sounds a little bit sleazy
If using a condom makes you feel kinda queasy
Don't take it too hard, 'cuz there's no doubt
That modern diseases can take you out
So, don't be ashamed - take one when you go dancin'
And use the condom for a little romancin'
'Cuz being safe don't mean you're weak
And you won't find yourself up the creek
Hook:
Protect yourself
Word
Protect yourself
Homeboy!
Protect yourself - My man, if I was you I'd...
Protect yourself
Hit It!

Change up:
Aw, yeah, yeah, yeah, yeah!
Yo, let's get stupid, y'all!

Yo, homeboy, you seen 'em?
Seen who?
My nuts, man. Who you think?
Aww...
Oh, forget it, forget it. Here they come now...
Who? Who?!

Hook:
My nuts!
There go..
My nuts!
Word up!
My nuts!
They're...
My nuts!

Yo! Me and my nuts are a real def freak
They don't do nothing else but hang with me
We're a real good team on the football field
And if my nuts have trouble...
Yo, he gets ill!
We're real close friends, as you can see
And my nuts are big and round like me
One is black and the other is white
And if that looks dumb...hey, that's all right - They're...

Hook:
My nuts!
They're...
My nuts!
Talkin' 'bout...
My nuts!
What's up?
My nuts!


I went for a run
With who?
My nuts
All around the block?
Took no short cuts - Ran all the way home
Busted down the door
And my nuts were draggin' all over the floor
Now, don't go thinkin' my nuts are sore
They got my back when I go off
They're in my corner when times are rough
And if you're in a jam, I'll let you hold...

Hook:
My nuts!
Talkin' 'bout...
My nuts!
They're...
My nuts!
They're...
My nuts!

Now, I take my nuts to every show
And when I go, I let ya' know
That if you dare to fight my nuts
You gotta fight me, too
And he'll smack you up!
Knock out your gold teeth
Gon' break your jaw
Yo, me and my nuts are down by law
Get a girl so fast, homeboy, you'll get dizzy
Me and my nuts get busy, busy
Now, listen to my nuts 'cuz they're my word
And talkin' nuts, you never heard
But, now I see you're gettin' red
But, it ain't Markie Dee buggin' out the head
But, check this out if you have doubt
'Cuz Kool and Buff are the nuts I'm talkin' about
They're...

Hook:
My nuts!
They're...
My nuts!
They're...
My nuts!
I said they're...
My nuts!",https://genius.com/Fat-boys-protect-yourself-my-nuts-lyrics
Making Noise,Crushin’,1987,"Intro:

Answer me one question: Can you serve any MC?

No!!!

1987, Markie Dee and Kool Rock - get'n busy

Prince of rap rhymin' - Any title I'll snatch
When I'm through with your crew, bring a brand new batch
Line 'em up and then the termination starts
Step aside if you're a sucka' that has no heart
'Cuz I go to a party just to rap and dance
When I'm done, I play the  and strike the B-boy stance
Have my tool at my side for those I don't trust
And when the party gets boring, I call it a bust
'Cuz I'm the prince of   and serving fear
Got a punch that'll knock ya' into next year
Gotta rhyme it when I say it - I'm sure you'll agree
That the prince of rap rhymin' is Markie Dee
So, bust that
Get'n funky
In the place get'n busy
B-r-rip...Bust it! B-r-r-r-ust it!

The power-lord of rap is about to speak
So, hail to the words of the mighty chief
And all duck MCs who thought I was soft:

Step back while the mighty Kool Rock goes off

Stimulatin', motivatin' with the rappin' skill
I can never be beaten; that's the way I feel
Try to take what's mine, you will be slain
My job is to rap and that's my claim

So,    he's the best you heard

I can speak with soft or duelin' words
I can act like a sucka', a punk, or a duck
Or I can act real hard and just rough you up
There ain't no tellin' what I'm gonna do next
So, don't you wink or even flex
Just glide with the rhythm and flow with the beat
And watch the Rock get busy on the m-i-c
Word!

Get'n funky - in the place!

Word!

Well, I...Well...B-r-rip-dip

Well, I climbed the highest mountain, swam the deepest sea
And I've yet to find a rapper that can deal with me
But, my position is  prince of rap rhymin'
Bustin' A's in skill, ability and timin'
Finesse and grace, with talent and poise
And ya' know, when at a party, Markie Dee makes noise
I'm a well-known rapper; B-boy style poet
And if ya' didn't know, then I'm lettin' you know it!
I'm droppin' MCs - Cold knockin' 'em out
And you'll never go the distance in a one-round bout
See, I recite a funky lyric - A rapper, I boast
I put eggs and bacon, and eat 'em like toast!
Perpetratin'   to use the name ""Prince""
You're a duck and a sucka' without any sense
'Cuz the prince of rap rhymin' - Who else could it be?
But, me...Mark...Markie...Markie Dee

Word!

In the place to be

But, uh...Well, I...Well, I

B-r-r...b-r-rip...Bust it!

Well, I'm a highly intellectual rhyme reciter
A verbally speakin' hip-hop professor
A super entertainer and original rhyme writer
My name is Kool Rock and I'm a lover, not a fighter
The top-o-the heap at the fullest peak
Gettin' stronger and stronger while the rest get weak
So, you better call the army    

'Cuz Kool Rock-ski is on a rap rampage!

The darkest MC you ever saw
Got gold on my neck and rhymes galore
Got the power of a  and I can't be stopped
I'm a MC dream and the cream-o-the crop
Bust that!
Word!

In the place get'n busy

Know what I'm sayin'?

1987 makin' much noise!

Ya' know it, ya' know it

B-r-rip, b-r-rip, b-r-rip, b-r-rip...Bust it!",https://genius.com/Fat-boys-making-noise-lyrics
Rock Ruling,Crushin’,1987,"Hook:
Fat Boys
Let's go
Fat Boys - Rock rulin' around the clock
Let's go
Fat Boys - Rock rulin' around the clock

I rule supreme, I rule divine
Rock the hands off a clock and go for mine
'Cuz my name is Markie Dee - Makin' heads twirl
No ifs, ands, or buts - I rule the world
See, I've taken rap music and sewn it up
'Cuz I'm the ruler of the rhyme and ruler of the cut
And under the greatest pressure, I keep my cool
I amaze myself - I rule

Hook:
Fat Boys
Let's go
Fat Boys - Rock rulin' around the clock

Now, I go to work with food galore
And I'm always frontin' on stupid chores
I keep everybody full of motivation
I love my job, it's like a vacation
And if what I do makes you laugh,too
Keep your eyes on Buff, he's never blue
We may be at the bottom, but we're still coolin'
We're badder than bad and we're rock rulin'!

Hook:
Fat Boys
Let's go
Fat Boys - Rock rulin' around the clock


Now, the money I make
Ain't very large
But, I ain't no personnel
I'm still in charge
My boss gets mad
And calls me a fool
'Cuz every now and then
I bend the rules
But, even if he's always got me runnin'
I still find the time to get my fun in
Around the clock is when I'm recordin'
Now, all day long...
We're rock rulin'!

Hook:
Fat Boys
Let's go
Fat Boys - Rock rulin' around the clock

(((Beat boxing)))

Hook:
Fat Boys
Let's go
Fat Boys - Rock rulin' around the clock",https://genius.com/Fat-boys-rock-ruling-lyrics
Baby You’re a Rich Man,Disorderlies (Original Motion Picture Soundtrack),1987,"How does it feel to be
One of the beautiful people
Now that you know who you are
What do you want to be
And have you traveled very far
Far as the eye can see
How does it feel to be
One of the beautiful people
How often have you been there
Often enough to know
What did you see when you were there
Nothing that doesn't show
Baby you're a rich man
Baby you're a rich man
Baby you're a rich man, too
You keep all your money in a big brown bag
Inside a zoo, what a thing to do
Baby you're a rich man
Baby you're a rich man
Baby you're a rich man, too
How does it feel to be
One of the beautiful people
Tuned to a natural E
Happy to be that way
Now that you've found another key
What are you going to play
Baby you're a rich man
Baby you're a rich man
Baby you're a rich man, too
You keep all your money in a big brown bag
Inside a zoo, what a thing to do
Baby you're a rich man
Baby you're a rich man
Baby you're a rich man, too",https://genius.com/Fat-boys-baby-youre-a-rich-man-lyrics
Fat Boys,Fat Boys,1984,"Fat (fat, fat) Boys

Now, we may be a little chubby, but don't feel slump
We guarantee ya' one thing; we can surely come
To the party, and rock the house
As we harmonize, and start to turn it out
So bust a fresh move, and take it from me
Listen to the fresh sound of the 
Disco Three
Ha, ha!


Prince Markie Dee (Kool Rock-Ski)
The Human Beat Box providing the beat
One-thousand pounds put all together
The disco brothers to last forever
And as we enter the room, you know the crowd starts waking
The crowd starts breaking
And my voice starts shaking to the funky rhythm
Of a beat so fast
To bust a fresh move to the rhythm of rap, Markie Dee

Now I'm Markie Dee, but you can call me the prince
And I have a slight problem
That I couldn't solve since I'm overtired
See I over ate
At a steady pace rate
Yeah I'm overweight
But it ain't no thing
Cause I'm always fresh
And guaranteed to pass any emcee contest
Like M&M candy will melt in your hand
So be a real live lover in where I stand
Now to some it might be funny
And some sort of boring
But listen to the words as I tell my story
Now it started out when I was very small
I devoured chocolate cake, plates, candles and all
For breakfast, it was teaser five pounds of bacon
And halfway through by stomach started shakin'
Toast on the side five gallons of juice
And that was just for breakfast when I start to get loose

Fat Boys
You know they're down by law
Fat Boys
They givin' you much, much more

Now my name is Kool Rock
Last part is Ski
And I am the captain rocker of the Disco Three
You see I get pizzaz, style, and grace
Just one slight problem; I'm a little overweight
But my walk is funky
My golden pop
Every time I touch a girl, they always yell stop
Because I'm down by law
I'm the king of the 
slop
But I know one thing my heart keeps inside
Says do the right thing and you will survive
People still put me down 'cause I'm the rest of the town
But I got one thing that's hard to beat by
I got class, yes; that's right, ladies
I'm a little overweight but
I'll pass, huh
I'm like glass
Yes I'm easy to break and if you get me wrong
Thats a chance to take
Yes my word is bond
And that's no mistake
Yes, you've heard my words
And that's my rap
So party people lock on to the beat called fat
The beat called fat will rock the spot
So party people rock on
To The Human Beat Box


To all the ladies in the place
I'm the prince of ease
And you have to scream please
If I'm on the freeze
Go below zero or steamin' hot
'Cause if you mess with the Prince, you're sure to get shot
'Cause I'm a ladies' man, a number one choice
Nominated five times for my platinum voice
Five foot eight, I got hazel eyes
And if you think I'm soft, you're in for a surprise
'Cause I'm hard as a rock and my name ain't Tom
Trying to battle me is like defusing a bomb
The red wire, the orange, the purple and blue
One emcee ain't enough, you're gonna need two
To beat me, so here's your chance
Get in your stance, make a little romance
Smoking things from plants
Taking pictures, I'm not a freelance, baby doll
Dominating emcee
And when I'm on the stage the ladies scream for me
We're fat We're fat
We can never be wack
And if you go for that
Then we'll be back",https://genius.com/Fat-boys-fat-boys-lyrics
Human Beat Box,Fat Boys,1984,"Brrrrrr stick 'em
Ha ha ha stick 'em
Brrrrrr stick 'em
Ha ha ha stick 'em
Brrrrrr stick 'em
Ha ha ha stick 'em
Gonna rock the beat box in a fresh funky rhythm
Now with a mind blowing body rocking D-3 MCs
To all the homeboys and the young ladies
We’re gonna rock a fierce beat with the Human Beat Box
And to the sucker MCs: jump off our jocks
His DJ name is Grandmaster Doc Nice
And we’ll repeat it if we have to – once or twice
We’re gonna take it from the bottom and straight to the top
So check it out party people – it’s the Human Beat Box
And as we told you before, he is the grandmaster
The man with the beats to cause a disaster
The man who’s overtop, guaranteed to rock
From a positive source, it’s the Human Beat Box
With a million watts of power coming out his mouth
Making all the young ladies want to scream and shout
With a thousand beats for every day of the week
So come on Beat Box – play one for me
You now the passion is great
The beats are clear
The people are drawn
From far and near
We’re fierce
Fresh
Kicking it live
And we’re pumped at the party from 9 to 5
So if you want a sound that’ll fit you to a tee
Listen to the sounds of the Disco 3",https://genius.com/Fat-boys-human-beat-box-lyrics
Jail House Rap,Fat Boys,1984,"In jail, in jail
In jail, in jail, without no bail
In jail, we're in jail because we failed
In jail, in jail, without no bail
In jail, we're in jail because we failed

Now there was just one day that I will never forget
I got jailed for something that I'll always regret
It was twelve o'clock, midnight and I wanted a snack
So I headed downstairs, thought the fridge was packed
But when I opened the door, what did I see?
The back of the fridge staring right at me
I thought to myself I could almost die
Then an image appeared, a pizza pie
So I put on Adidas, headed out the door
As I pictured myself eating more and more
But the store was closed, I busted into a rage
So I went to the crib and got my twelve-gauge
Ran back to the shop, busted won the door
And all I saw was pizza galore
So I stuffed my face, I couldn't even walk
I couldn't laugh, smile, shake, giggle, wiggle, or talk
So I fell asleep with my face in my plate
And the next thing you know, I was headed upstate

In jail, in jail, without no bail
In jail, we're in jail because we failed
In jail, in jail, without no bail
In jail, we're in jail because we failed

Well, Kool Rock is my name, last part is ""-Ski""
And I have the worst case of any MC
But listen to the story cause it's kind of strange
When I had this sort of hunger pain
Walking down the street with the bass of my box
With my stomach growling like a hungry fox
When I saw this scene or was it a dream?
A big restaurant sign called Burger King
So I went inside, started stuffing my face
Didn't even think about the things I ate
But when the bill came up, boy, was I shocked
I said, ""I don't pay for nothing, I'm the King of the Slops!""

In jail, in jail, without no bail
In jail, we're in jail because we failed
In jail, in jail, without no bail
In jail, we're in jail because we failed

But when our time is through, we'll rock you and you
We turn parties out, make you scream and shout
We're not demanding or very outstanding
We got something unique and in the middle he's standing
On the microphone, he rocks and shocks
Homeboys and girls, it's the Human Beat Box


Now I'm sitting here alone looking at the wall
Just thinking about how I took the fall
I thought I was cool, I thought I was slick
And now I'm writing letters of being homesick
I lost my freedom when I heard the door slammer
And now I'm breaking rocks with a big, heavy hammer
I used to drive the streets with my big car
And now I look and all I see are bars
(In jail) Everyone's the same
You only survive if you play the game
You don't have knives, you don't have guns
And now you remember you're your momma's son
You made her cry and stay up all night
Coming home high, just leaving a fight
You always made her feel that you were better
But now you're a little boy just waiting for a letter

In jail, in jail, without no bail
In jail, we're in jail because we failed
In jail, in jail, without no bail
In jail, we're in jail because we failed",https://genius.com/Fat-boys-jail-house-rap-lyrics
