title,album,year,lyrics,urls
React,React,2002.0,"Just Blaze, yeah
Check me out now
Yo, yo, yo, yo
Check me out now
Yo, yo, yo
Let me hear ya say
(Kisi ko) Uh huh
(Khudkushi ka) Uh huh
(Shok ho tow) Uh huh
(Kya kare?) Yeah
Put your hands in the air everybody, c'mon
Where them dogs at? (*Roof roof roof roof roof*)

I'm immaculate, come through masculine
Wide-body frame, E-Dub's the name whoa
In the field of rap, I'm superb, I'm fly
I should be in the sky with birds (*caw caw caw*)
I ride twenty inch rims when I lean yo
('Ey yo them tens, nigga)
I know, I keep 'em clean though
Come through storm the block like El Niño
Scoop up an Arabic chick before she close
She goes (Kisi ko)
Those my people
(Yeah them broads from Puerto Rico, them Keith's folks)
Yeah watch how the E locs 64
Black rags, black interior, shift on the floor
Burn out, I do it for the kids
They're hopping the turnstile, the E going wild
(Yo like them White chicks on a DVD?)
Yeah I'm worldwide, 
MTV
 
and BET
, nigga

(Kisi ko khudkushi ka shok ho tow uh huh kya kare?)
Whateva' she said then I'm that
If this here rocks to y'all then react
(Kisi ko khudkushi ka shok ho tow uh huh kya kare?)
Whateva' she said then I'm that
If this here rocks to y'all then react

Do I gotta go ape or go nutty
I leave your eye like a 9-9 Benz-buggy, puffy
Brick niggas get real ugly
Trust me, keep your four if you feel lucky
Mug me, I ain't got nothin' but four figures
And weed and hash chopped in the coffee blender
My shots like squeegee men on your window
Usual Suspect, I'm the crippled member
Get away when I sat down in the office
Heat in my lap keep me walking awkward
While y'all talk it, the doc reinforce it
The mic, it's hard to keep my paws off it
Your bitch is my bitch when it's over
No Cristal, I pulled up a King Cobra
Out in the Nova, don't bother
My Nino Brown bust, it'll shut down the corridor

(Kisi ko khudkushi ka shok ho tow uh huh kya kare?)
Whateva' she said then I'm that
If this here rocks to y'all then react
(Kisi ko khudkushi ka shok ho tow uh huh kya kare?)
Whateva' she said then I'm that
If this here rocks to y'all then react

Hey yo Red, he's over (Word?)
We the shit right now
Watch this (*applause*) told ya
Chi-chi-chi-chi-chi-chi-chi-chi-chi-chilling
(I'm Milk) I'm that kid Gizmo, we Top Billing

Yo, when the roof is on fire, believe it, it's me
Sparks when I rock the mic like Sigel and Free
When the pen hit the pad, the evil in me come out
Total Recall for people to breathe
I got dogs in the backyard shitting in lawns
(We got chickens ain't leaving till six in the morning)
Round and round we go, circle the area
(Leave the party, go straight to the Marriott)
Do-si-do with cowboys where they saddle at
(Rodeo with twenty-fours on the Cadillac)
(What yo name is?!) R.E.D
Crack cost money (but the E is free) yeah

(Kisi ko khudkushi ka shok ho tow uh huh kya kare?)
Whateva' she said then I'm that
If this here rocks to y'all then react
(Kisi ko khudkushi ka shok ho tow uh huh kya kare?)
Whateva' she said then I'm that
If this here rocks to y'all then react

(Kisi ko khudkushi ka shok ho tow uh huh kya kare?)
Whateva' she said then I'm that
If this here rocks to y'all then react
(Kisi ko khudkushi ka shok ho tow uh huh kya kare?)
Whateva' she said then I'm that
If this here rocks to y'all then react",https://genius.com/Erick-sermon-react-lyrics
Music,Music,2001.0,"(Just like music..)
Uh-huh, aiyyo yo, uh-huh yeah yeah, uh uh uh
There's no doubt, no doubt, no doubt, uh
Worrdd up..
(Ahhh babyyy...)
(Just like music...)

To relax my mind, so I can be free
And ab-sorb sound that keep me 'round
Doin my thang, constantly with no worries
Peace to Keith Murray.. (""just like music"")
To keep me flowin and keep me goin
And keep me growin, and keep me the E from knowin
What happens out there, is not my concern
You wanna die it's not my turn (""just like music"")
To do somethin to me like jump in the Mercedes
On the highway, doin over eighty
Without music baby..
 (""Oww! I'll go crazy.. just like music"")
Make me call my homey on the phone
Like there's somethin new out, that got me in the zone
Just that feelin, got me
I wish music can adopt me (""just like music"")

Turn on some music, I got my music
Turn on some music, I got my music
Turn on some music, I got my music
Turn on some music, I got my music - just like music

Put me in the mood with my woman
Got me in the ear, sayin sweet nothings
Make love come out the mouth, no frontin
Like all of a sudden, (""just like music"")
Takin away your worries and cares
Any problems, music'll be right there
Together match yo, we a perfect pair
Is that true Marvin? (""Yeahhhhh! Music"")
Yo, to get you to bang this
Body soul-snatcher, universal language
It be the light, so open up
This is it, what the fuck? (""just like music"")
One fly tune
That have black and white vibe in one room
No confrontation, parlay all night
It's just the sensation (""just like music"")


Music is the soul of the man
Music makes a, happy day
Music makes a, cloud flow by baby
Your music is my tears in-side my eyes (just like music)
Your music makes me want to sing
Girl music, is a joy to bring (just like music)
Music is my heart and soul, more precious than gold
(Turn on some music, I got my music)
Happiness for days, 
justice all the way
(Turn on some music, I got my music)
I love your music baby (I got my music)
(Turn on some music, I got my music - just like music)
 {​Repeats and ​​​​​​fades}​​​​​​​
Hey (la-da-da-da-daaaa-dah-dah-dahh) doo-doo, doo-doo-doo
Turn on some music (la-da-da-da-daaaa) turn on some music
Just like music (la-da-da-da-daaaa-dah-dah-dahh) doo-doo, doo-doo-doo",https://genius.com/Erick-sermon-music-lyrics
Maintain,Don’t Be a Menace to South Central While Drinking Your Juice in the Hood - The Soundtrack ,UnKnown,"C'mon, clap your hands, wind it up (x6)
Hush, I'm comin thru with the bum rush
Feelins forced style, Adidas, Cold Crush
What? My style's ridiculous
Who's gettin wit that spectaculous, miraculous?
Word to Lexus, I'm from New York
I'm flowin like Dom P so unpop the cork
Now feelin me for real do'
I'm the one who came from the back and blew the brains out of Al Pacino
(Word up) Welcome to this rendition
Of lyricism, I'm on a Doug E.Fresh mission
Somebody stop me, I'm outta control please
Before I do autopsies on these MC's
Open em up, they hollow on the inside
No heart pumpin, their organ missin somethin
Trueness, yeah they get no props
Without Das I come with the Real Hip-Hop
I maintain
I hold it down, so gimme that microphone
And lounge homeboy, you in the danger zone
When a brother like E is on the microphone, uh
I maintain
I hold it down, so gimme that microphone
And lounge homeboy, you in the danger zone
When a brother like E-D is on the microphone
Hold up, how y'all tryin ta play me, uh
When I paved the way for y'all punks to MC
You're not hard, ol school pull your card
Wit the quickness, chump 
and have Jehovah Witness
Agony of defeat on the street
In front of your crew diggin, in front of your main chicken
Oooh, it's more than meet the eye, oh my god
Somebody got shook by a hardcore mirage
Speak on it, I get busy every week on it
DIE E-I, I sing and get unique on it
The miracle child, the chosen one
(POOF) Behind the Def Squad come the truth
There chill, I got that microphone
So lounge homeboy, you in the danger zone
I can't believe, I come with the mad degrees, boy
Freakin the funk with extra shit up the sleeve, uh
I maintain
I hold it down, so gimme that microphone
And lounge homeboy, you in the danger zone
When a brother like E is on the microphone, uh
I maintain, huh
I hold it down, so gimme that microphone
And lounge homeboy, you in the danger zone
When a brother like E-D is on the microphone, word",https://genius.com/Erick-sermon-maintain-lyrics
Clutch,E.S.P (Erick Sermon’s Perception),2015.0,"I'm the type of nigga you need in the clutch
Anybody disrespecting the brand they get touched
Def Squad, Wu we coming through
 
can't you tell a
Bunch of niggas walking down the block like it's Selma
But we strapped with an automat'
Just in case they act up we fighting back
Sorry Martin, I ain't the one starting, I'm home chilling
I gotta cook and do homework with my children

But I'm back at it, rhyme and beat making
This dope like a habit, these cats got to have it
The MP breakdown, I'm beating on the tablet
I ain't letting no one breathe, go ask Fabolous
Enough's enough, the stuff y'all releasing
Had to call Method Man up to start beasting
Everybody scared to speak up
What you afraid of, you don't wanna get beat up?
Fuck it, you suck, I said it
Ease up, I'm not Tyson but it hit you it 
freeze ups
Schwarzenegger
I got a cop lady-friend that gave me a tazer
So I'm gon go to jail for life for killing a hater
So while I'm in the streets I'm getting paper
Locking down the blocks don't fuck around and get shot homie
Duke you soft, comforter
These chicks ain't loyal my homeboy, he humping her
Fuck y'all

I'm the type of nigga you need in the clutch
Anybody disrespecting the brand they get touched
Def Squad, Wu we coming through
 
can't you tell a
Bunch of niggas walking down the block like it's Selma
But we strapped with an automat'
Just in case they act up we fighting back
Sorry Martin, I ain't the one starting, I'm home chilling
I gotta cook and do homework with my children, Meth

E, check they persona non grata
Prizing in the game one nada
I guzzle Ghost Lager
You steal a 40 thief, Ali Baba
Corner store robber I feel sorry for your mama
I'm a menace, a monster
Meth lab chemist with the contra, no limit
They only see murder they ain't in it
Imposters, pop one minute then they mobsters
We get it
Pretend it went pop or it's hot, love pretending
I ain't playing the fun ended
Still not a player like Big Pun, no pun intended
We in these tenements, big guns second amendment
Gives you the right to bear one, I recommend it
You timid, here's a middle finger, you finished
This other middle finger's for anybody offended
Them gimmicks, see I spot 'em just like a blemish
I criticize the image, cause everybody's a critic

I'm the type of nigga you need in the clutch
Anybody disrespecting the brand they get touched
Def Squad, Wu we coming through
 
can't you tell a
Bunch of niggas walking down the block like it's Selma
But we strapped with an automat'
Just in case they act up we fighting back
Sorry Martin, I ain't the one starting, I'm home chilling
I gotta cook and do homework...

Yo, welcome everyone to my thoughts
I carry the hammer like judge in court
The streets them gone wild
Right through the cannabis plant
And when I chant every verse you can actually see the sound cloud
Wow, Redman you done grown up
Grown man do grown man shit what you expect
Rap and drug dealing, the same thing
The strength depends on yo' connects, I was taught well
Never wrote a verse sitting in a cell
But I'm cold with it, a little sickle in his cell
Chicks love a nigga they tripping on his cell
And I tell 'em my album out, hit me with a sale
My bruh said when I rap, talk to 'em
I said cool I might as well, harpoon 'em
I got a gun from x boxing on
Women and step kids they gotta duck when the step pops
That's why I'm international
Tryna turn up and get beat down, this is hip hop
You wanna walk in my shoes, I'm like
Pardon you I got Jordans on, and them are flip flops

I'm the type of nigga you need in the clutch
Anybody disrespecting the brand they get touched
Def Squad, Wu we coming through
 
can't you tell a
Bunch of niggas walking down the block like it's Selma
But we strapped with an automat'
Just in case they act up we fighting back
Sorry Martin, I ain't the one starting, I'm home chilling
I gotta cook and do homework with my children",https://genius.com/Erick-sermon-clutch-lyrics
Hostile,No Pressure,1993.0,"Erick Sermon is coming up... I see him! I see him!

Word up
""You're quite hostile...""
""I got a right to be hostile!""

Ladies and gentlemen, are you ready
Help me bring to the stage the grandmaster
The undisputed heavyweight of hip-hop
The Funklord, you know him as the Green Eyed Bandit
Ladies and gentlemen... the MC Grand Royal
Erick Sermon!

It's the E Double (who?) The Funklord, god damn
Yo I'm swingin more shit than Tarzan (word em up)
I freak the ill tactics cause I'mma ghetto bastard
Some say my rap style is drastic
Whoahh, I tear the frame out the microphone
Daddy's home, the owner of the chrome (yeah yeah)
Yo, my concepts is wicked; even the wicked witch
Couldn't get with the switch, the ugly bitch (word em up)
Time to reach my peak this week, and rock a ill technique
So y'all can freak out like Chic
The undercover from Brentwood, yes I'm doing awesome
You wanna see me call Steve Austin (hehehehehe)
For your protection, go sit in the R&B section
For this session
Cause I'm real deal boy you better believe it word
Straight from the Boondocks, a.k.a., the suburbs
Peace to the underground, where I create my sound
That's more doper than ""Spellbound"" (word)
My time's up, so what the fuck slouch? (YEAH)
I'mma be back, for now I'm out (word up!)
""You're quite hostile...""
And now ""I gotta right to be hostile!""
Introducing, the man with the flyest transparent style on the planet
""You're quite hostile...""
""I gotta right to be hostile!""
Straight from L.O.D., Kirkland Ave
""You're quite hostile...""
The one and only Philly Blunt King
""I gotta right to be hostile!""
""You're quite hostile...""
""I gotta right to be hostile!""

Keith Murray's, comin from the North South East and Left
Rhymin to death, makin the world want to take a deep breath
With a body boom bash
My paragraph portrays dual human behavior in a psychopath
Ooooh, I might lose my cool, and break fool
And pull out my get busy tools
I write like a mad journalist
To funk, that's deeper than a bottomless spliff (that's my word)
The most beautifullest thing in this world
Is my notion, for murderous poetry in motion
And the illiotic shit I come across
Form a leash you're trapped in with explosive force
I push your head through the cracks of sanity
And leave your brain doin a bid in purgatory
It's ninety-six degrees in the shade
Before I catch blood on my blade
I take my frustration to the stage
And gets open dope and stupid bumpin rumblin tracks
When I rap my jams be packed like a laundromat
My context'll wreck your whole concept
Cause my delivery is so complex
And I'm inter-galactic on plastic
With the super distinguished shit I kick
I'm high strung at the top of my lung
With my tongue makin hardcore niggas wanna get dumb
My dialogue comes straight from the slums
Damaging your medula, cerebrum and cerebellum
If ya got a crew ya better tell em

(""Hostile"" sample set repeats in background)
Ladies and gentlemen, what you've just witnessed
Is the incredible skills of Erick Sermon.. and Keith Murray
Coming to an album near you soon
This has been another Erick Sermon production
This is Jeff Stewart signing off, and until next time saying...
GOD DAMN!!!",https://genius.com/Erick-sermon-hostile-lyrics
Music (feat. Marvin Gaye),UnKnown,UnKnown,"Just like music..
Uh-huh, aiyyo yo, uh-huh yeah yeah, uh uh uh
There's no doubt, no doubt, no doubt, uh
Worrdd up..
Ahhh babyyy..
Just like music..
To relax my mind, so I can be free
And ab-sorb sound that keep me 'round
Doin my thang, constantly with no worries
Peace to Keith Murray.. (""just like music"")
To keep me flowin and keep me goin
And keep me growin, and keep me the E from knowin
What happens out there, is not my concern
You wanna die it's not my turn (""just like music"")
To do somethin to me like jump in the Mercedes
On the highway, doin over eighty
Without music baby.. (""Oww! I'll go crazy.. just like music"")
Make me call my homey on the phone
Like there's somethin new out, that got me in the zone
Just that feelin, got me
I wish music can adopt me (""just like music"")
(Chorus: Marvin Gaye)
Turn on some music, I got my music
Turn on some music, I got my music
Turn on some music, I got my music
Turn on some music, I got my music - just like music
Put me in the mood with my woman
Got me in the ear, sayin sweet nothings
Make love come out the mouth, no frontin
Like all of a sudden, (""just like music"")
Takin away your worries and cares
Any problems, music'll be right there
Together match yo, we a perfect pair
Is that true Marvin? (""Yeahhhhh! Music"")
Yo, to get you to bang this
Body soul-snatcher, universal language
It be the light, so open up
This is it, what the fuck? (""just like music"")
One fly tune
That have black and white vibe in one room
No confrontation, parlay all night
It's just the sensation (""just like music"")
(Chorus)
(Marvin Gaye)
Music is the soul of the man
Music makes a, happy day
Music makes a, cloud flow by baby
Your music is my tears in-side my eyes (just like music)
Your music makes me want to sing
Girl music, is a joy to bring (just like music)
Music is my heart and soul, more precious than gold
(Turn on some music, I got my music)
Happiness for days, justice all the way
(Turn on some music, I got my music)
I love your music baby (I got my music)
(Turn on some music, I got my music - just like music)
Hey (la-da-da-da-daaaa-dah-dah-dahh) doo-doo, doo-doo-doo
Turn on some music (la-da-da-da-daaaa) turn on some music
Just like music (la-da-da-da-daaaa-dah-dah-dahh) doo-doo, doo-doo-doo
Turn on some music (la-da-da-da-daaaa) turn on some music
Just like music (la-da-da-da-daaaa-dah-dah-dahh) doo-doo, doo-doo-doo
Turn on some music (la-da-da-da-daaaa) turn on some music
Just like music..
{*fades out*}",https://genius.com/Erick-sermon-music-feat-marvin-gaye-lyrics
Tell Em,Double or Nothing,1995.0,"You about to come through right?
(Yeah, I'll do it, man, don't stress me.)
You about to come through
(I got this. Check this out, man.)
You ain't gonna front on me
(I ain't gonna front on niggas, man.)
Make sure, man, I'm tellin' you right now
(Check this out, what, I'm about to do it right now.)
People gonna lookin', man, word up. Ha

Personal gats, I gots about 11
Without weapons, I swing more bats than K7
Plus, I'm soup like Campbell without Tevin
Some rappers pack naked guns like Frank Drebin
In this century, I uphold the crown
For bringin' flavor in the ear plus for gettin' down
I maneuver techniques for species of all kinds
The third, yours and mine
An abduction is in full effect
I come with the mothership and with some other shit (Yeah)
All the way live like a concert
The most respected brother, puttin' in some work, yeah

If you got a crew, you better tell 'em
E kicks rhymes from the cerebellum
Don't slip or you won't be around next year
(Slick Rick: ""Well, here's a little something that needs to be heard."")

Check the poetry in motion
From this bombazee smokin' bitch that get you open
It's mess if you tangle with my tresses
'Cause I possess gifts that's wickeder than hexes
That explode on the scene by all means
I be Flushing MC's like Queens
And none of y'all can see me
Got more Boom Boom than Mancini
Your style is strictly preemie
And I stomp with the big dogs
Off the wall with a crew that's rough enough to Rush Limbaugh
We stay strapped, part of Pack Pistol Posse
I represent through mind, soul, and body
In any form I'm doin' work over beat breaks
Now even cheapskates is peepin' my tape release date
Word born, I'm comin' in like a swarm then I'm gone
Before you can ring the alarm

If you got a crew, you better tell 'em
I kick rhymes from the cerebellum
Don't slip or you won't be around next year
(Slick Rick: ""Now here's a little something that needs to be heard."")

A-yo, catch this wordage bubonic plague
In your head, back, chest, arms, and legs
When I'm coming through grab your cranium for alternatum
Punk, I fades 'em subterranium
My subliminals mix with criminal chemicals
Got more milky syllables than alphabet cereal
Place your bet and your whole entourage will get wet
That's a promise 'cause the Squad don't make threats
I'm a graceful poet with sadistic ballistics
Above and beyond all that other bullshit
Linguistics aggressive antiseptic
Nerve-wreckin', concepted on consistent contestants
My deviant deliverance
Be leavin' MC's in a state of mal mid depressin' (Word up)
Damaging your medulla, cerebrum and cerebellum
You got a crew, you better tell 'em",https://genius.com/Erick-sermon-tell-em-lyrics
Stay Real,No Pressure,1993,"It's on breaker 1, 2 mike checkin'
Flexin no half steppin
When I release the funky weapon
Like Ricochet ping ping ping
I make fans fell it even when I sing
The green eyed bandit coming funky with the tune yes
I'm blowing up like Tom Berenger in Platoon
I'm playing kinda ruff like Zapp
Whapp and E-Double smack to all the crossover raps black
Who ain't down with the format
When you should be wearing khakis and not dress slacks
That's wack
You trippin you better wake up and smell the coffee
And then back up off me
I serious I can't believe some people letting frontiers in
And then compare them equal boy you must be buggin
You lucky you don't catch a slug in the chest in
From the Smith and Wessons
Change the out look
Change the cover of the book
You hip hop crook and give back what you took
It's the Funk coming at cha
So don't let the crossover catch ya
Boy stay real
II
It's on again yeah about the fake hip hop trends
For those who can't comprehend just ask your friends
They know the real deal of rap music no frontin
You can't be talking loud and saying nothing
You must be true to the game you understand
And if not I could kill you man
For being false plus extra fake on the tape
Talking hardcore when you soft like a piece of cake
You can't put nothing pass me that horrendous cause
I've been here since strictly business
The era of Eric and Rakim, Biz, Public Enemy, Run-DMC
Whodini, The Beasties, Stetsa, Fresh Prince and Jazzy Jeff LL
When he was rockin bells
Sucker which fake emcee is rearranging the structure band
The motherfucker. And don't let this happen again
Cause rap could be gone the wind
So stay real
III
Yes I'm back Black for those who might be confused
And lost and don't wanna pay the cost
Of me hardcore style type a human being
On the microphone when I be emceeing
Some fake the Funk and Main Source know it
How do I know cause MTV shows it
Clowns that should be beat down on the spot
And catching nothing but speed knots the bumbadots
I insist we veto all fake emcees and wanna be's
That's worst than the AIDS disease
So wake up Spike Lee Joint
And don't be a knucklehead and get to the point
With the Funk and pump up the volume
Make the wild tune to make the party boom
Peace to Redman the Rap Funkadelic
The only emcee that's compared to Erick because I'm real",https://genius.com/Erick-sermon-stay-real-lyrics
Set It Off (Breath of Fresh Air),Breath Of Fresh Air,2012.0,"Hands to the ceiling, yeah, we come to do work
Don't nobody move and nobody getting murked
Wrist covered in jewels, timepiece a small work
Diamonds screaming, ""Hallelujah,"" watch cost a small church
Get it how we live it
Spend it like we print it
Everything be tinted
We buy it, you niggas rent it
No, don't be offended, I give you niggas the business
Giving you bitches stitches, you would think I was a dentist
They label me a menace, A-Wax
Homie, you need that white, Ajax
We move em by the squares, eight-tracks
Swag on a mil, name even to the max
Racks on racks, yeah we all about that action
Bunch of bald yellowbone bitches, Toni Braxton
Take a hard hit to the face, Meeka Claxton
Your bitch up on my stick, 
when I hit I'm Reggie Jackson

We gonna get it popping in this motherfucker, get it popping
We gon set it off in this motherfucker, set it off
Hands in the air in this motherfucker, hands up
We don't really care in this motherfucker, don't care
Get your drinks up in this motherfucker, drinks up
Smoke that good shit in this motherfucker, smoke something
Get all that cake in this motherfucker, get money
Ain't nobody hating in this motherfucker, show love

Yes sir, I feel great and
Even if there's hate in the air, I'm still straight and
Even those saying we dead is my sake
It's the apple, this balloon won't deflate
Nah, not while I'm present
When you hear the E with Godson and Vic
It come out fly, whoever says it
And that's why I stay so Polo'd down, yup
My guns be the newest, my jeans be the bluest
Got bread like I'm Jewish, address me as mister
Chicks gather around like it's a Bar Mitzvah
Calling me daddy but I ain't Twista
Calling me poppa but I ain't Christopher
You checking out one of God's bestest
Something closer to justice, I'm bigger than Precious
History, boy, up in the making
If there's something left in the rap game, homie, we taking


I put the work out, Tae Bo
Hop out the Tahoe
They lost boys, still hype, Freaky Tah flow
Yeah, I know -- you getting money, you happy
Nigga, when you triple your work, then you get at me
They slipping on they pimping, I got the shottie, I'm limping
Hit eighteen no limit, you'll get it if you just listen
Like they gon' pay ten, I'm Sean pimping when I'm whipping
Gary Peyton; ten k? Sorry, Erick, I'll just keep spitting
I'm the best by far, they gotta keep their flow tighter
I hit the club, buy the bar -- no ghostwriter
Hit up the ma's dance floor, hold her close, tighter
And by tomorrow, wake up with no clothes by her
I'm so Fat Boy fresh
With that rap, boy -- you know that boy best
Swizzy on the beat, Erick Sermon a legend
Fred and Vico the future, what a weapon


I'm chilling in my Aston Martin with four doors
The top off, I feel like that bitch fell off
Niggas acting sick, well I make you niggas cough
Plus I'm riding clean, bitch -- I got them white walls
I'm chilling on a yacht with that billion dollar talk
That billion dollar walk, I got that billion dollar spark
I come from that gritty city up the New York
You niggas talking crazy, bet you niggas won't jump
But your money where your mouth is
Put your house or put your keys
I'm in this fucking game
And I do this shit for real
Two hundred and fifty million sold track record
You niggas talking crazy, you ain't got a hot record
Fresh",https://genius.com/Erick-sermon-set-it-off-breath-of-fresh-air-lyrics
Bomdigi,Double or Nothing,1995.0,"Intro:
I'll just sway...
This's the way it goes down
Def Squad
Nine-pound
Check this here
Verse One:
The E gets wicked, no need for the biscuit
The green-eyed funkdafied brother coming wicked
I sets the party off just like Tanqueray
The Funk Lord, nobody else could swing this way
I put the loc to the motion, drop the funk coast to coast and
I Buck like Shot, cuz I know I Got Cha Opin
Check the soup, I Dogg the mic like Snoop
I get swift like H-Town, when I Knock Da Boots (daaat's right)
I'm dynamite with this mic
I Show like Doug E.
 and I rock the mic lovely
The afrodesiac, bringin the do-wah-diddy
To your city, on the Zapp side with the vibe
I'm Stone Cold like Bobby and Ralph T
I come with the Game of Death, without Bruce Lee
The irregular speakin, for those MC's who be tweakin
Catch me at the Beacon just freakin
Chorus:
Brothers can't see me                                \
Cuz my style's the bom-digi-bom-uh-dang-a-dang-digi  / repeat 2X
...
Brothers can't see me
Verse Two:
It goes one for the trouble, two for the show
Aiyyo, I'm gettin airplay like 
The Most Beautiful
I'm the mack, I made Goldy turn chrome
When I induce my styles upon the microphone (yeah)
I goes down for y'all in broad daylight
Weeded, rockin the mic like ta-dow and psych
Today is a Green Day, so it's blazin
To specify it, I get big-up from Jamaicans
Hey, the E-R-I-C-K gets down for the public
More doper than Janet Jackson's stomach
Ask anybody, who's the dopest producer?
I think of cruise, I'm never too much like I'm Luther
My style is the craziest
No crew is fadin us
You got beef with my squad you better dare that
The shit I kick make rappers say, ""I should've said that""
Chorus
Verse Three:
Complete this puzzle, what Squad be Def like Russell Simmons
And more flyer than Robin Givens
Cosmic Slop, from the darkside
Basically, I Can't Wait, songs from the Redman tape
(and make much sense when he's kickin fool) cause I constantly keep shitting
And y'all constantly keep listening
Yeah, who can it be now, watch out
Flying through the air with wings E Double doing my thing
Chorus",https://genius.com/Erick-sermon-bomdigi-lyrics
