title,album,year,lyrics,urls
Jump Around,House of Pain,1992.0,"Pack it up, pack it in, let me begin
I came to win, battle me, that's a sin
I won't ever slack up, punk, you better back up
Try and play the role and yo, the whole crew'll act up
Get up, stand up (C'mon!) c'mon, throw your hands up
If you've got the feeling, jump up, touch the ceiling
Muggs lets the funk flow,
 someone's talking junk
Yo, I bust him in the eye, and then I'll take the punk's ho
Feelin', funkin', amps in the trunk and I got more rhymes
Than there's cops at a Dunkin' Donuts shop
Sho' nuff,
 
I got props
From the kids on the Hill
 plus my mom and my pops
I came to get down, I came to get down
So get out your seat and jump around!

Jump around! (Jump around!)
Jump around! (Jump around!)
Jump around! (Jump around!)
Jump up, jump up and get down!
Jump! Jump! Jump! Jump! (Everybody jump)
Jump! Jump! Jump! Jump!
Jump! Jump! Jump! Jump! (Everybody jump)
Jump! Jump! Jump! Jump!
Jump!

I'll serve your ass like John McEnroe
If your girl steps up, I'm smacking the ho
Word to your moms, I came to drop bombs
I got more rhymes than the Bible's got Psalms
And just like the Prodigal Son I've returned
Anyone stepping to me, you'll get burned
'Cause I got lyrics, but you ain't got none
If you come to battle, bring your shotgun (Shotgun)
But if you do you're a fool, 'cause I duel to the death
Trying to step to me, you'll take your last breath
I got the skills, come get your fill
'Cause when I shoot the gift, I shoot to kill
I came to get down, I came to get down
So get out your seat and jump around!

Jump around! (Jump around!)
Jump around! (Jump around!)
Jump around! (Jump around!)
Jump up, jump up and get down!
Jump! Jump! Jump! Jump! (Everybody jump)
Jump! Jump! Jump! Jump!
Jump! Jump! Jump! Jump! (Everybody jump)
Jump! Jump! Jump! Jump!
Jump!

I'm the cream of the crop, I rise to the top
I never eat a pig 'cause a pig is a cop
Or better yet a Terminator, like Arnold Schwarzenegger
Try to play me out like as if my name was Sega
But I ain't going out like no punk bitch
Get used to one style and yo and I might switch
It up, up and around, then buck, buck you down
Put out your head
 
and then you wake up in the Dawn of the Dead
I'm coming to get ya, I'm coming to get ya
Spitting out lyrics, homie, I'll wet ya
I came to get down, I came to get down
So get out your seat and jump around!

Jump around! (Jump around!)
Jump around! (Jump around!)
Jump around! (Jump around!)
Jump up, jump up and get down!
Jump! Jump! Jump! Jump! (Everybody jump)
Jump! Jump! Jump! Jump!
Jump! Jump! Jump! Jump! (Everybody jump)
Jump! Jump! Jump! Jump!
Jump! Jump! Jump! Jump! (Everybody jump)
Jump! Jump! Jump! Jump!
Jump! Jump! Jump! Jump! (Everybody jump)
Jump! Jump! Jump! Jump!
Jump!

Yo, this is dedicated to Joe ""The Biter"" Nicolo
Grab the Bozack, punk",https://genius.com/House-of-pain-jump-around-lyrics
I’m a Swing It,Same As It Ever Was,1994.0,"On and just on, and 

I'm a swing it
Watch me bring it to the next level
The grafted devil's
Getting funky like The Neville
Brothers from the Bayou
So why you wanna trip?
Just play the sidelines, kid
And wait for me to slip
Cause I can feel it 'In the Air Tonight'
But yo I'm not Phil Collins
I'm more like Henry Rollins
Cause I ""Search and Destroy""
Every toy with a plot
Trying to get what I got
You might get shot
Hot Damn! I'm a slam you like ONYX
Then teach you how to write a rhyme
Like Hooked on Phonics
Mother Goose ain't got shit on me
Cause I'll get loose at the jam
And wreck the whole party
I make 'em jump and mosh, oh my gosh
Just slamming in the pit
While I'm kicking my shit
They bugging in the aisles
Cause I got mad styles
And ain't a damn thing funny
I get money in piles
Some people thought I died
That's just a rumor though
Others thought I fell off
But now I'm Numero Uno
Dos, not Quatro
Word to Kool Keith
I'm a break up your teeth

When I die (die)
Bury me (me)
Hang my balls from a cherry tree (tree)
Let them get ripe (ripe) then take a bite (bite)
And if they don't taste right
Then don't blame D! (D)

You need to quit swinging
The style that I'm bringing
The funk-knuckled dragon
Who gets on the wagon
I'm not the twelve-stepper
Don't play me like a lever
""My Mic Sounds Nice""
But it's not Salt-N-Pepa

Well it's the man with the plan to get all your skins
The tip on my dick's where the line begins
So hoes form a line
Take off that swine
Strip your ass buck-naked
Let's see if you can take it
Cause I'll make you feel
""Like a Natural Woman""
Cause I keep it coming
I'm the EverlastingFreestyle Assassin
With Soul and my goal
Is to bring a little passion
To your girl's life like the daily soaps
Throw her down on the bed and tie her up with ropes

The Lyrics keep on and just on and
The Lyrics keep on and just on and
The Lyrics keep on and just on and
On and just on and on and just on and 

I'm just another Ranger with the Derry face
Punk motherfuckers beef about my race
You need step back, kid and give me some space
So I can cold-shock the party when I'm rocking the place
Danny Boy's arriving, I stand six five and a half
Don't laugh, kid
The outlaw biker with my bitch hitchhiker
On the 'Highway to Hell'
Cause I never tell

Well it's the funk backbreaker
We ""Heat it Up""  like Jamaica
Don't bring your woman to the party
Cause I'll take her
Hit the deck, cause I'm down with the hooleys
I got a trunk full of funk just like the Groovie Goolies
I'm not the man but I asked you ""Who was he?""
Quik's got the hairdo just like Ruth Buzzi
Running 'round town like you been to jail, son
But you hit the swap meet
To get your hair and your nails done
Get off my sack cause your shit is wack
You diss me and I'm a diss you back",https://genius.com/House-of-pain-im-a-swing-it-lyrics
Top O’ the Morning to Ya,House of Pain,1992.0,"""She won't come, just when you want it..""

Ya see I'm Irish, but I'm not a leprechaun
You wanna fight, then step up and we'll get it on
You'll get a right to the grill, I'm white and I ill
A decendant of Dublin with titanic skill
I ducked and I swing, next thing your jaw's broken
Punk I ain't jokin', you can bet you'll be chokin'
On a fist full of nuttin, 
meanwhile I'll be puffin'
On a fat blunt
, what punk? You don't know the half
Tryin' to talk shit, man, please don't make me laugh
These Irish eyes are smilin',
 I'm buckwhylin'
The House of Pain is pumpin', start jumpin'
Freak it, funk it, 
back seat trunk it
If you can't get with it, you'll wind up sweatin' it
Then you'll get a beatin' just like an egg
It's so hard to run when you got a broken leg
But we can have a run off, the House of Pain'll come off
We got the cake that you're tryin to get a crumb off
The Irish stylee, 
the Celtic jazz
No one has it, just us, that's it
If you try to take it, 
I got a big shillelagh
I don't have dreads cause I shave my head daily
You call me a skinhead, I call you a pin head
Yo, where you been man, 
just like the Tin Man
You got no heart,
 here comes the good part
I pick 'em, buck 'em, cut 'em up, and buck 'em down
No fuckin' around, homeboy ya get clowned like Krusty
Trust me, you shouldn't play.. and by the way

Top o' the mornin to ya.. ""
What's the hassle man?""
Top o' the mornin to ya.. ""What's the hassle man?""
Top o' the mornin to ya.. ""What's the hassle man?""
Top o' the mornin to ya..
""Hey, are you givin us a hassle man?""

Greetings, salutations
Peace to the Nations of Zulu and Islam
Crack a bottle, rev the throttle
Put the gear in, now you're steerin'
Like Mario Andretti, so let me kick it
Cause I can make a wicked noise like a cricket
Rubbin' his legs, my rhymes are like eggs
Allah'll keep layin' em, I'll keep sayin' em
This is the House of Pain, we're far from plain
But we're not fancy, Ron and Nancy
So ""Just Say No,""
 but I say go
Straight to Hell, I kiss and tell
So if you're a ho, all my friends know
What you gotta say? Let's hit the hay
And have no delay, and yo, by the way..


Extra extra, read all about it
How could ya doubt it? Now scream and shout it!
The House of Pain, soon will reign
Over the Hip-Hop scene in white gold and green

I rip shit and backflip like a Jedi
I roll with the groove and I'm smooth and you can bet I
Come correct and get respect when I'm flowin'
Collectin' my dough, I got you're girlfriend hoein
And how do I know that she's sprung?
I know she's sprung cause yo, the D's hung.. like a
Shetland pony, gettin' paid like Sony
So never ever try to play me out like a phony
Cause I can get real thick like a bowl of Malt-O-Meal
And by the way..",https://genius.com/House-of-pain-top-o-the-morning-to-ya-lyrics
Shamrocks and Shenanigans,House of Pain,1992.0,"I kicks the flavor, like Stephen King writes horror
If I was a Jew then I'd light a Menorah
I got rhymes for ya, excuse me, Señora
Are you a whore or are you a lady?
Is it Erica Boyer or Marcia Brady?
Let me know hon, the deed'll get done
Just assume the position, I'll take my rod
And then I'll go fishing, I'll get your river flowing
I'm always in the knowing
When it comes to giving pleasure, I'm every woman's treasure
I came to work your body, so let me do my job
I've never been laid off, my rhyming skill paid off
Cause now I'm making records, now I'm making tapes
Steady busting suckers in bunches like grapes
Making all the papes, scooping up the loot
Putting suckers on the run, pull my gun and then I shoot
I never been a front, I never been a fraud
I got a natural skill, for that I thank the Lord
Cause I feel blessed, I'm casually dressed
I always got my gun but I never wear a vest
I'm quick on the draw like the horse named McGraw
From the cartoon boom shalock lock boom

(boom shalock lock boom) - alright now
(Boom shalock lock boom) - a little louder
(Boom shalock lock boom) - everybody
(Boom shalock lock boom) - alright now

Breaker, breaker, here comes the caper
Straight with the taper, the lyric skyscraper
Hit you like a lyrical murderer
I know ya think I have, but yo
I never heard of ya
Just because you heard of me kid
Fuck around with D, you do the lifetime bid
I'll put you in the dirt, and leave your ass for dead
When it comes to tools, D's the sharpest in the shed
Cause I'm the '55 Cadillac king
It ain't no thing, my Claddagh ring
Will bust you in the grill
I got the skill, you gots to chill
Cause I bring doom
I got the boom shalock lock boom


I rock mad styles, I hop turnstiles
I rock all mics, I last all night
I puff fat blunts, I rock fine stunts
Step up bo, I'll knock out your gold fronts
Everlast, that's my name
My unique rhyme style's my claim to fame
The House Of Pain's the name of my clique
You can't get down, punk? Get off my dick
You make me sick, like Strawberry Quik
Your style is wack, you ain't the mack
So yo step back, get off the crack
And sing a new tune like boom shalock lock boom",https://genius.com/House-of-pain-shamrocks-and-shenanigans-lyrics
Back from the Dead,Same As It Ever Was,1994.0,"Straight out the casket, risin' up
Open up your eyes - can't you see me?
What the fuck is this? Madness, pick up my bones
Erase my name from off the tombstones
Alive and kickin, breathing the air
Call out my name, punk, and I'll be there
No question, my suggestions of the action
Caught smack dab in the middle of the blastin
Messin with me, you're messin with the best
Blaow, you're takin two shots to your chest

Cause I'm back from the dead
Everlast comin back from the dead (back from the dead)
You know I'm back from the dead
And I'll put a freakin' hole in your head
Back from the dead
Back from the dead

You can't disrespect it, I'm the resurrected
Back from the dead just to mess with your head
I'll stress what I said, but I won't repeat it
If you've got a cold starve it, if you've got a fever feed it
And if you can't beat it then what a blow
You might be positive and not even know
I rock the hardcore from the floor to the ceiling
I give sexual healing, I'll get your girl squealin' like a pig
My grave's somethin' you can never dig
I'll rock a mausoleum, back yard or colosseum

Cause I'm back from the dead
Everlast's comin back from the dead (back from the dead)
You know I'm back from the dead
House of Pain's in effect, nuff said

Skip the autopsy cause I never OD'd
I only puff boom kid, I never get ski'd
I don't sniff or shoot up, riff I'll stick my boot up
Your ass quick fast, Everlast don't jive
Just like Pearl Jam 'I'm still Alive'
(Look at all these rumors)
Spreadin like tumors, gossip and lies
Exaggerated reports of my demise
And if you beleived 'em, well then you got gassed
The media deceived 'em just like in the past

Cause I'm, back from the dead
Everlast's comin back from the dead (back from the dead)
You know I'm back from the dead
And I'll put a freakin hole in your head
Back from the dead
Back from the dead

Like Steven Seagal I'm Hard to Kill
Like GG Allin I'm crazy ill
I'll beat you down with my mic, kick your ass with my Nike
Bust you in the eye if you tell another lie
Ashes to ashes, dust to dust
Thinkin I'm dead you must be smokin' dust
Come see me bust in the flesh it's a must

Cause I'm back from the dead
Everlast comin back from the dead (back from the dead)
You know I'm back from the dead
House of Pain's in effect, nuff said
Back from the dead.. {*repeat to fade*}",https://genius.com/House-of-pain-back-from-the-dead-lyrics
On Point,Same As It Ever Was,1994.0,"Yeah
The House of Pain

I'm sick, demented
I came and represented
I rose from the grave
I had a close shave
The cops tried to lock me down
'Cause the Glock they found
Was stolen
Thats how I'm rollin'
Calvin Klein's no friend of mine
So I don't like Marky
Or the monarchy
Don't 'Start Me Up' like a Rolling Stone
I'll leave ya sulkin' like Macaulay Culkin in 'Home Alone'
So Get a Grip like Steven Tyler
I used to trip with the Divine Styler
Back in the days there were Irish ways
And Irish laws, stand up for The Cause

When it's time to rock a funky joint
I'm on point
When it's time to rock a funky jam
I'm the man (4x)

Well it's the D to the A, double N Y BO
Y? 'Cause I rock shit like Ronnie Dio
It's a Black day of rest quick run get the vest
I'm down with the Hill 'cause I still got the skill
To turn the party out
It's all about the skyscraper
Your girl caught the vapors
So I might videotape her
I make a lot of papers so I don't have to scrape the
Bottom of the barrel
I rock fly apparel
Now I could pull your card
Starting up the Harley Davidson
I got the gun, so the drama, you could save it

Well it's the mad bum Russian
Funky with percussion
From LA to Flushing
I get your girlie blushin'
I'll cut ya' like the butcher
: But it ain't Joe the Biter!
The old rock a loop cause I'm 'Super' like Schneider

When it's time to rock a funky joint
I'm on point
When it's time to rock a funky jam
I'm the man (4x)
:
I'm ill, retarded
So don't get me started
I might lose my cool
Ya lose if we duel
'Cause I can stomp a hole in the soul of a punk
With the rhymes in my head and the beats in my trunk
I got skill kid
And I'm gonna milk it
For all it's worth, I'm gettin' mines on Earth
So step to the next head
Or like Sadat X said:
'He's gone and that's how it's supposed to be'
'Don't Stand So Close to Me' 'cause

When it's time to rock a funky joint
I'm on point
When it's time to rock a funky jam
I'm the man (4x)",https://genius.com/House-of-pain-on-point-lyrics
Irish Pride,The Unreleased EP,1996.0,"High on a hilltop near your home, there stands a dilapidated old mansion
Some say the place is haunted, but you don't believe in such myths
One dark and stormy night, a light appears in the top most window in the tower of the old house
You decide to investigate and you never return

Well, it's the kid who brought the pride of the Irish back
I'm spreadin' phat rhymes like if I was black
You caught a beatin' cause you played the punk role
Mom and Pop watch ya gonna shift from the soul
So I'm gonna take you out
Just like a first date
Watch me violate
Watch me demonstrate
The mad battle skills
To get the bills paid
I'm true to the trade
My blues are worth the pay
But I grab the guitar
Started up pickin' and strummin'
Then I started whistlin' and hummin'
Next came the bass line followed by the drum kick
My name's Everlast honey cause I don't come quick
I last longer than the Coppertop battery
You lack skills kid please drop the flattery
Get off my dilsnick, I spit the bills quick
Rollin' like pecker, you wanna play that though
So don't fuck around and bring your ho
I'll hit that bitch like I was Ridick Bowe
I got my sheleighy, I got my gun
I'm putting heads out daily and I never run
CHORUS (X4)
Everlast is comin', the funk drummers drummin'
Danny Boy's comin' with the Irish style

You better run, hide, Slip'n Slide
But don't fuck around with that Irish pride
The last one died talkin' all that crap
Yo, he couldn't adapt
I pulled him straight off the map
That's how I'm doin' it because y'all be knewin' it
The only needle my arm was tattooin' it
I roll to the show on my iron horse
Take a hoe and let nature take its cause
So fuck The Source cause I don't read it
It's a fashion mag and hip-hop don't need it
And if you're believin' everything you read
Then that bullshit rags fuckin' with your head
CHORUS (X4)

Just like Pearl Jam you know my flows even
I'm scary like King but yo, my name ain't Stephen
Broaden the appeal, I rock fly apparel
I got a bow and arrow, I'll take your bone marrow
Make a knife handle, skin you like tatanka
Then run you down like my name was Larry Csonka
Who used to be a Dolphin down in Miami
Play me too close and I'm pullin' out my jammy
You know I get funky like the Groovy Ghoulies
Why you steppin' to me, tryin' to make some movies
Pass me my scissors, I'm gonna cut the edit
Borrow off my style kid, but you got no credit
I said it, I meant it, I meant what I said
Steppin' up talkin' shit and I'll bite off that head
I got no dreads but I puff boom
Because it lights up my life like Debbie Boone",https://genius.com/House-of-pain-irish-pride-lyrics
Fed Up,Truth Crushed To Earth Shall Rise Again,1996.0,"* corrections for Cockni O'Dire would be appreciated

Those dirty stinkin boys! (hmm.)
They are talk slick, hot like pepper
But what, dem about batty bwoy movement
Man I ain't on dat! (Lord have mercy)
Tell Julius, if he's a man a man ?? ?? (Lord, have mercy)
Can't know send me big up to the two of dem, de dreads
Now look!

I've got demons, runnin through my sleep (UH)
They like to creep when my thoughts get deep
Schemin, tryin to find a place to fit in
And manifest itself in the form of a sin
If I was Rin Tin Tin I'd rip the skin off of Lassie
The shit you talk is idle, threatenin to blast me
You high on gas like a rastaman farted
Don't set it off kid and get me started
Cause you're highly regarded when you're dearly departed
But momma's still cryin, asking God why in the world
Could you take her, only child
When you was frontin on the streets like you was buckwild
To keep it real kid you gots to stay humble
You can't fumble, and if you gots to rumble
Then word to Bryant Gumble I'mma live for today
And God bless the man that steps in my way
Cause if I said it, somebody's gettin wetted
So just keep your cool and everything is copacetic
Pull out your heater, kid spit your razor
And mine'll still be the intellect that plays ya
Cause when the mic check, I'm high-tech, skills are apparent
You can play the child kid, I'll play the parent
Cause I'mma be responsible for your schoolin
But I won't change your diapers, or do your carpoolin

A-get up, I'll break ya down a lil' somethin
I'm fed up, it's time to go headhuntin
Dead up, too many crews be frontin
I'm fed up, it's time to go headhuntin
Get up, I'll break ya down a lil' somethin
I'm fed up, it's time to go headhuntin
Dead up, too many crews be frontin
I'm fed up, it's time to go headhuntin

Oh yes (Lord) unlike E (have mercy)
Tell de dirty pussy dem fi clean up dey ac' (oh my soul)
And trace back (whoa) cause we no hear nah dat (whoa)
Now look!

Now why everybody makin shit that's unreal
Cause the A&R man they wants mass appeal
Forgettin all about how it's 'sposed to feel
Kids be goin out for the record deal
So if you pull out the clap, then bust your cap
Or I'mma make like the ban and drop bomb on your Gap
But don't +Snap+, cause this ain't HBO
Kid you got no Benz, plus you got no dough
Why you say that though? You tryin to game that ho
Used to be you had to rhyme about stuff you know
I don't need MTV to make no buzz
I rock styles that'll make you say ""Ah 'oo dat was?""
And who that was is the man of all hours
Sendin all-star players straight back to the showers
Fake hard rocks are really just cowards
I master dub plates like my name's Herb Powers
I'll getcha open like huntin season
I make papers, don't front on the reason
Cause I'm seizin up every day
You say, carpe diem, I call 'em like I see 'em


To all dem man (?) come in the place going on like they run ting they run raasclart ting
Cos we run that, god knows we run that
Everyone can see we run this ting
Cha, nobody be vex me boy
Me said nobody TEST me boy
Me said nobody stress me boy
Anyone whowanna !!
(Lord, have some mercy
On my soul.. whoa!
Say Lord, please have some mercy
On my soul.. whoa!)
 + (Cockni O'Dire)
A-get up, I'll break ya down a lil' somethin (I get violent!)
I'm fed up, it's time to go headhuntin (and start whylin)
Dead up, too many crews be frontin (So keep silent)
I'm fed up, it's time to go headhuntin (I'm not jokin!)
Get up, I'll break ya down a lil' somethin (It's not what I'm smokin)
I'm fed up, it's time to go headhuntin (Don'tcha make me choke dem)
Dead up, too many crews be frontin (You'll get yo' egg broken)
I'm fed up, it's time to go headhuntin

Well me done huntin
Comin like a ball me play me not buntin
Knockin you outta park when me lookin
Yes Cock-ni, outta Brooklyn
Low-Lifes area, foward to Queens
Cumbria Heights, oh no, know what it means
And it ends, me nah need no Benz
All me needs me bredren, FUCK me friends!
Anyone a dem a want to borrow and lend my dough
Move ya pussy and blow!",https://genius.com/House-of-pain-fed-up-lyrics
Just Another Victim,Shamrocks & Shenanigans,1993.0,"Victimized
But you're in bed
Stumble out
And run dead
If it ever paid
To self start
Environment
Make you smart

Just another victim
Just another victim
Just another victim, kid
I heard it once
But not before
Begging off
And livin' bored
My hands are tied
Webbed feet again
Fell in behind
And claim us dead

Cast this
In spite of truth
Give it up
I'll lie to you
Blame and flame this
Turn to start
Pointed finger
You fall apart

You played yourself now you point the finger
How i've robbed and raped ya, bruised and scraped ya
But those are just lies, cause in your eyes you've been victimized
It's how you size it up, you disguise it up, and try to make it look
Real
To cover up the low self esteem you feel
Introspection an afterthought, swimmin in guilt your favorite sport
But now you're caught up in the undertow
You never knew a man could sink so low
But now you know, cause you're 
John Doe
In a black bag a tag on your toe
I built the House
I felt the Pain
You're victimized but got no one to blame
Just another victim
You're just another victim, kid
Just another victim
You're just another victim kid
Holy diver, I'm a survivor
Feeling like DeNiro in Taxi Driver
With Jodi Foster, and Harvy Kietel
Looks like I'm walkin through a livin Hell
So spark that L, and I'll get lifted
Feelin the effects of what my spliff did
Cause I'm gifted, I read 
Sun Tzu
I bought a Gun too so you'll never come too
The weight of the world ridin on my shoulders
Cause I'm a soldier, I thought I told ya",https://genius.com/House-of-pain-just-another-victim-lyrics
Guess Who’s Back,House of Pain,1992.0,"""Guess who's back""

I got the skills to pay the bills
I don't pop pills
But I send chills up your spine when I rhyme
I get wicked, you got a booger, pick it
Sippin' on the forty, ya know it makes me horny
Spread them legs, grab my eggs
Fire up the grill and crack the kegs
Nobody fear, the party's here
Everlast is comin', the funky drummer's drummin'
Ya only came backstage to make the front page
To get me locked up, or get yourself knocked up
But I ain't with it, even if I did it
I got a hundred homeboys to say I didn't hit it
My name's Everlast, I got the funky rhymes
I make more papers than the L.A. Times
I don't do lines, but I puff blunts
I don't rock fronts, but I stuff stunts
Fill 'em to the brim like a cup of coffee
If ya don't know me, homey, back up off me
Cause I ain't soft, see, I'll fly your head
You wind up dead, you made your bed
Now ya gotta lie in it, don't bother tryin' it
Take my advice, homeboy, think twice
Before you step up, step back
Or catch a smack
Guess who's back

(Ease back) Guess who's back (Everybody's in the street) (4x)
(Ease back) (Everybody's in the street) (3x)
(Ease back) (2x)

He's back from the dead, with the shaved head
Don't start to trip, dip, I brought my lead
Just in case you wanna fuck around
I'll stare ya dead in the face, and then I'll buck ya down
I'll put ya six feet deep, some say talk's cheap
But I make big bucks servin' up punk ducks
By the pound, I got the sound
I never been checked, I only get wrecked
I kick the willy drag, let my pants sag
Don't give up the booty, cause I ain't no fag
Check it out, check it, I'm prone to wreck shit
If ya dig this joint, check the next shit
I'm Everlast and it's a natural fact
That the white man is back

(Ease back) Guess who's back (Everybody's in the street) (4x)
(Ease back) (Everybody's in the street) (3x)
(Ease back) (2x)

I'll eat you up like some butter cups from Reese's
I come in peace, but you'll leave in pieces
That's how I'm livin', that's how it goes
Everyday I'm sleepin', every night I'm doin' shows
Always gettin' hoes when there's hoes to get got
Always wear my hat so I never need a shot
Always drink a beer before I write a rhyme
And if I have to drive I avoid the one time
Stay between the lines and I won't get pulled over
I don't need luck cause I got a four-leaf clover
Yea I'm Irish, word to the motherland
But on the otherhand
I love America, apple pie, mom and all that
My pockets stay phat, step the fuck back
Play me close and you catch a mean dose
Of my fist, homeboy you get dissed

(Ease back) Guess who's back (Everybody's in the street) (4x)
(Ease back) (Everybody's in the street) (3x)
(Ease back) (2x)",https://genius.com/House-of-pain-guess-whos-back-lyrics
