title,album,year,lyrics,urls
Come Clean,The Sun Rises in the East,1993.0,"You wanna front—what? Jump up and get bucked
If you're feeling lucky duck then press your luck
I snatch fake-gangster emcees and make 'em faggot flambé
Your nine spray, my mind spray
Malignant mist that'll leave comp' defunct
The result's your remains stuffed in a car trunk
You couldn't come to the jungles of the East popping that yang
You won't survive, get live, catching wreck is our thing
I don't gang bang or shoot out bang bang
The relentless lyrics the only dope I slang
I'm a true master you can check my credentials
'Cause I choose to use my infinite potential
Got a freaky, freaky, freaky, freaky flow
Control the mic like Fidel Castro locked Cuba
So deep that you can't scuba dive
My jive's origin is unknown like the Jubas
I've accumulated honeys all across the map
'Cause I'd rather bust a nut than bust a cap
In your back in fact my rap snaps your sacroiliac
I'm the mack so I don't need to tote a MAC
My attack is purely mental and its nature's not hate
It's meant to wake ya up out of your brainwashed state
Stagnate nonsense, for if you persist
You'll get your snotbox bust you press up on this
I flip, hoes dip, none of the real niggas skip
You don't know enough math to count the mics that I've ripped
Peep the Dirty Rotten scamp as his verbal weapons spit

Uh-oh! Heads up 'cause we're dropping some shit!
(Scratched x5)

Real, rough and rugged, shine like a gold nugget
Every time I pick up the microphone I drug it
Unplug it on chumps with the gangster babble
Leave your nines at home and bring your skills to the battle
You're rattling on and on and ain't saying nothing
That's why you got snuffed when you bumped heads with Dirty Rotten
Have you forgotten I'll tap your jaw?
I also kick like kung fu flicks by Run Run Shaw
Made frauds bleed every time I G'd
'Cause I've perfected my drunken style like Sam Seed
Pseudo psychos, I play like Michael Jackson
When I'm busting ass and breaking backs
Inhale the putrified aroma
Breathe too deep and you'll wind up coma‒
Toast the king I'm hard like a fifth of vodka
And bring your clique 'cause I'm a hard rock knocker
I gotcha out on a limb, about to push you off the plank
Let you draw your chronz but your burner shot blanks
When the East is in the house you should come equipped

Uh-oh! Heads up 'cause we're dropping some shit!
(Scratched x9)

Fly like a jet, sting like a hornet
Knuckleheads get live and set it off if you want it
Dirty Rotten Scoundrels is crushing crews, no joke
With styles more fatal than second hand smoke
Don't provoke the wrath of this rhyme inventor
'Cause I blow up spots like the World Trade Center
Come with the super trooper on his assault mission
The TEC's technique 'cause he's a technician
Wishing he'll go away won't help the weapons stop
The skills are shot 'cause any idiot can let off a Glock
Hard rocks melt in the clutch of the sun toucher
You claim you got beef on the streets, so what ya
Gonna do when real niggas roll up on you
And you don't got your crew
Pull your Glock, hmm...? But you don't got the heart
You was webbed straight from the start
Bought a tool and didn't learn how to use it
Got lost in Brooklyn so you had to lose it
Just for fronting you got that ass whipped

Uh-oh! Heads up 'cause we're dropping some shit!
(Scratched x9)",https://genius.com/Jeru-the-damaja-come-clean-lyrics
You Can’t Stop the Prophet,The Sun Rises in the East,1994.0,"Ohhh! Yo look towards the darkness
Nah nah yo, look towards the light
Yo what! Oh what the—? Yo, what is that?
It's a supernova
Nah nah man, that's a black hole
Yo! Yo!
Yo!
Yo it's... 
It's! It's!?

I leap over lies in a single bound (who are you?)
The Black Prophet
One day I got struck by Knowledge of Self
It gave me super-scientifical powers
Now I run through the ghetto
Battlin' my archnemesis Mr. Ignorance
He's been tryin' to take me out since the days of my youth
He feared this day would come
I'm hot on his trail, but sometimes he slips away
Because he has an army, they always give me trouble
Mainly - Hatred, Jealousy and Envy,
 
they attack me
They think they got me
But I use my super-science and I twist all three
I see sparks over that buildin' - they're shootin' at me
I dip, do a backflip
Then I hit 'em in the heart with sharp steel bookmarks
Ignorance hates when I drop it
But no matter what he do he can't stop the Prophet

Yo Prophet, yo Prophet, come here real quick
Yo, I just saw Ignorance downtown, let me put you on

Word, he down there buggin'
He got them illin' out, they shootin' and everything else

Let's continue the saga, mad mad drama
I met this chick, she said she knew where Ignorance was at
I said ""Where?""
She said, ""Downtown""
He had babies havin' babies - and young niggas sellin' crack
I think the bitch is lyin', it's a set up
I can smell it, but Ignorance is runnin' rampant
Aight baby show me the exact spot
Meet me at Hoyt and Schermerhorn at 3 on the dot
So I hops up on the A-Train, I'm bein' followed
My seventh sense senses danger
I turn around, it's Anger
And he brought a mob along, it's the same old song
Despair and Animosity got broke with the swiftness
I don't know what they think this is
I feel a sharp pain in my neck
Now I can't see, I'm like Hiram
They hit me with the dart filled with the pork chop serum
I tried to hold on but before long I dropped
When I awoke I was locked in the barber's shop
Trapped in the barber's chair
Oh no, they're gonna try and cut my hair
But that can't stop the Prophet

Yo Prophet!
Ignorance is tired of you followin' him around
We about to put an end to that right now
Animosity (yeah!), Despair (yo what's up?), get him!
Can't a damn thing stop me
Can't—can't a damn thing stop me
Can't—can't a damn thing—
Can't a damn thing stop me

A few minutes passed by, I hear a buzzin' noise
It was that chick with some of Ignorance's boys
She said, ""Prophet, we got you beat;
By the way I'm Mr. Ignorance's wife: Deceit
But enough talk; now for your hair cut""
When the clippers touched my hair, they blew the fuck up
After the explosion there was no one left
'Cause I know 
Dim Mak/poison hand
/touch of death
My vision's still kinda blurry, but I see a clue
Ignorance is at the library
I hurry with lightning speed like The Flash
He's at the big one on Grand Army Plaz'
When I get inside the doors shut and the lights go off
Damn, another trap
I hear a hissin' sound, I smell a funny smell
I gasp, I can't breathe
Ignorance is laughin' at me
Waitin' on my downfall, but he can't stop the Prophet

Well Prophet
It seems like you're in a bit of a jam
I hope you can unstick yourself
Oh, and what you did to my wife, it was nothing, I have others
Hahahahahaha... hahahahaha... hahahahaha... hahahahahah
The saga continues",https://genius.com/Jeru-the-damaja-you-cant-stop-the-prophet-lyrics
Me or the Papes,Wrath of the Math,1997.0,"Party people, in the place to be
From the same man, who brought you Da Bichez
(Da Bichez, Da Bichez, Da Bichez)
We were misunderstood, last time we brought you
Da Bichez (Da Bichez Da Bichez)
Now we gonna clear it up and let you make up your own mind
Like this...

Now a queen's a queen, and a whore is a whore
She felt if she made me wait I'd have more respect for her
Adore her, eventually spendin up my digits
She felt that love would make me buy her mad material shit
She likes to trick em, cause ain't nothin like a sleepin victim
East New York style stick em -- ha ha ha, stick em
Top rated game, but if it's game I played it
Underestimated, swore the king was checkmated
She claims she loves my mind, cause I'm so intelligent
But fuck my mental, she was scheming on my mint
Evil inten-tion, to de-plenish the fund
She tried to jux me with the pussy cept for, the mask and gun
I was a fool to fall in lust with this evil ge-nius
She had me by the nuts
She ain't got shit but man she loves it plush
Whippin I whip, and suckin up I canibus
Back in the days, I woulda scraped her for this caper
But I realize, it wasn't me it was the paper

Let me kick it, about the digits, that I've collected
Long distance, and disconnected, it's gettin hectic
Before my record, they didn't show it
But now they throw it, hopin that they'll get drunk off Moet
Or Cristal, but that's not my par-ticular style and taste
My name ain't Puff and I ain't got loot to waste
I ain't got time to waste, bad bitches is all up in my face
Crazy ignorant, sweatin links minks and shit
Cosmetic, but deep down, derelict
Fake players, never get out the projects
It's pathetic -- the way she bends for dividends
I tried to jewel her but she tried to get a drink at the end
Of our con-vo-sation, I did not have the patience
Slid off to the next Asian
She said, ""What you do?"" I said, ""What?""
She said, ""You know your occuptation?""
So I broke the fuck out
In nineteen-ninety-six that's what it's all about
, but
I won't go that route
Back in the days Biz said it was The Vapors
But today, I realize that it's the papers
""Cause ain't no fiends comin in between me and my dreams
See what I mean black, I"" -- ""gets the paper""
(repeat 3X)

Now a whore's a whore, find a queen and she'll be my Earth
Respect love and protect her, for all that it's worth
I admit I have flaws, I flips it first, but deep down
I wishes to give em the universe
A lot of the ones that I thought was right wasn't
I build with Afu, he said ""Don't sweat it cause they come a dime a dozen""
Like my ex-stunt, wanted a diamond
Bitches love power, while queens, love refinement
Low stress environment, old age and retirement
Never have to wonder where my money went
Where my honey went, is her back gettin twisted
By the next fella
, always take heed to what I tell her
When I'm wrong, she lets me know I need correction
When I'm right she's my reflection
 
still we, use protection
Through thick and thin, thin and thick
She's my diamond in the rough not a whore or a trick
Great expectations, of me and she buildin nation
Everything we do and skyscrapin
Back in the days, the devil used to rape her
Nowadays, he got her chasin the paper
""Cause ain't no fiends comin in between me and my dreams
See what I mean black, I"" -- ""gets the paper""
(repeat 4X)",https://genius.com/Jeru-the-damaja-me-or-the-papes-lyrics
Ya Playin’ Yaself,Wrath of the Math,1996.0,"Now, I don't push a Lex
Others had their turn to flex, Jeru is up next
All these so called players up in the rap game
Got brothers on the corner selling cooked cocaine
It used to be LaToya and jim hats
But now it's Uzis, Macs and G-packs of cracks
Everybody's psycho or some type of good fellow
But me I keep it real that's all swine like jello
Don't drink Cristal, and I can't stand Mo
Never received currency for moving a kilo
Or an ounce, make em bounce to this fake-pimp-free flow
I never knew hustlers confessed in stereo
Or on video get caught you'll know who turned state's
Evidence, murder weapon, confession and fingerprints
Mama always said watch what comes out your mouth
Tight case for the DA from here to down South
Knowledge wisdom understanding like King Solomon's wealth
You're a player but only because you be playing yourself

With all that Big Willie talk, hop, you're, playin' yaself
With all that big gun talk, bop, you're, playin' yaself
With all that rah rah rah, you're, playin' yaself
You're, playin' yaself, you're, playin' yaself
With all that rah rah rah, you're, playin' yaself
With all that big gun talk, bop, you're, playin' yaself
With all that Big Willie talk, hop, you're, playin' yaself
You're, playin' yaself, you're, playin' yaself

Now these ladies is looking pretty from city to city
I refined a few I met, around the country
The nitty gritty, it's all reality, no question
Actual fact like tight jeans cause yeast infections
And sisters with good minds, get no respect when
Their ass is all hanging out, playing the bar section
Of the club shake what your mama gave ya, back to the lab
I drop the truth, cause rhyming is more than just my craft
Or a way to get ass, or fast cash, or blasted
Black women, make sure you're respected
When niggas is kicking that old off the wall shit, let em know
From jump: ""Dead it"", you're not ignorant
Knowledge wisdom understanding is the key to wealth
Put some clothes on that ass if you respect yourself

With those hooker type wears hon you're, playin' yaself
With those skin tight jeans baby you're, playin' yaself
Everything all exposed you're, playin' yaself
You're, playin' yaself, you're, playin' yaself
Everything all exposed you're, playin' yaself
With those skin tight jeans baby you're, playin' yaself
With those hooker type wears hon you're, playin' yaself
You're, playin' yaself, you're, playin' yaself

Now, I don't bust a Tec, bubble drugs
In the projects, or use mics to sell sex
Niggas, nowadays is all about this
So much ying yang, it's ridiculous
If you got so much cheese where are the black distributors
And these record companies shake em down like mobsters
But impostors, like commercial locks are not rastas
Always faking moves, never, making moves
Asses shake, bottles pop, the government is breaking down you fools
You work all week and give the devil back his loot for jewels
And the steak on your plate is filled with chemicals
Still, brothers leave brothers all battered and bruised
On the streets, won't see snakes on my feet
The race is on, but I won't compete
In this competition, because I have a greater mission
I hope that you listen
Knowledge wisdom and understanding brings, long life
And health, think anything else and ya playin' yaself

So all that Big Willie talk, hop, you're, playin' yaself
And all those skin tight jeans hon you're playin' yaself
And all that rah rah rah, you're, playin' yaself
You're, playin' yaself, you're, playin' yaself
And all those hooker type wears baby you're playin' yaself
And all that big gun talk money you're playin' yaself
Everything all exposed you're, playin' yaself
You're, playin' yaself, you're, playin' yaself",https://genius.com/Jeru-the-damaja-ya-playin-yaself-lyrics
99.9 Pa Cent,Heroz4Hire,1999,"You wanna front, what? Jump up and get bucked
The original, Dirty Rotten's fucking shit up
Empty your clip of lyrics in your chest and gut
All punks play the floor, it's raw and hardcore
Hotter than a meteor, scorching egos
Fake hoes, gangsters and super heroes
Cops pull me over like you under arrest
Some niggas I know act like bitches without breast
Dick riders, I hope you got your latex
Cause flesh gets burnt up during the process
DRS echoes through your projects
Met Billie Jean, had safe sex
Some MCs get caught up in the vortex
Mixing crack with cess, so they sold for fat checks
Listen to the words I manifest, the moment of truth have cats stressed
Every time you in the East they snatch the chain off your chest
Acting like you want some, but want none
Quick to make your finger like a gun, but faggots never bust none

99.9 Pa Cent of these niggas ain't shit
And most of these niggas suck dick
99.9 Pa Cent of these niggas ain't shit
And most of these niggas suck dick
99.9 Pa Cent of these niggas ain't shit
And most of these niggas suck dick
99.9 Pa Cent of these niggas ain't shit
And most of these niggas suck dick

Amateuristic martial arts is the number one cause of injury
Biters try to emulate my alchemy, get poisoned by the chemistry
99.9 percent of these niggas suck dick in the industry
Swords in my back, all for the benjies
I'm screaming off key, another body? No I'm back in 3D
Plus I can take the weight, I make the Earth rotate
Dick riders supply the gas, watch niggas head inflate
Wanting respect, but suspect hit the deck
This ain't just talk, Brooklyn East New York's on the set
Friendship vs. B.I. I keep my thoughts
Laser sharp jagged edges bust your third eye
Vessel of the most high, bullshit, they demand you supply
But don't get caught, the same nigga'll testify
Switch like a bitch
You not from East New York, you's a motherfucking snitch

99.9 Pa Cent of these niggas ain't shit
And most of these niggas suck dick
99.9 Pa Cent of these niggas ain't shit
And most of these niggas suck dick
99.9 Pa Cent of these niggas ain't shit
And most of these niggas suck dick
99.9 Pa Cent of these niggas ain't shit
And most of these niggas suck dick

Hip Hop Jim Kelly, leave the mic dead and smelly
Freak shows, flows and hoes back at the telly
Not your average nigga, gets more nasty than Dirk Diggler
I'm back like the night, swooping down on The Riddler
Fake thugs talk tough but ease off the trigger
So shook you shiver, poison verbs like alcohol destroy your liver
Make it volcanic hot, niggas got problems like Sir Smoke-a-Lot
Cannibals biting my dick, I need a tetanus shot
I'm the original, in cause your forgot
When it comes to war I get raw
Add another mic to the ones I rip, shooting the gift
When the East is in the house you should come equipped

99.9 Pa Cent of these niggas ain't shit
And most of these niggas suck dick
99.9 Pa Cent of these niggas ain't shit
And most of these niggas suck dick
99.9 Pa Cent of these niggas ain't shit
And most of these niggas suck dick
99.9 Pa Cent of these niggas ain't shit
And most of these niggas suck dick
Word up, peace I'm out
The original Dirty Rotten Scoundrel",https://genius.com/Jeru-the-damaja-999-pa-cent-lyrics
Ain’t the Devil Happy,The Sun Rises in the East,1994.0,"Now I don’t be foolin' around, I tell the truth. Nothing’s secret

As devils search for the secrets to immortality
I alter my physical chemistry
Walk through the valley of the shadow of death
I exist even when no things are left
Vibrations transcend space and time
Pure at heart because I deal with the mind
That's why I compose these verses
Audible worlds, my thoughts are now universes
Written on these pages is the ageless wisdom of the sages
Ignorance is contagious
So I hope you keep your focus
There's no hocus-pocus, in the end it's just us
Devil got brother killin brother, it's insane
Goin out like Abel and Cain
Wisen up and use your brain
There'll be no limit, to the things that you can gain
In positivity, balance it with negativity
Until then, ain't the Devil happy
]
Ha ha ha ha ha ha ha

I hate when the Devil's happy, so I wear my hair nappy
Knotty
, 
won't go out like John Gotti
He came from the caves to destroy everybody
And we like fools destroy our own bodies
Too many niggas chilling, bad boys boom boom
This leaves no room for the flowers to bloom
Seeds blow in the wind, another drug killing
What are we accomplishing? Nothing
What's the matter?
Why everytime I look around another brain gets splattered?
Some pockets get fatter but it don't matter
The Devil's the only one who really gets fatter
Lead ruptures flesh, spleens are shattered
Dreams are shattered, another Queen without a King
What will our children become without proper guidance?
Probably nothing, so ain't the Devil happy


Niggas are in a state of nothingness
Hopelessness, lifelessness
If you're in range, I hope you hear this
And try to change this 'cause it's disastrous
Who gets the most loot? Who gets bust?
Dollar bill y'all is the god we trust
The days blow by like dust,
even Men of Steel rust
We're out here acting ridiculous, when only we can save us
Mentally enslave us for little or nothing, kill our neighbors
Animalistic, cannibalistic behavior
Look to the sky for your Savior
He won't save ya, he didn't save your forefathers
Why bother, brothers?
You must discover the power of self
Know thyself or find thyself
Hating thyself, killing thyself
While he collects the wealth that you sit back and murder for
Ain't the Devil happy?",https://genius.com/Jeru-the-damaja-aint-the-devil-happy-lyrics
Da Bichez,The Sun Rises in the East,1994.0,"I'm not talking about the queens but (what?) the bitches
Not the sisters but (what?) the bitches
Not the young ladies but (what?) the bitches
The bitches, the bitches, the bitches
(Bitch!)

Now a queen's a queen and a stunt is a stunt
You can tell who's who by the things they want
Most chicks want minks
Diamonds, a Benz
Spend up all your ends
Prob'bly fuck your friends
High-post attitudes, real rude with fat asses
Think that the pussy is made out of gold
Try to control you by slidin' up and down on the wood
They be givin' up sex for goods
Dealin' with bitches is the same old song
They only want you 'til someone richer comes along
Don't get me wrong, strong black women
I know who's who so due respect I'm givin'
While queens stand by you, and stick around
Bitches suck you dry and push you down
So it's my duty to address
This vampiress
Givin' the black man stress
Recognize what's real and not material
Or burn in hell, chasin' Polo and Guess, dumb bitches

(Bitch! Bitch!)
I'm not talking about the queens but (what?) the bitches
Not the sisters but (what?) the bitches
Not the young ladies but (what?) the bitches
The bitches, the bitches, the bitches
(Bitch!)

My man had a chick an' thought she was finger-lickin'
I knew her style that's why I'm vegetarian
I told him she was out to get what she could get
He didn't believe me, so she bagged him up in the end
Made the pussy do tricks then she sucked his dick
He got caught up in the grip now he's payin' the rent
Black widow, she even killed dead presidents
That he'd owe. Shouldn't have got one red cent
I'd body slam her, but I'm not a misogynist
When I see a brother gettin' nabbed it makes me pissed
Cosmetic enchantress scandalous temptress
The way my man went out you'd think she was a pimpstress
Bitches come my way, I make 'em hop
Cause I'm hip to the game
I'm not a slave so I don't get pussy-whipped
Bear in mind you'll lose em' to end material riches
Fuckin' around with those bitches

(Bitch! Bitch!)
I'm not talking about the queens but (what?) the bitches
Not the sisters but (what?) the bitches
Not the young ladies but (what?) the bitches
The bitches, the bitches
(Bitch!)

Since I've been club-hoppin' you've been ho-hoppin'
You've seen them pop up in every spot that I'm in
Any nigga with a record could get your butt naked
So your man got a Lex', you live in the projects
Tryin' a flex but you ain't the smartest
Your ass ain't the fattest, fuck around, play yourself and get dissed
I know your status, you can't touch my status
Deep down you want this
Dyin' a be famous but you can't attain this
Poppin' that coochie for Gucci
Bitches like you ain't shit to me
And don't talk about R-E-S-P-E-C-T
'Cause I treat my black sisters like royalty
Now go in peace, don't make me get raw
And treat you like the harlot that you are
Filthy bitches

(Bitch! Bitch!)
I'm not talking about the queens but (what?) the bitches
Not the sisters but (what?) the bitches
Not the young ladies but (what?) the bitches
The bitches, the bitches, the bitches
(Bitch! Bitch! Bitch!)",https://genius.com/Jeru-the-damaja-da-bichez-lyrics
D. Original,The Sun Rises in the East,1994.0,"Dirty rotten scoundrel,
 that's what I'm called on the street
Could connive and cheat but rarely get beat
Ya see I'm streetwise, a con-game pro
Kickin' the Bobby bullshit, too smart for Willie Bobo
Not stressin' five-o, 
hot hand in cee-lo
Live in the land of crooks yes Brooklyn's the borough
Homicide central, East New York
Where the manic depressive psycho murderers stalk
Walk like a ninja on the asphalt
Here talk is cheap, you're outlined in chalk
And there's more hardtimes than on Good Times
And most niggas dedicate their life to crime
So I'm steady schemin', won't work for a dime
Used to get tax free loot all the time
Type slick can't fess on 'Ru because
I'm the original dirty rotten scoundrel

Before trains were graffiti proof I used to get loose
Dirty rotten since the days of the deuce
Dirty because of the skin I'm in, 
the fact I have -
Melanin automatically makes me a felon
Even though I'm righteous rotten's what you're yellin'
But I'm not chain-snatchin', or drug-sellin'
According to your books you said I would be damned like Ham
Scoundrel, opposite of the king that I am
You wanna get funny? We can get bummy
Take you to the East and back again money
Filthy putrefied trick, step past your sister
Challenge the Damaja, and you'll be his-to-
Ry,
 
Mortal Kombat fatality
The Original, don't sing no R&B
Nasty emcee deity, 
chop off domes -
With the poems that come out of my pi-ne-al
Gland,
 as I expand you know who I am

Father of all stylin', I be wildin' 
on wax
We hack shit up like big ax and little ax
Don't need toast to make you jump like bungee
Tracks real muddy like Brooklyn's, real grungy
When I come through I clog up your sewer
Peep the maneuveur, drop the ill manure
So bring Mr. Clean, Drano, and Roto Rooter
No matter what you do you can't get through the -
Crud that comes out of your system
You're another victim of Dirty Rotten
Dirt up in your grill, so what ya gonna do
But pay homage to...",https://genius.com/Jeru-the-damaja-d-original-lyrics
One Day,Wrath of the Math,1996.0,"One day about six 'o clock I'm woke up
By the sound of my buzzer and a car or a truck
Screechin' off, so I jump up, scratch my nuts
But when I'm like ""Who's that?"" nobody speaks up
So I go to the door there's a note it says:
""We have Hip-Hop hostage with guns to his throat
Do the right thing and we might let him go
But if you call the police, that's all she wrote
You know what the motive is, it's all about dough
And in case ya think we bullshittin' here's the photo.""
I couldn't recognize the clowns because they was all hooded down
But I peeped Foxy Brown sippin' Cristal in the background
With fake alligator boots on
And smack dab in the middle was hip-hop with a Versace suit on
I immediately called Premo
I said ""Hip-Hop is in trouble,
 
meet me at my rest on the double
Don't even jump in the shower, 
matta'fact scratch my rest
Meet me and D&D in an half an hour
And bring all ya shit wit' you cuz you know what we got to do.""
Yo Afu! (Whassup?)
 
Lets jet-son like Elroy
If I recall correctly I last saw hip-hop down at Bad Boy
We'll see if 
Puff
 knows whassup
Cuz he's the one gettin' him drunk and fuckin' his mind up
We go to the office, he's nowhere to be found
So we snatch up Jay Black and beat his bitch ass down
""Now where's Hip-Hop?!"" ""Aaight, aaight..."" he confessed:
""Suge came and took him from Puff last night
He said he'd give him up if a real nigga came to retrieve 'em...""
So we went to L.A. later that evenin'
When we got there, everything was aaight
And we brought Hip-Hop back home that night
ONE DAY...",https://genius.com/Jeru-the-damaja-one-day-lyrics
My Mind Spray,The Sun Rises in the East,1994.0,"*Premier cuts and scratches Jeru saying ""My Mind Spray"" for four bars*

I annihilate, as I articulate
Words of power, your rhymes are unconfounding so death's your fate
Ostentatious genius, of rappin
Is mentally clappin to take hip-hop back, thats what's happenin
Proficiency and ingenuity
Plus more styles, than a Shaolin mon-es-tary
In poetry my formula's deadly
Bring your hypest man in your army, another casual-ty
Slow like demise, I crept on those that slept
Droppin' my rhyme science like I'm Imhotep
Application of mind over matter
Made fools scatter, rhymes fatter, minds splatter
Your girl bend over and over and over
Emcees try to touch the Damaja but you just can't win
Excellent with the word play, you lay
Face down, 
when my, mind spray
*Premier does his thing again like only Primo can*

Thunder on your Dome with no help from Mad Max
Lyrics like hype tattooes go over the dope tracks
We booby-traps, all our inventions
We know the intentions of MC
 kleptomaniacs
Rap brainiacs have cardiacs, soon after the attack
When it comes to rhymin', I slam harder than Shaq
Accomplish the bio-feedback, more complex than an almanac
Keep you up, like an aphrodisiac
Idealist, not an opportunist
Don't molest, no shorty still in all, I'm dangerous
Mentally you can't talk to me, hear me, or see me
You're not equipped
From, street blocks to cell blocks, my vo-cals rock
Do more work than a crackhead, with a toolbox
Jeru nerve touch-er, mic-ra-phone wrecker
If your honey's a Queen, I'll sex her
More important the mind strikes, like the nine strikes
A priest by May, you reach for your uz-ay, when my mind spray
*Primo flexes that razor sharp turntable wizardry*

J-E, Rrrah-U it's a horror to you
Lyrical kung-fu so do your kung-fu if you know kung-fu
Dirty, down low profile
Shoot up jams without the aid of lead projectiles
Style's ridiculous, techniques infamous
Take more heads than Santa Claus at Christmas
Science misfits, meet the wrath of my wit
Immediately following, they go into a conniption fit
Reach into my bag of darkness and spark this like an arsonist
Blow it up like a terrorist
I'm not a sexist 
don't have the power to be a racist
I'm a scientist, and an activist
Complex yet simple like 
Mixelplix
Unlike the silly devil, I don't come with tricks
So out there to all you MC's return to the righteous way
Or meet death face to face when my, mind spray
*Primo wrecks it like a 12 car collision*",https://genius.com/Jeru-the-damaja-my-mind-spray-lyrics
