title,album,year,lyrics,urls
The Most Beautifullest Thing In This World,The Most Beautifullest Thing in This World,1994.0,"Y'all mythological niggas is comical
The astronomical is coming through like the flu bombing you
And embalming your crew too
With the musical mystical magical, you know how I do
With word attack skills and vocabulary too
Come to hit you with this Edition, it's all brand New
You're through, I'm interplanetarian like Doctor Who
(Who? Who?) So who? (Who?)
Born to get tripped on, word is bond
I'm kicking rhymes 'til the A.M. vultures swarm
Not Quincy, but I'm back on the block and not selling crack
Accompanied with the fat funk flows and tracks
So what you saying black with all that yackedy yack
My artifacts can't be beat with bats
I'm saying, I eat everything up on the menu
And bend you and send you swaying, to be continued

The most beautifullest thing in this world
Is just like that, I get in ya
The most beautifullest thing in this world
Is just like that, I get in ya
The most beautifullest thing in this world
Is just like that, I get in ya
The most beautifullest thing in this world
Is just like that, I get in ya

Spur of the moment opponents is suspects
Caught up in precipitation reign of the tech-
Niques, I speak my concepts freak
The ichi ni san shi funk figures of speech
Now that shit is in the open, I'm open, hoking, scoping
Waiting for the next nigga to get opened on
And break him down like an organic compound
That's the way of the world as the Earth goes round
Now, how the fuck you sound
I represent my clique like a four-pound
You better pack your levodopa medication for the shaking
Meditation from the Earth, that quaking shit that we be making
Never faking I gets down for my crown clown
Shaking the membrane of Encyclopedia Brown
Freaking the funk in any throw down
While you sustained to the sounds, up in you

The most beautifullest thing in this world
Is just like that, I get in ya
The most beautifullest thing in this world
Is just like that, I get in ya
The most beautifullest thing in this world
Is just like that, I get in ya
The most beautifullest thing in this world
Is just like that, I get in ya

I comes down breaking ground
So back up off of me and sit your ass down
Now when I'm on the microphone I roam through zones
But don't be trying this shit at home
No matter what race, creed, color him or her
I comes cleaner than Jeru and Damaja amateur
As chronical facial disorders occur
I'll assassinate your character's caliber
I channel my anger from the double edged banger
And turn into the microphone strangler
So stop tryna see where your eyes can't follow
Say goodnight to the world and goodbye to tomorrow
You rave and cuss so it's a must you get bust
We're not to be fucked with, Toys Ain't Us
For eternity, through infinity
I internally, get in you

The most beautifullest thing in this world
Is just like that, I get in ya
The most beautifullest thing in this world
Is just like that, I get in ya
The most beautifullest thing in this world
Is just like that, I get in ya
The most beautifullest thing in this world
Is just like that, I get in ya

What you folks want, yeah
We got the funk so come on down
What you folks want, yeah
We got the funk so come on down
What you folks want
We got the funk so come on down",https://genius.com/Keith-murray-the-most-beautifullest-thing-in-this-world-lyrics
Candi Bar,He’s Keith Murray,2003,"She looks like a (4x)

She looks like a movie star
Like a chocolate candy bar

(She looks like a)
Heya love love, you little fly lady bug
Come and swing this episode wit more from up above
With them Earl Jeans on fitting tight like a glove
You little Cinammon Toast Crunch, come show me some love!
Slim goodie got tittle litties
Yeah but she's a picture post card pretty fat kitty little bitty, WHOO!!
You're provoking me, giving me the notions
To make me wanna lick your funky emotions
She can make a crippled man walk and a blind man see
How can I put this? hmm
She can make the Grinch love Christmas
How can I manifest her uniqueness in vernacular?
(Like a chocolate candi bar) yeah that describes her


(She looks like a)
I seen her at the park on the black top watching the kids play
Hey style complimented the sunny day
There's a mild nature about her
Gentle but firm for all the bullshit life brought her way
You reflected beauty of a starless night by far
Like Billy Joel said ""I take you just the way you are!""
I had a crush on you since the days of love tap
Karate shoes you had jelly cornrows with the peas in the back
I knew you'd grow to be a fine specimen someday
You the very inspiration for the song I sing
The way you sprint the runway and scale the catwalk
Your life is a movie and the camera's never off
It's like love at first taste, coming deep from within
From your DNA structure to your whole body over
Your beauty is respected in the eye of the beholder
I love that little chocolate bar tatted on your shoulder


(She looks like a)
Oh yeah the time is now and the place is here
So come a little closer let me kick it in your ear
And share this wit you girl you super official
I just wanna bite you girl you look good like a Snickers
Ooh la la, ah wee wee, walking by looking all like I exctasy
Got doe ma didn't know, good gracious alive!
Aw shuck now, there she go
Hey yo come and rest your feet my little chocolate soufflet
I know you're tired you been running through my mind all day
And Oh My Goodness! can I get a witness?
This roundy brownie is something to see
I never had a craving like this before, I'm addicted
Lord have mercy! please give me strength!
Dark, rich and thick like a fresh baked cake
Just thinking of your shape girl I catch a toothache


(She looks like a)
We just buggin out a little bit, showing versatility",https://genius.com/Keith-murray-candi-bar-lyrics
The Rhyme,Enigma,1996.0,"Now for next to little or nothin' I be rippin' up every function
With scientifical mad man consumptions
With mass productions of mass conjunctions
I display new ways of MC destruction
Cause ain't nothin' better than the shit I got
Makin' niggas jump off the roof and roof-tops
I put the hip in hop and the don't in stop
And the clips in Glocks, then I rock box your block
My hypothesis on this is
You niggas better come in terms of my vocabulary quick
Or get dissed, my brain bleeds mental complex feeds
Bring it on kid I got exactly what you need
Twisted metaphors to get your ass in star wars
Im'a live forever like Bob Marley just because
The mad matador metaphor rips the hard core
For him and his them and theirs you and yours

And it beez like that sometimes
Cause I can't control the rhyme
I said it beez like that sometimes
Cause I can't control the rhyme
I keep it jiggy jiggy jiggy jiggy
We keep it be wiggy wiggy wiggy wiggy
Cause it be jiggy jiggy jiggy jiggy
And it be wiggy wiggy wiggy wiggy

The most beautifullest vocabulist
Punches phony mc's dead in their esophogaus
My analysis is roughly callouses
You better practice if you want to challenge this
I'm symbolic to the sun moon and stars
You gettin' knocked out the box no matter who you are
The funk phat tracks lures you to listen
As my vocals bend your brain up in the fetal position
Learn a quick lesson of mic aggression
So when I walk down the street there'll be no second guessing
Now you can walk the walk talk the talk
Pack burners all day but you're still fireproof like an ashtray
I'm a scientist in the mix like Plyx
Turnin' all you fly emcees back into maggots
Top prop soil, watch me bubble and boil
Keep it Grand Royal as you fold like foil

And it beez like that sometimes
Cause I can't control the rhyme
I said it beez like that sometimes
Cause I can't control the rhyme
I keep it jiggy jiggy jiggy jiggy
We keep it be wiggy wiggy wiggy wiggy
Cause it be jiggy jiggy jiggy jiggy
And it be wiggy wiggy wiggy wiggy

I played the many thousand roles of street life
Showed Whodini that the freaks come out in broad daylight
Me and my crew be tight like Lavren and Shirley
Rollin' through all ya'lls hoods pullin all ya'lls fly girlies
Emcee's always bitchin', that makes my style all hard
I roll with nobody but God and the Squad
Me and my troops be knockin niggas out the size of Zeus
Lettin the OJ juice loose on phat tracks E-d produced

And it beez like that sometimes
Cause I can't control the rhyme
I said it beez like that sometimes
Cause I can't control the rhyme
I keep it jiggy jiggy jiggy jiggy
We keep it be wiggy wiggy wiggy wiggy
Cause it be jiggy jiggy jiggy jiggy
And it be wiggy wiggy wiggy wiggy",https://genius.com/Keith-murray-the-rhyme-lyrics
Nobody Do it Better,Rap-Murr-Phobia,UnKnown,"Tyrese!!!
: (Tyrese)
Keith Murray!!! (WOO!!!) Def Squad!!! (I like this right here man) Me too
(Keith Murray you did that! Talk to 'em!) Yeah!

Keith Murray, the lyrical Hannibal flow cannibal
Animalistic tough guy man handle you
I came into this bitch my style hardcore
Then I heard a hater say he ain't fire no more!
What?! That was me standin on your block with the razor blade
In my mouth back when hip hop was hip hop
For those who don't know or forget
To make y'all happy with Mary J. who Puff came to get (Me)
Then who he called for Total to make y'all see (Me)
Then who he called again for Special Delivery (That a be me)
There's nothin you could tell me, I rocked every hole in the wall
Then arena to arena with R. Kelly
Who made you feel beautiful while gettin lifted (Me)
I rocked bells with L you must be stupid
I don't need no permission, to do what I do
Come through and show the whole world how I do
 (*Keith Murray)
That's why your lovin me cause can't nobody do it better
That's why your lovin me cause can't nobody do it better (Can't nobody)
That's why your lovin me cause can't nobody do it better
I'm gonna be right here to get your shit together (*Right here, yo!)

And who you know get out of jail and get them figures
Get back into the game like fuck the system
Hit the studio and bless y'all with Fatty Girl
Who got 'em sayin badonkadonk around the world
Now I'm hearin I got anger issues on the street
The only anger I got, is when I'm fuckin up a E beat
Keep runnin' your lips and I'm a have you dancin' like the crips
Turn your six pack to some barbeque rib tips
Mother hot damn this man jam like a phone
And plus the shit I get more draws than a dresser
When I flow, there's no one deafer
Make you make the ugly face like Lamont's Aunt Esther
You can't stealth me my tank is too healthy
Even negative situations help me
When E lace the beat, and me and Ty bust one
Trust son that's money in the bank like a trust fund

That's why your lovin me cause can't nobody do it better
That's why your lovin me cause can't nobody do it better (Can't nobody)
That's why your lovin me cause can't nobody do it better
I'm gonna be right here to get your shit together

Yo! Keith Murray is your (?) MC Ultra
With the sickest comeback like nigga I told ya
Honeys sweat me like condensation, mind affiliation
House niggas like the Fannie Mae Foundation
The K don't play fuck around touche' and toupee
What you say get done away like Faye
I rhyme flagrant you sweeter than a sugar fragrance
Ignoramus, blow your brains out on a pavement
The game we been milkin for awhile like a green cow
You seregant MC, that ain't your style
Metaphors dawn on you in time like revelations
Battlin Keith, self mutilation
Let it be sensible, I'll make you invisible
Niggas can't see me the flow is invincible
My style royalty like residuals
You subjectable, hospitable y'all niggas is despicable

That's why your lovin me cause can't nobody do it better
That's why your lovin me cause can't nobody do it better (Can't nobody)
That's why your lovin me cause can't nobody do it better
I'm gonna be right here to get your shit together
 (Keith Murray]
Oh his flow is so (Keith Murray, Black Ty) I won't let go (Word up)
Oooh his flow is so, oh!!! I won't let go (Aight here we go)
 (Tyrese)
Yeah yeah yeah!!! No doubt (I like the way this feels right here!!!)
It's classical baby (Make me wanna get on the freeway you know in the fast lane)",https://genius.com/Keith-murray-nobody-do-it-better-lyrics
High as Hell,It’s a Beautiful Thing,1998,"(Phase one)
I grab the Henny and twist the top
Guzzle it that's when the reaction starts
I split the chalk with the dutch
Had the hash in the greenery, then the L get sparked
Keith Murray's never smokin' on babbith
Niggas give me dirt and I throw it in the garbage
Actual facts, writin exact, sacks of African Black
I smoke two back to back
I smoke so much I choke out fire alarms
With the towel under the door feel the effect of the bar
Put Visine in my eyes so no one can tell
Looked in the mirror, said to myself yo you high as hell
I inhale a gray smoke full of tram
Get 3-Dimensional visions like CD-ROM
Inahle it through your mouth, freeze like you froze
Then *blowing sound*, blow it out yo nose

I put some visine in my eyes so no one can tell
Look in the mirror say to myself, ""Yo, you high as hell""
I inhale a gray smoke full of tram
Get 3-Dimensional visions like CD-ROM
I put some visine in my eyes so no one can tell
Look in the mirror say to myself, ""Yo, you high as hell""
I inhale a gray smoke full of tram
Get 3-Dimensional visions like CD-ROM
(Phase 2)
Me and the Funk Doctor Spot up top on the hop
Block two big jig hot shots coppin mots
Seasons slice precise, ice 'n' tights
Chickenheads that circle the block twice
If you chokin then pass cuz it's not a game
Bitches hit my blunts and never feel the same
They start actin strange and kinda erotic
I try to tell her you ain't nothin bout no chronic
Ahh drats I think I'll take a long walk
And light a fat one up for the sergeant general of New York
Who determine gettin lifted kill brain cells maybe
If it wasn't for weed, niggas would be goin crazy
So smell it from afar, comin from the bar
Or rushin out when I open up the car door
Whether home or party in a bag or a jar
Put that lah in the air and represent what is stand for

I put some visine in my eyes so no one can tell
Look in the mirror say to myself, ""Yo, you high as hell""
I inhale a gray smoke full of tram
Get 3-Dimensional visions like CD-ROM
I put some visine in my eyes so no one can tell
Look in the mirror say to myself, ""Yo, you high as hell""
I inhale a gray smoke full of tram
Get 3-Dimensional visions like CD-ROM
(Phase 3)
I'm not sayin I'ma a pothead, cuz I'm not
I'm just sayin that I smoke alot
Catch me in V.I.P. smokin with 
Dennis Scott
Or after the show in the parkin lot
I only buy weed from a selective few
Cuz niggas is wicked and they will get you
I ran outta blunts got some paper from your mother
She had extra weed so we rolled another
No doubt, I hear you out
Before I roll my L, I think the cancer part out
I'm uptight cuz I missed the buddah stop before the flight
And damn we gon be away for like 12 nights
So here I am in Amsterdam gettin high again
You know what, come to think of it, yo, I'll have a Heineken
Inhale it through your mouth, freeze like you froze
Then *blowing sound* blow it out yo nose

I put some visine in my eyes so no one can tell
Look in the mirror say to myself, ""Yo, you high as hell""
I inhale a gray smoke of the tram
Get 3-Dimensional visions like CD-ROM
I put some visine in my eyes so no one can tell
Look in the mirror say to myself, ""Yo, you high as hell""
I inhale a gray smoke of the tram
Get 3-Dimensional luck like CD--
I put some visine in my eyes so no one can tell
I don't give a fuck so you can go to hell

We smoke it up y'all, we smoke it up y'all, we smoke it up y'all
Get lifted uh uh
Y'all know what time it is
Yo R, light that L",https://genius.com/Keith-murray-high-as-hell-lyrics
Get Lifted,The Most Beautifullest Thing in This World,1994.0,"Uh huh, yeah
One two, one two
""Fire up, fire up this funk if ya have to""
Smokin' up blunts
Mad Dog 2020
""Fire up, fire up this funk if ya""

I grab the forty, rip off the skirt
Guzzle it, grab the mic and come out the wood works
When shit's thick and no time to think
Keith Murray gets busy off of Basic Instinct
I puff an L and drink some liquor
Sit down and write a jam that receive the muhfuckin' stick-up
As God as my witness, with the sickness of a cannibalist cannabis
I floats like a cumulus
My perpetual rebel intellectual
Won't catch a bad experience with hallucinogenics either
I float strictly with the cannabis sativa
As my speech falls deeper than the scriptures
And graphic opponents, just like Picasso paintin' pictures
If my eyes ain't red, it's all in my head
Once said by a Ph.D med
Legalize and I'll advertise, 'cause

""I get lifted""
Roll a Philly and get, roll a Ziggy and get
""Fire up, fire up this funk if ya have to""
Yeah, like that y'all
Yeah word up
""I get lifted""
Roll a Philly and get, roll a Ziggy and get
""Fire up this funk, fire up this funk""

This the real deal, not a publicity stunt
I gets high like if the man in the Moon be puffing blunts
But verily, barely, merrily, is it dope or the dream?
Step into my chamber of intravenous smokescreen
I captivate it then motivate it, jealous of my desire
Smoke it down to the fire, anything to get a little higher
Hop in to college, but to be truthfully frank
Weed is knowledge, cause it makes me think
I pick anatomy and hem reality like Jah
Rastas read the bible, after puffin sensimillia
And the Sensi it gets me as a fly
I ain't bullshittin', you can ask Bill Clinton, he can verify that

""I get lifted""
Roll a Philly and get, roll a Ziggy and get
""Fire up, fire up this funk if ya have to""
Yeah, like that y'all
Yeah word up
""I get lifted""
Roll a Philly and get, roll a Ziggy and get
""Fire up this funk, fire up this funk""

Step into this intersection and take this rap
I got a vicious plot, but first take me by the weed spot
I do this for my niggas locked down runnin' capers
Smokin herb, in the bible papers
But how does it feel when you got no fire
And kyant pass de dutchie pon de left hand side
What the fuck? Who the fuck wanna fuck with the six shot shooter?
I murder you over buddha
What I discuss'll bust a rhyme style nucleus
And roast them ghostes, puffin hocus-pocus
So kid, pass that bomb trom, word bond
So I can toke it with more wins than a python
Different Strokes for different folks
He like the chocolate Thai, you like to float with the green skunky smoke
Roll up a fat one and pass it around
Laid back, hypnotized to the funky sound 'cause

""I get lifted""
Roll a Philly and get, roll a Ziggy and get
""Fire up, fire up this funk if ya have to""
Yeah, like that y'all
Yeah word up
""I get lifted""
Roll a Philly and get, roll a Ziggy and get
""Fire up this funk, fire up this funk""",https://genius.com/Keith-murray-get-lifted-lyrics
This That Shit,Insomnia - The Erick Sermon Compilation Album ,1996.0,"Up early in the mornin through the break a night
Niggas be on the block uptight gettin knifes ready to fight
And release, anger from the belly of the beast
Like work release, on the fuckin police
I'll percussion bodies like drums and tracks
And break backs a six maniac, poppin they gums and facts
I bugs the clubs runnin with thugs
Makin niggas bite the bullet and hug the slugs
Ya whole genetics is pathetic
Got me ready to set it, on a shot M1 type wetted
But instead I blow you buck fifty cross the face
For tryin to look hard in the first place
I need beer and a lotta noise in my ear
In a rowdy atmosphere to even think clear
And all praises due to the LOD's and
Fuck the COPS who try to lock us up and throw away the keys

Now this goes out to my niggas on lockdown
And all my niggas on the streets, This That Shit
(repeat 4X)

I gets to flippin and the phoney can't hold me
Like dyslexia on cerebral palsey with styles, y'all niggas know me
And howI drop, physical science on your whole alliance
Try it, what? I Shoot to Kill like motherfuckin Mad Lion
Who is this doin this emphatic type a disco alpha beta
Funkadelic fuckin emphasis, from the funk abyss
Blowin up the spot with the pump-rump
Shakin pistol grip, losin niggas in the plot
I got you out there like Sonny and Cher
I don't give a fuck niggas goin make me hurt some'in up in here
You get that ass kicked quick fast in a hurry
Tryin to ready the mad styles of Mr. Keith Murray
Tryin to step up to my respected bass and treble level
Will get your head beat in with a shovel
And the only thing that could stop me from gettin sloppy
Is when the hook comes in by the E-double


I'm sick, I kick the type of shit that make you violent
Make the jails crowded, and have everybody talkin bout it
See I be universally, university
Purposely droppin it, psychomatically
Where I'm from is only real hard times
So when I bust on the mic I bust with real hard rhymes
And I'm strapped, with a posse that's ready to snap
And a nigga who make beats like we live in rap
You get do fiend on the scene please
I spread MC's like some old crazy skin disease
Operation murderation radication on your whole staff
Tryin to find your way down Carlton Ave",https://genius.com/Keith-murray-this-that-shit-lyrics
Call My Name,Enigma,1996,"Intro: Dr. Trevis
Ha, ha, ha. This is Dr. Trevis, coming to you live
In this motherfucker, Keith Murray. L.O.D
From the city niggas, ha ha ha...
Verse One: Keith Murray
Keith Murray's still coming from the north, south, east, west (yes)
Obsesssed with my success will make me crack your treasure chest (yes)
Hot tales of terror slip from my lip clearer
Slip up the L.O.D. will be behind you in the mirror
I make MC's go from regular to fantasize
Realize my Squad be contagonized
I think the devil's in this beat, fuckin with my speech
Makin me do his dirty work
Makin niggas kill each other on the streets
Mo murder, mo murder
Make no mistake, baby L.O.D. traditional
Don't make me have to come lookin for you
So, see what I'm sayin and watch your mouth
Cause my motherfuckin Squad hits the streets like a blackout
What is exactly real? What is represent?
I see MC's down and get in my last hits (bitch)
Niggas be around like ""Yeah""
That's what you get for jumping in the ring with a bear
Chorus: repeat 2X
Call my name and I'll come runnin, gunnin
All ya'll bummin niggas will get done in
Verse Two: keith Murray
My Squad comes in all shapes, sizes and colors
All you niggas seem to hate us but your baby's mothers love us
I'm the grand royal, hard to wear and tear
Rap specimen, pissin on all you mere peasants
With virtuality, poetry I successfully
Bring crews agony in virtual reality
See, first I puzzle your brain like The Riddler
Then, I catch you in the gut like Jack the Ripper
I'm the hot mustard dipper, money getter, mic gripper
Wack MC get rid of nigga
I take it to the extreme, and overkill like Dramamine
Y'all niggas is sweet like jellybeans
Plus I knew your punk ass was soft
I see you in the street, you try to talk my fuckin ear off
I'm the high wrecka, mic checka
Wilin out like Red Hot Chili Peppers
Chorus
Verse Three: Keith Murray
I got def-ly breath control, with sick vocabulary making MC's nervous
Boy I'll do you plenty
Which MC is in my category, if any, not many
See you thought like Nellie, now you shit like jelly
After the surgeoun is finished stitchin up that belly
Niggas want to get ill, I'll take it to stainless steel
And show em how it feel
You laugin at Keith?  You're crying at yourself
Cause beef with Keith is bad for your health
Them bitch ass niggas tried to catch me for my self
I licked nine shots and jetted off in my Stealth
Chorus",https://genius.com/Keith-murray-call-my-name-lyrics
Hot to Def,Enigma,1996,"1000 degrees Hot

Continuously, yeah
Who's that crazy nigga
Drinkin crazy pussy out of crazy straw
Kicking crazy hardcore, crazy metaphors
When I rap competitions perform disappearing acts
Niggas ask why the Squad be on it like that
Cause we stay with the lethal dosage
Click on the Mic MC's run like roaches
Truthfully I think them niggas is gay
Always havin a party with no DJ
I had to hold my head in disbelief
Them short winded niggas tried to smoke the chief
Of the frontal leaf Keith
Knowing damn well they can't win
My style is rougher than army gear and old timb
The east coast say ill
The west coast say ill
My squad is def they don't give a fuck
They say kill
Cause we can all sing together
But we can't talk together
That's why I pack the black gat up under the leather
And keep it hot

It's 96 degrees in the shade
1000 degrees

I got nuts like Almond Joy, like Mounds you don't
I say and do a lot of things some fake rappers won't
Now I'm the show shocker plus the show stopper
Down with makin G's and all the block clockers
Down with L.O.D., the motherf-ing cop droppers
Down with Def Squad flying through your hood in choppers
Yeah we done been in more shit in the past year
Than the bloods and crips care to hear
Ear to ear, Glock to hand, Mic to mouth, resuscitation
Psychosomatic creation
Killing off the nation of perpetration
Player hating, bringin confrontation
I'll shoot your hips up and make you bogle like Jamaicans
I'm doing my thing, if you feel me do your thing
Y'all niggas know my style
I smoke weed on trains and planes
Murderous material submerging from my brain
Chumpin top dollar niggas into small change
And make it hot


I'm the unfuckwitable incredible lyrical individual
Boy your not suitable
I work wonders over the beats
It's no wonder phony MC's get out numbered
Timberlands get tumbled
Relax your head
Accomodations and compliments of the infrared
Theoretically, hypothetically, practically
Actually ain't nobody fucking with me
I'll sell your stupid ass the Brooklyn Bridge
If you think an MC in your camp can fuck with the kid
I want the sun not to shine for six months, to see who fronts
While the Squad light up the sky with blunts
If you catch a nigga dreaming
Thinking he can fuck with my enterprise
Wake him up, smack em, make him apologize
Cause we be on their lemonade type shit
I ain't no faggot but you derelicts can suck my dick
I make it hot",https://genius.com/Keith-murray-hot-to-def-lyrics
Yeah Yeah U Know It,He’s Keith Murray,2003.0,"A si se coje toma
Just blaze, you son of a gun!
{""Uh-huh, uh-huh"" - repeat 13X over chorus}
Yeah yeah you know it, ain't scared to show it

We do dis' like we want to and don't give fuck
Yeah yeah you know it, ain't scared to show it

It go
Lights, camera, action you're on
""Excuse me Murray, but your ah ah ah on""
I spit the (ha ha ha ha ha) word ball
Cause cats out here dont be sayin' jack bone
I get raw and explicit when I spit it on the mic
Old folks say ""
that boy need the lord in his life
""
Nigga, think you can phase me???
But nigga, you must be crazy!!!
It go ""
ese loco, dame un beso
""
Dominican girls, them call us negro
I keep it short pony, short camel toe
The reason why man, I dont know
No matter where I go, here I go, there I go, I'm propa
And keep shit poppin' like 
orville redenbacher
More freaky-deaky wit' the speechy
I stay off the meat rack b!! (exactly)
 - repeat 2X

Sermon, bless a flow you know God sent me
Time is money, and my time cost like a Bentley
I'm dope (oh yeah you know it)
Got a infared beam (ain't scared to show it)
Peep it, check my movement this here feel right (how???)
Check his cap make sure his pill right (boy)
You a fake thug wit' a deal
The only gang you represent is Sugar Hill
You cats is kittens boy drink this milk
Put down that Hennessy son ya killin' me
Dub, I snatch the corn from the children
Stashed it in ya homeboy's buildin'
(Stop he's killin' him somebody call the cops!!!)
Yeah call 911, and watch no one come
That's to show you how nice I am
The fifth group Russell signed to Def Jam
Woah!
 - repeat 2X

In the bed I'm the marathon man, Redman
Hittin' more walls than aerosol cans, don't I???
(Yeah Yeah you know it)
And when I fuck... (Ain't scared to show it)
And when the Brick's outta control, barricade the city
There's an outbreak in ya outta state committee
You seen it (yeah yeah you know it)
And if you got it... (ain't scared to show it)
You want the bad guy - here I am
I got them hoes on Gilla cam
Throwin' the drawers in the ceilin' fan
You as small as a kilogram
I'm an airplane ridin' over Colombia, ya middle man
I'm the boss
Stock tha Binaca
Shut up all the gossip, bring the rosta
I whoop ass like Ike Turner any day
When I stomp emcees out I yell ""Annie Mae???""
Whether I'm hot or not, pigeons gon' flock
They gon' get that wig done fa' diggin' on Doc
Find me 'round the aisle in frozen food
Because I am so cool, cool, cool, cool, cool
 - repeat till end",https://genius.com/Keith-murray-yeah-yeah-u-know-it-lyrics
