title,album,year,lyrics,urls
Streiht Up Menace,The Best of MC Eiht,UnKnown,"Wake yo' punk-ass up for the '93 shot
MC Eiht's in the motherfuckin' house, gyeah
And it ain't nothin' but a Compton thing, y'all
And we ain't nothin' but Nig
gaz On Tha Run
And this goes out to my niggas, gyeah

A fucked up childhood is why the way I am
It's got me in the state where I don't give a damn
Hmm, somebody help me
But nah, they don't hear me though
I guess I'll be another victim of the ghetto
Ain't no escapin', 'cause I'm way too young
Pops is dealin', and on top of that got Moms sprung
Scheamin' off the top, Pops never figured
That he'd go down by the hands of another nigga
Now my pops is gone and that ain't no good
Got to follow in the footsteps of the homies from the hood
And where's the role model?
Niggas puttin' brew in my fuckin' baby bottle
Damn! And through all the motherfuckin' pain
They done drove my moms insane
So, I guess I gotta do work so I ain't finished
I grow up to be a streiht up menace, gyeah

Uhh, come on, y'all
Streiht up menace

Now I'm of age, and livin' in the projects
Gettin' paid off the clucks and the county checks
I'm Fil-ia fresh outta high school, never did I wonder
That the motherfuckin' hood would take me under
Gyeah,
 I'm kickin' it with the homies and they got the straps
Off to the corner store, owned by the fuckin' (Japs)
See a bitch in the right lane, so I comes with the mack
Astro Van pulls a motherfuckin' jack from the back
Now he's got the strap to my homie's head
Sayin': ""Play that shit cool, and don't be a fool!""
He shot my nigga in the fuckin' head
I caught one in the shoulder, if I didn't run I was dead
Now I'm layin' in the hospital bed
Thinkin' about them punk motherfuckers
And my eyes is bloodshot red
Gyeah, motherfuckers, I ain't finished
Be on the look-out for the streiht up menace, gyeah

Uhh, whassup, y'all?
Streiht up menace
Damn!
Really, really
Streiht up menace
Damn!

I'm in too deep
I done killed a motherfucker and I just can't sleep
One-Time's tryin' to do a smooth creep
And on top of that
Niggas after me for fuckin' one of they hood rats
I ain't got time for the fuckin' bitch's story
Niggas want me gotta come to my territory
And ain't no 'you can get the fist'
Niggas come, and they get done on they own risk
What is it all about?
Should I leave or should I stay, 'cause I don't wanna punk out
Oh what should I do?
The homies say: ""The hood's where it's good
Homeboy, I thought you knew.""
So in the process to show the hood my best
No time to react, caught two in the chest
Now look who's down, I guess I'm finished
I go out like a streiht up menace
, gyeah

Uhh, come on, y'all
Streiht up menace
Damn!

And on and on
I guess we outta here
Peace to my niggas on the run
And it ain't nothin' but streiht up menaces, damn!
Just like I said before, y'all
It ain't nothin' but a Compton thing
And MC Eiht's in the house for the '93 shot
And this one's for the niggas, gyeah",https://genius.com/Mc-eiht-streiht-up-menace-lyrics
Welcome to Los Santos,Welcome to Los Santos,2015.0,"Break a solenoid on this one
Yeah, nigga

Welcome to Los Santos
Gyeah
Where it's easy to catch a case
One times patrol with a pic of ya face
Fo' deep in the Lac, that's jack mode
Unaware of the set-neutral dress code
Drive-bys tryna pull grand theft
Bandanas on the antennas, neighborhood deaf
Rats fucking niggas for ends, bitch please
Easily friends turn into enemies
Tryna check a couple dollars but it ain't long
Jealousy in shots if the weight wrong
Stay strong, die well
Growing up in the hood's no fairytale
It's Mad City and can't y'all tell
Welcome to the city where it's dead or jail
Steady eating good, we pull licks
Staying deep like OGs in jail pics
Gyeah, welcome to the land
Welcome to the land
Welcome to the land
Straps, a couple birds in ya hand
Gyeah

Welcome to Los Santos (Fly bitches)
Welcome to Los Santos (Get ritches)
Welcome to Los Santos ('s that trippin')
Welcome to Los Santos ()

Yea, where it's easy to get some weight
Hop in the stolen whip and I'll take you straight to the place
That grand theft and robbery mask draped on my face
A cold bastard, closed casket seal my fate
For this almighty dollar dollar
When we're doing what we do you know we do it proper
And all these doctors and psychiatrists can't save me, I'm crazy
Everyday these Los Santos streets gon' pay me
It feel good don't it?
Kush smoke and west coastin' on every hood corner
I drop the top at the beach
Heard it's fun in paradise, yo that's the word on the street
Don't let these palm trees and bitches get you swept off yo feet
I'm staying blazed in these sun rays
Evil seeds getting paid, cradle to the grave
You can try it if you want, it ain't a thing sweet
The weather's fine but it's cold on these rough ass streets of Los Santos
(Dear Los Santos)
Welcome to the land
(Dear Los Santos)
Welcome to the land
( and let me ride)
Put a bird in ya hand
Welcome to Los Santos
(Dear Los Santos
Dear Los Santos
 and let me ride)

Ah, Los Santos
You got it done

Don't get fooled by the palm trees
Fly ass bitches and bomb ass weed
It's real over here on these cold streets
Triple OGs stay about that cheese
Los Santos
We be doing the most
Ow!

Oh yeah, Los Santos
Hey Los Santos
Hey Los Santos
 and let me ride",https://genius.com/Mc-eiht-welcome-to-los-santos-lyrics
Straight Up Menace,UnKnown,1993.0,"Wake your punk ass up for the 93 shot
MC Eiht's in the motherfuckin house.. gyeah
And it ain't nothin but a compton thang y'all
And we ain't nuttin but niggas on the run
And this goes out to my niggas.. gyeah
A fucked up childhood, is why the way I am
It's got me in the state where I don't give a damn, hmm
Somebody help me, but nah they don't hear me though
I guess I'll be another victim of the ghetto
Ain't no escapin, cause I'm way too young
Pops is dealin, and on top of that got moms sprung
Scheamin off the top, pops never figured
That he'd go down by the hands of another nigga
Now my pops is gone and that ain't no good
Got to follow in the foot steps of the homies from the hood
And where's the role model?
Niggas putting brew in my fuckin baby bottle!
Damn, and through all the motherfuckin pain
They done drove my moms insane
So I guess I gotta do work so I ain't finished
I grow up to be a streiht up menace, gyeah
Uhh, come on y'all
Streiht up menace
Now I'm of age, and livin in the projects
Gettin paid off the clucks and the county checks
I'm Fil-ia fresh outta high school, never did I wonder
That the motherfuckin hood would take me under
Gyeah, I'm kickin it with the homies and they got the straps
Off to the corner store, owned by the fuckin
See a bitch in the right lane so I comes with the mac
Astro Bam pulls a motherfuckin jack from the back
Now he's got the strap to my homie's head
See him play that shit cool, and don't be a fool!
He shot my nigga in the fuckin head
I caught one in the shoulder, if I didn't run I was dead
Now I'm layin in the hospital bed
Thinkin about them punk motherfuckers 
and my eyes is bloodshot red
Gyeah motherfuckers, I ain't finished
Be on the look-out for the streiht up menace, gyeah
Uhh, whassup y'all
Streiht up menace .. damn!
Really.. really
Streiht up menace .. damn!
I'm in too deep
I done killed a motherfucker and I just can't sleep
One-Time's tryin to do a smooth, creep
And on top of that
Niggas after me for fuckin one of they hood rats
I ain't got time for the fuckin bitch's story
Niggas want me gotta come to my territory
And ain't no 'You Can Get the Fist'
Niggas come, and they get done on they own risk
What is it all about?
Should I leave or should I stay cause I don't wanna punk out
Oh what should I do? The homies say
'
The hood's where it's good, homeboy, I thought you knew'
So in the process to show the hood my best
No time to react, caught two in the chest
Now look who's down, I guess I'm finished
I go out like a streiht up menace, gyeah
Uhh, come on y'all
Streiht up menace .. damn!
And on and on
I guess we outta here
Peace to my niggas on the run
And it ain't nuttin but streiht up menaces, damn!
Just like I said before y'all
It ain't nuttin but a compton thang
And MC Eiht's in the house for the 93 shot
And this one's for the niggas, gyeah",https://genius.com/Mc-eiht-straight-up-menace-lyrics
All for the Money,We Come Strapped,1994.0,"G'yeah, now that's some of that real gangsta shit
Comin' from an original nigga from the Compton streets
MC Eiht's in the mothafuckin house, G'yeah
And right about now, Half Ounce in the mothafuckin house
MC Eiht, DJ Slip
My niggas on the run, Little Hawking Bird
G'yeah

One more nigga on the run
I just can't handle this, born in the land of the scandalous
Thirteen years of age at the time
Moms ain't kickin' in, I gots to get mine
I loads up my strap, map out my plan
Choose my victim, then mothafuckin' stick him
One more point that got scored for the hood
Up to no damn good, understood?
Snaps is getting low so I gots to get some mo'
Loads up the K, break out the back do'
You know the routine, so punk fool, here we go
Same bat channel, keep your mothafuckin' hands up on the dash
And gives up the cash
One times is making a move on my ass (G'yeah)
But I ain't sweating it because ain't shit funny
Because it's All For The Money

G'yeah
I gots to get mine, so I'ma take yours
I gots to get mine, so I'ma take yours
G'yeah, G'yeah, G'yeah

Just call me the come up kid, G
Hard times kicking it in the C-P-T
So that means I gotta do what I gotta do
And if you ain't down with The Hype, fuck you
You're coming up short when I'm stomping
So when I hit your corner, you're gonna be a goner
Nigga duck when my nine starts to buck
In it for the snaps so I'm crazy as fuck
I should be laying low cause one time is real hot
Need to make a knot so I rush your spot
And it's like that when I got the feelin'
If you don't kill, somebody else does the killin'
So when you hit the end of the road ain't no turning back
I done signed a hood lifetime contract
Jackin' and packin' cause ain't shit funny
Because it's All For The Money

G'yeah
I gots to get mine, so I'ma take yours
I gots to get mine, so I'ma take yours
G'yeah, G'yeah, G'yeah

Uh oh, there goes another beep on the beeper
One time sleep on the fucking night creeper
Trying to show stop on the sales
Pull fake braids but I still gets paid
Just say no? Fuck the TV
Trying to push the shit cause the weight is exceeded
See me for the blast, Five-oh fly in fast
Mad cause I'm making more cash than they ass
Now I lay low in the cut
Label me the nigga with the fucking gangsta strut
Every hooptie got gold license plates
My birds fly out throughout the fucking states
Now my other half is telling me I'd better quit
But I ain't through in this shit, so I guess this is it
I'll be dead before I go out like a dummy
(Why's that, G?) Cause it's All For The Money

I gots to get mine, so I'ma take yours (Repeat 6x)",https://genius.com/Mc-eiht-all-for-the-money-lyrics
Black Pussy,UnKnown,UnKnown,"(Dresta)
Ay wassup?!
Haha
Y'all jump on in
It's my homeboy Crooked I
I'm Dresta Tha Gangsta kna 'mean?
We supposed to pick up my homeboy Eiht
I wan' try to hit him up right now to see what's happ'nin
(Verse 1 by Dresta)
I know you love it, the most rugged Mc's, out the Gate
It's Dresta with them drunkest Crooked I and the Eiht
Oh-Oh, 2 Compton niggas known for freakin 'em right
Man, Crooked late at night got 3 and they tight
In the Bourbon, swervin', do Irvine try'na catch Eiht
So we can hook him with the 3rd fine lady
Named Mercedes, got a body like a 'Maserati'
Thinkin to myself:'I must be crazy! Tryna give away this hottie!'
Now I glance at the passenger seat
Can't deny that this girl by my side was just too damn fly
Too Jeopardized, I just glanced at her eyes
And them caramel thighs make my main man rise
Can't wait to re-arrive at the 'tele
So I can lick them honey off that ring on her belly
For so', I glance in the mirror once mo'
Loc, I gotta catch Eiht cause I know he gon' love this ho
(Chorus)
Real G's get lonely
We can have fun but bring some for the homie
(Sweet Black Pussy)
I only fuck with real niggas only
We can have fun but bring some for the homie
(Sweet Black Pussy)
(Verse 2 by Mc Eiht)
I gives a damn how these hoes tryna floss these days
Cause they still gets the nuts, fucks tramps and sluts
I must have kill it, the way you want me, ride the pony
'Secrets' like Toni(Braxton), members only
Dresta, I heard they turn in tricks for bucks
2 tricks get the dicks hard, ready to suck
Don't be havin me in suspense, but in the meanwhile
I be dippin up in the LB with C-Style
Back to the CPT, home bud and Tanquerina
Beatin' up the pussy like Ike(Turner) beat up Tina(Turner)
You know me, the gangsta love'll never wine and dine
Keep it tight, anytime I fuck it like 
Lately the Hype, I know it ain't right
3 a.m. I ring your phone every night
Let's play house, no cat and mouse
Don't floant it, Eiht just give it how you want it
But in the end don't press your luck
Because ain't no bitch like the bitch I fucked!
(Chorus)
(Verse 3 by Crooked I)
Fuck the bullshit, the pimps at the pool pit
I know that you want chips but dick is all you get
I knock them skins out like always trained by custom auto
Never givin' a bitch shit, that's a hustlers motto
Except sumptin' to swallow
Now your boyfriend wanna follow
Hit a nigga with a hollow tip and fuck the bitch tomorrow
I can never be your simp, trick!
I'm slappin bitches with 9 inches, the limp dick
Plus a pimps dick
Dig short, small, diggin 'em large and tall
Y'all the bigger they are the harder they fall
I fuck 'em all!!
The ho-philosopher, broke, dope and popular
Still strokin' , now goin deeper than Ocean (??)
I got your 'bra, gettin ready for the pony ride
Doggy-style, so I can hit the backsiiiide
Grab the head pump that ass in the air
What did you know?
The ho hollered:'how ya do dat dere?!'
(Chorus)
...Sweet Black Pussy... -till the end",https://genius.com/Mc-eiht-black-pussy-lyrics
Goin’ Out Like Geez,We Come Strapped,1994.0,"Geah, We in the muthafuckin house for the 94
Eihthype in the muthafuckin house
Geah, MC Eiht and DJ Slip in the muthafuckin house
Uh, Compton in the house, nigga
Compton in the house, fool
Compton in the house, bitch
Geah

You can nail me to the muthafuckin wall
You can bust me in the head with gatz
But punk ass nigga I'll be back, geah
You fucked up when you tried to blast on this trigger
Nigga didn't smoke my ass with the
Fuckin blood runnin down my back
I pull the muthafuckin strap on the sneak attack, uh
Load the hollow points into the hot Glock
Got my eyes on the crib at the end of the block
Don't give a fuck who's inside
His little sis' caught the fuckin slug so I jumps in the G-ride
Feelin cold as I look at the murder metal
Hear the sirens so I hit the mutherfuckin pedal
Tyres got to spinnin, I can see the smoke
Could barely catch my breath as I start to choke
Off the blood, from the 38 slug that was planted in my back
Damn that was wack
Dip through the back streets so I can slide out
The G-ride to my homie Chills to hide out
Dump the mutherfuckin Glock, it was dirty
Bammed on my nigga door, damn Chill heard me
He opened up the door and I fell straight in
Passed out for a second cause I lost my wind
Woke up to hit the mutherfuckin weed and Chill looked up and said:
""Damn Eiht you bleedin!""
Niggas they pulled the fuckin sneak attack
Fucked around and caught 2 to the fuckin back, geah
Niggas was buckin tried to put me down
Some punk muthafuckas from across town, uh
You won't be chalkin up one for your sorry set
Ain't dead yet
Just label me a deadly threat
Get Boom Bam on the mutherfuckin phone
Get the 19 shot cause nigga it's on
I know the spot where them punk niggas chill
Hit their hood with the big black steel
I do it my way like M.J
Slam dunk these hollow points in you, punk
No time to think about it twice
Leave these muthafuckas in traps and scattered like fuckin mice
Boom Bam meet me at the spot, I'm shot
I don't give a fuck they gon' get got
One time's on my dick, fuck it
Jump out, run through the alley to the bucket
Now the bullet starts to travel, I caught a shiver
But fuck it like the mail man I'll deliver
I hoppes out the bucket and I'm bleedin bad
But fuck it don't sweat it cause I'm too damn mad
Don't give a damn of who's in the line of fire
Grabbed the 'K and kneeled down by the tyre
They bust at me and I bust back
Boom Bam bring up the rear with the fuckin Mac
I buck one in the chest he start to beg
""Let me live""
I slipped, caught one in the leg
My nigga Bam let the mutherfuckin Mac spit
Here comes Tha Chill over the fence, fuck this shit!
I grabbed the 'K and kicked in the front door
90 rounds spittin as I catch 2 more
But I don't give a fuck about these
Mark-ass niggas, we'll go out like G's
Come on
Compton in the house, nigga
Compton in the house, fool
Compton in the house, geah
Compton in the house, bitch
Eihthype in the muthafuckin house
For the 94, geah
My nigga Slip in the muthafuckin house
Half Ounce in the house
Niggas On The Run in the muthafuckin house
And this is going out to all the Compton G's, geah",https://genius.com/Mc-eiht-goin-out-like-geez-lyrics
Nuthin’ But the Gangsta,We Come Strapped,1994.0,"Geyeah, we in the motherfuckin' house
Eiht Hype in the motherfuckin' house, geyeah
1/2 Oz in the motherfuckin' house
My Niggas on the Run in the motherfuckin' house
Lil Hawk and Burn in the motherfuckin' house, geyeah
And ain't no love in the nine-fo' ho

It makes me want to jack motherfuckers in the fog
Let them hood rat bitches know the true meaning of a dog
Makes me want to be a nigga, for hire
Let five-oh feel the motherfuckin', fi-yah
Hold my nuts and make my cash
Break this ten and a half off in your ass, uhh
Walkin' with a strap and a bad ass rap
You get off first, before your enemy tries to peel your cap, uh-huh
And bitches can't hang with the pack
Fools talkin' smack, it makes me smack you right back
Niggas got beef 'cause Eiht Hype's a mack
And since the age of thirteen, I've been 
packin'
Fool I slang a gang of twenty bags
Thick stuff in my pocket makes my khakis sag
Always on the lookout for the, helicopter
Blast from the AK fill the fuckin' copper
It's do or die, motherfuckers die
Niggas from the Compton streets so don't even try, nigga
You get slugs from the snub for offendin' me
Ain't nuthin' but the gangsta in me
 x3
Nuthin' but the gangsta, yeah
(Spice 1 come down)

I am a G, yes I'm only a G
Walks like a G, talks like a G
So A to the motherfuckin' K
It's your one eight seven proof ass nigga from the Bay
Run up because uh my gat's quick, to slap shit, pistol-whip they ass
I'mma do the blastin', Eiht you get cash and
Dash, the fuck out the cut
Fifty bullets up in the next nigga that's how we runnin' up
I pulls my hat to the back and I slide when a motherfucka peelin' his cap
Pick out my nine millimeter uzi -- barrel chrome, handle plastic
So killamatic killamatic, killaman killaman with me Glock
Piggedy pop motherfucka, watch em drop, motherfucka
Just a G, comin' up out the Bay with a fat AK
Put it in your face and split your wig nigga, zag to zig nigga
Disrespect me I'mma bank ya
'Cause I'm nuthin' but a motherfuckin' East Bay Gangsta
 x3
Nuthin' but the gangsta

Check it out
Oh my God! I destroy cities like The Blob
Droppin' trunks of funk and I blast a punk from here to Cape Cod
Fuck a job, my organization runs like the mob
The original Joe Pex Flex, Redman bitch you better ask somebod
Prepare to slam from here to Japan with jams
I'm from the Jersey section and I keep it real for ninety-four and
I can't march on swap meets, y'all duck sects I dissects
But I pack a nine gat and the cops, still don't know where mines at
Black, huh!! I snatch the Beauty from the Beast
It's that funk deceased nigga comin' thru bitch so grab your hairpeace
I got the gangsta in me plus I'm not friendly
To a bitch-ass whose mouth runs more laps than the Indy
Now let me spice the track up, MC Eiht pass the bone so I can get lifted
And a head can get blown when Bronx pass the biscuit
I drop the funk and drop a body to show I'm serious
The gangsta means I'm live, rappin' from New Jersey, period!
 x8
Nuthin' but the gangsta

Hit the weights everyday like Popeye the sailor
Bailin' with my starched up khakis and Chuck Taylors
Just touched down from San Quentin
Hand me that fresh ass Pendleton, uhh!
It's nuthin' but the gang, thing
Makes me hit the corner and slang
Board and quarter about a hundred times
Don't be servin' no dubs and dimes
But I do it, no hesitation
Fuck it, I'mma violate probation
No one gave a mad fuck about me
Since the age of eight I roamed the halls of LB
Pops boned out
 never had a 
big brother
Put on the set when I could pick the right color
The homey put me down on a half a bird
Turned it into key now they buyin' from me
Rollin' in the Trey on fuckin gold d's
Nuthin' but the motherfuckin' gangsta in me, geyeah

Nuthin' but the gangsta, yeah
Nuthin' but the gangsta, come down
And that's how it's going down
That's how it's going down, uhh
1/2 Oz in the motherfuckin' house
Niggas on the Run, Lil Hawk and Burn
Nuthin' but the gangsta (x4)
Yeah",https://genius.com/Mc-eiht-nuthin-but-the-gangsta-lyrics
Def Wish III,We Come Strapped,1994.0,"You got it started, so let me finish
Fool you can't fuck with the straight up menace, nigga
It's time to pull your fucking card
Bookworm, let me see you squirm cause you ain't that fucking hard
Huh, you tried to put it to the test
But ain't no way your bullet proof vest can protect that bird chest, nigga
Call me the night creeper, the Grim Reaper
Like Boss is deeper, can't escape the street sweeper
Uh, say hello to the motherfucking tool
And try to pimp like you're so damn cool
Nigga, I fly heads, leave your whole family dead
Save the drama for your mama cause Eiht bucks lead
Yeah, I catch that ass up on the flip side
Eiht unloaded a clip and Quik died
I'm giving you a chance to get your bail on
I'm taking my nine and putting it to your fucking dome
Now throw your fucking hands in the air
When Eiht is evil cause I got the damn Desert Eagle, nigga
You on your ass like fast in a trap
Me? I fuck your ass like a hoodrat bitch in heat
Take two to your chin and punk I'm straight
Like I said in the beginning don't fuck with Eiht
Don't fuck with Eiht (Repeat 4x)
I need two straps to complete the task
Putting double up fucking wholes in your ass
Think fast, cause you ain't to quick to get dicked wit
You just another punk ass bitch talking bullshit
Uh, it's time to vamp, lick my nuts like a stamp
Before your ass breaks camp, you get fucked like a tramp
Named David, they should call you Silly Billy
Mark-ass nigga gets rolled like a philly
And you don't want to see me
DJ Quik in a khaki bikini
You're schiesty, keniving, skinny like a clucker
Must be smoking, you's a short motherfucker
You can't handle these things when I slang
Cheap like SWV you're too weak
Put your shit up on a hanger
Never could you fade a Compton banger
Nigga, I'm the one that'll make you cancel all your shows
Strictly for my niggas, so fuck them hoes
No sing no dance, no dance no sing
Just your bald-headed ass with your lips on my big fat thing
Def Wish 3, fool, I lay you to bed
Nighty night, motherfucker, take two to the head
Just some more Eiht shit for that punk that I pop
Uh, and it just don't stop, uh, and it won't stop
And it don't stop, uh, and it won't stop
And it don't stop, uh, and it won't stop
Uh, don't fuck with Eiht, bitches, sing
Don't fuck with Eiht (Repeat 4x)",https://genius.com/Mc-eiht-def-wish-iii-lyrics
Heart Cold,Which Way Iz West,2017.0,"Showin' love to my peeps so my love don't change

His heart is cold
Hey
Hey
Hey

Showin' love to my peeps so my love don't change

Hi, it's the original seminal MC criminal
Literal lyrical, pinnacle of women who rap
The inhospitable unfuck-with-able villain
Sent here to finish you no subliminal
I'm just givin' you facts
I hit the track, the reaction is chemical
Spittin' you lines of invisible force
Empty MCs nobody's feelin' you, now I'm fillin' you up with premium
Leavin' 'em curious killin' these cats
I step in the rage without ya weapon and gage
It's like catching a fade with Kimbo
I slice up anyone of these bimbo's
And all the kinfolks, and never scuff up my timbos
(his heart is cold)
And mine been froze, I
I toss that ass out a limo window and into limbo
Now go switch up the tempo and murder the stage
See, she's aight but she's not Rage shit
Neither is he though
I'm ill, I need chemo
I'm live, it's no TiVo
Rewind my whole steelo
Magnificent flow evil
Magnificent no equal
And in the spur of the moment
I'm like the Spurs in that moment
And it hurt don't it
When I stick my spurs in my opponent
Geah

G-g-g-g-g-geah
Showin' love to my peeps so my love don't change
G-g-g-g-g-geah
I-I-I-I still got love for the neighborhood
G-g-g-g-g-geah (geah)
Showin' love to my peeps so my love don't change
Criminal minded on you muthafuckas
I-I-I still got love

It's the, original criminal
Y'all subliminal
Loc, I break it down to the last of minerals
That's any individual
Killin you'd be the pinnacle
For you to beat me it's gonna take a miracle
I'm so sick the heartbeat that hate made
Down by law, the ill streets and dues paid
Whack hoes and niggas is so flossy
Eiht remain true, my home girl is bossy
Grab the pad and pen tell tale's a struggle
The hood took me under, so niggas is in trouble
Necessary the roughness, so ruff fits
And rough and tough is only how this roughneck spits
Geah
You see allstars and clouds of endo
By any means a couple shooters right out your window
Now is it cold, Loc, the heart is rock stone
Niggas come with that whack shit socked and cocked on
Geah

G-g-g-g-g-geah
Showin' love to my peeps so my love don't change
G-g-g-g-g-geah
I-I-I-I still got love for the neighborhood
Let me get that
Blue Stamp
Year Round
Showin' love to my peeps so my love don't change
Geah
I-I still got love fo-fo-for the neighborhood",https://genius.com/Mc-eiht-heart-cold-lyrics
Thicker Than Water,Section 8,1999.0,"Gyeah
Westside
Somebody told me
They want some of that thug shit up in here
Gyeah
& I'mma represent it to the fullest
C'mon
For all my CPT G's in the house
Check this out

As my life takes a twirl
I say fuck the world
Cause sometimes it seems
That it's all a bad dream
Pops must have fucked with moms
On the scheme
But sooner or later
He left our 2 man team
But fuck him
Times done changed I'm in the game
And I bring moms pain
Cause the game is slangin caine
Cries from my eyes as I hits the street
Pounds in the chest tha heart beats
As I roll with heats
Pops wasn't around but for a minute or shit
Until he skipped across town
With another bitch to stick
Stuck moms one more times
Then dropped a dime
And on top of that
Had a son same age mine
But, uhh, don't blame me
Cause Lord I try not to
Have an attitude like 'fuck him until I die'
But now I rebel and cause moms hell
And hit the blocks
Cause I'm into makin illegal mail
Gyeah

If you keep your hood tight
Everything's gonna be alright
If you're down then you can ride with me
It's thicker than water baby
Me and you
It's thicker than water baby
So what we gon do

Now I runs with a gang
That Hoo-Bangs for fame
And crosstown robberies know tha nickname
Leave 'em dead in they shoes
As we servin the blues
G's that pack tools pay dues to rule
So it's cool they dumps and we dumps back
Me and my G's and the 6-4 black
Layin 'em flat Rata-Tat-Tat
From the Gat and shit
We represent y'all hit the bricks
When the pistols spit
And I had a straight bitch and shit, that's cool
I slang for cash while she hit the books in school
I live and die for the hood, she knew the rule
Love for this thug when the world would seem cruel
I crips where the enemies dwell but I'm no fool
Undercover drive off strapped with the tool
But I slipped then packed my clip
My hoodrat tripped and didn't scoop
But they still didn't shoot
Gyeah

Chorus 2x

I made it to Deuce-5 baby and that's luck
In this rap shit to try to make some bucks
(ching , ching)
Seems like the gang bang thang got tougher
A little bit younger but then bit rougher
They been tellin me
To watch out for jealousy
Cause now a friend of me was a enemy
Strange the game done changed switched
Ain't that a bitch
With the rivals makin some change
In and outta lanes in the passenger seat
Me and you and our crew strapped with heat
Outta town runs for funs no beef
We all hit licks and blows the chronic leaf
But payback's a bitch in the end you know
And she sets up traps
Cause she snatch for dough
Let it go no come up your last trick
Cause my brother's got my back
When the shit gets thick
Gyeah

Chorus 2x
Gyeah
Westside
Somebody told me
They want some of that thug shit up in here
Gyeah
& I'mma represent it to the fullest
C'mon
For all my CPT G's in the house
Check this out

As my life takes a twirl
I say fuck the world
Cause sometimes it seems
That it's all a bad dream
Pops must have fucked with moms
On the scheme
But sooner or later
He left our 2 man team
But fuck him
Times done changed I'm in the game
And I bring moms pain
Cause the game is slangin caine
Cries from my eyes as I hits the street
Pounds in the chest tha heart beats
As I roll with heats
Pops wasn't around but for a minute or shit
Until he skipped across town
With another bitch to stick
Stuck moms one more times
Then dropped a dime
And on top of that
Had a son same age mine
But, uhh, don't blame me
Cause Lord I try not to
Have an attitude like 'fuck him until I die'
But now I rebel and cause moms hell
And hit the blocks
Cause I'm into makin illegal mail
Gyeah

If you keep your hood tight
Everything's gonna be alright
If you're down then you can ride with me
I'm leaving it all up to you, baby
It's thicker than water baby
Me and you
It's thicker than water baby
So what we gon do

Now I runs with a gang
That Hoo-Bangs for fame
And crosstown robberies know tha nickname
Leave 'em dead in they shoes
As we servin the blues
G's that pack tools pay dues to rule
So it's cool they dumps and we dumps back
Me and my G's and the 6-4 black
Layin 'em flat Rata-Tat-Tat
From the Gat and shit
We represent y'all hit the bricks
When the pistols spit
And I had a straight bitch and shit, that's cool
I slang for cash while she hit the books in school
I live and die for the hood, she knew the rule
Love for this thug when the world would seem cruel
I crips where the enemies dwell but I'm no fool
Undercover drive off strapped with the tool
But I slipped then packed my clip
My hoodrat tripped and didn't scoop
But they still didn't shoot
Gyeah

Chorus 2x

I made it to Deuce-5 baby and that's luck
In this rap shit to try to make some bucks
(ching , ching)
Seems like the gang bang thang got tougher
A little bit younger but then bit rougher
They been tellin me
To watch out for jealousy
Cause now a friend of me was a enemy
Strange the game done changed switched
Ain't that a bitch
With the rivals makin some change
In and outta lanes in the passenger seat
Me and you and our crew strapped with heat
Outta town runs for funs no beef
We all hit licks and blows the chronic leaf
But payback's a bitch in the end you know
And she sets up traps
Cause she snatch for dough
Let it go no come up your last trick
Cause my brother's got my back
When the shit gets thick
Gyeah

Chorus 2x",https://genius.com/Mc-eiht-thicker-than-water-lyrics
