title,album,year,lyrics,urls
Bring It On,Stress (The Extinction Agenda),1994.0,"Bring it on motherfucker, bring it on!
Bring it on motherfucker, bring it on!
Bring it on motherfucker, bring it on!
Bring it on motherfucker, bring it on!

Moncha, I even be gettin' more graphic
Than a Neo-Geo thirty-two bit computer chip
Be slipped between my lips and then I'll spit
Spit it out, spit it out, go ahead, spit it out
That itty-bitty style you upchuck
Better believe I butt-fuck MCs from the rear
It appears you're stuck up
It's my terminology that strikes the mind
And rips this beat apart
You know the many styles I choose
Will bruise crews from the start
I flow awkwardly, that's awkwardly I flow, that's to the rhythm
Incisions are made into the brain
And then I begin to give 'em a lobotomy, follow me
I'm shapin' your brain like pottery all over the track
Gimme the P-H, gimme the A-R
Gimme the O-A, gimme the H-E, Pharoahe
Crazy poison tip arrows are hittin' you from all directions
You cannot dodge or manage to dislodge them
From the point at which they are connecting
I am s-s-selecting a n-n-n-new style-style
For the p-pile-piles of MC's who try to get buck-buckwild
F-F-F-Fuck that! When I'm in a renovative state of mind
I'm innovative, never been afraid of rockin' the microphone
I'm prone to be eliminating
Cling when I sing a song of sixpence
If it makes sense then sing along
Cling along to my nuts if you got guts then bring it on

Bring it on motherfucker, bring it on!
Bring it on motherfucker, bring it on!
Bring it on motherfucker, bring it on!
Bring it on motherfucker, bring it on!
Bring it on motherfucker, bring it on!
Bring it on motherfucker, bring it on!
Bring it on motherfucker, bring it on!
Bring it on motherfucker, bring it on!

There is no equivalent one consider me the epitome of rhymes
Rhythm to techs execution is parallel to them with an exception of the organisms
My telepathy cannot be dismantled
 
so stop sweatin' me
Advanced data, now watch your greater updates and raps get trampled
Fee-fi-fo steps up
 
elevations show
That I'm ahead of your time, specifically right behind a dope rhyme
Rippin' shit up at prime time, I'm
 
Optimus Prime/time material
Imperial wizard of vocabularic havoc
 
I eat MC's like cereal!
That's soggy,
 
milky skills like Mister Miyagi
When it's foggy I release globby spits of remains of rappers in the lobby as a hobby
I'LL, rip your nit-SHIT GET STICK QUICK, GET YOUR CREW - before I do
Something gory to your quite futile STYLES
Miniature raps get waxed, simonized
Into the fifth dimension of your centrifugal never typical stand attention
I'm, mystical rip shit til the power blows (BLOWS!)
Those chose to compete we delete em, observe defeat!
That's sendin' down from above to GET CHA, HIT CHA, split cha ditch cha
Picture you, victorious
I'm gory plus your shit's mad boring
Bring it on

Bring it on motherfucker, bring it on!
Bring it on motherfucker, bring it on!
Bring it on motherfucker, bring it on!
Bring it on motherfucker, bring it on!
Bring it on motherfucker, bring it on!
Bring it on motherfucker, bring it on!
Bring it on motherfucker, bring it on!
Bring it on motherfucker, bring it on!",https://genius.com/Organized-konfusion-bring-it-on-lyrics
Stress,Stress (The Extinction Agenda),1994.0,"Crush, kill, destroy, stress
Crush, kill, destroy, stress
Crush, kill, destroy, stress
Crush, kill, destroy, stress

Pain, stress
My brain, can't even rest
It's hard to maintain the pressure on my chest
Excess frustration strikes!
Blood rushes my head when I come across roads
With dead mics and wack promoted shows it's hard
But with the presence of God
I'm true to the game
So I'm back, black, to take charge, and recapture
The time, wish it could never be wack -- I'm pure
I insert my lifeline into the track, the energy
In me is a poison with no unrevealed remedy
I'm spreading like leprosy throughout the record label
'Cause mines put me and Monch's career in jeopardy
Can you come see me in the ghetto where it's dark?
Bullets are real lost peeps lurks in the heart
Lord knows it hurts, we kick the Hertz to the curb
Execute first things first, and put blunted minds to work
My herd's tight and my fans supports
So I'm a-ight for the time being seeing peace
But taking no shorts (no shorts)

Crush, kill, destroy, stress
Crush, kill, destroy, stress
Crush, kill, destroy, stress
Crush, kill, destroy, stress
(album version includes a short ""taxi cab"" skit here)

You will now consider me the apocalyptic one
After this rhyme, henceforth, there is none
No more will exist when I emerge
From the mist in whence I was born into, scorned
Most of you can't even comprehend what I am saying to you
Even in my human form the message I'm relaying
Why do you choose to mimic these wack MCs?
Why do you choose to listen to R&B?
Why must you believe that somethin' is phat
Just because it's played on the radio 20 times per day?
My perception of poetical injection is ejaculation
The immaculate conception
The hall walker, who stalks bodies in Central Park
Soon emergency services'll outline that body in chalk
Then I begin to walk away and spit
Then when I walk away I talk shit!
Huh, a driver sprayed my face with mace
She didn't know that I enjoyed the taste of radioactive waste
When I'm in the backseat of your mid-town taxi
Don't even ask me for the cash G
The four cabs before didn't pick me up
Now ask yourself who the fuck's gonna stick me up

Crush, kill, destroy, stress
Crush, kill, destroy, stress
Crush, kill, destroy, stress
Crush, kill, destroy, stress",https://genius.com/Organized-konfusion-stress-lyrics
Stray Bullet,Stress (The Extinction Agenda),1994.0,"Let the trigger finger put the pressure to the mechanism
Which gives a response for the automatic *bang*
Clip to release projectiles in single
File forcing me to ignite then travel
Through the barrel, headed for the light
At the end of a tunnel with no specific target in sight
Slow the flow like H₂O water
Visualize the scene of a homicide, a slaughter
No remorse for the course I take when you pull it
The result's a stray bullet
Niggas who knew hit the ground runnin' and stay down
Except for the kids who play on the playground
'Cause for some little girl she'll never see more than six years of life
Trifleing,
 when she fell from the seesaw
But umm wait, my course isn't over
Fled out of the other side of her head towards
A red Range Rover, then I ricochet
Fast past a brother's ass, oh damn, what that nigga say
""Aww fuck it"", next target's Margaret's face *bang*
And I struck it, now it's a flood of blood in circumfrence to her face
And an abundance of brains all over the street
Shame how we had to meet *bang*
Dashin', buckin', greet by fuckin' family
They follow behind me in a orderly fashion
Bashin' through flesh, I'm wild
Crashin' through the doors of projects hallways to deflect off of the tiles
I'm coming for you little girl
Once inside I shatter your world
Swirl, no more dreams, no hopes when I spray
You better pray to the Pope or the Vatican before I go rat-tat-a-tat again
I'm mad again brother somebody's mother will be sad again
But whose blue skies will turn grey
From the attack of the MAC-11, I'm a stray bullet


Great balls of fire, I'm travelling at higher speeds
To proceed to penetrate flesh, hitting the splint
After splitting the chest of a Queens fiend
Age of pagers shredded to pieces from the Glock 9
And it's hollow tips it releases
The police is in back of the ambulance
Blood loss as I shift across your chest
Arrest, rupture, I mess up ya, slasher
I bust ya liver, faster, blood pours *bang*
Now it's up to the master, boom, as I crash open the doors
Thank me for spraying the operating room
The body still consumes me, doc had to remove me
Mmm lord, why do they use me? *bang*
I'm takin' individual for keeps, Hobbes
So peep the cops in the ghetto bustin' shots for props
And when I hit, shit *bang bang bang bang*
Soon you forgets-me-not
Cops tried to explain to his pops what I've done
I flip up the hollow tipper and I'm not the one
And as a human I'm the surprising one
Prince Po I flow the ripper
Either way you never, ever know how I'm coming
Metamorphasizing, rising in turbulence
Condensed into a bullet, pull it, now I'm making moves
With no sympathizing, uhh, so take a hit nigga, sprint *bang*
Onto the scenario, I'm at a party with O
A lot of honies parlay and the DJ's playin' the Fudge Pudge flow
Five niggas come up in the club for a rub
[Yo O peep it, oh shit O duck (oh shit!, oh shit!)
*pop pop pop pop pop* *woman screams*]
Another hit, another struck
Here comes Mr. Stray Bullet
Five, the tip, getting my jollies from the screams of the ripped
In your chest, then I flip
Nip your liver, blood flowin' like a river
Money starts to shiver then I give a delivery of burns
Bruises, fake shoes is your renaissance
No response your moms is out cold
Figure I'm bigger takin' your heart nigga at twenty years old
Stray bullet",https://genius.com/Organized-konfusion-stray-bullet-lyrics
Releasing Hypnotical Gases,Organized Konfusion,1991.0,"As you look from henceforth I come
Riding the wind thus eliminating competition from bird's-eye view
I'm descending in helicopters in a village raid
Flesh will burn when exposed to the poetical germ grenade
I'm highly intoxicating your mind
When I'm operating on cell walls to membranes
Cytoplasms and protoplasms
Disintegrate 'em, eliminate 'em, now no one has 'em
 
in battle
I display a nuclear ray that'll destroy bone marrow in cattle
Thereby destroying the entire food supply
That's crawling with AIDS, maggots, flies
It's ironic when a demonic government utilizes bionics and a six million dollar man to capture me
Clever, however you could never ever begin to apprehend a hologram
Who's determined to fight solely
To defend in wars a land of the holy
I threw a rock and I ran
'Cause I couldn't stand anymore within the depths of the sand
So don't ask me who's sane
'Cause the hypnotical gases are eating my brain

Oxygen levels... check it
Hydrogen levels... check it
Nitrogen levels... check it

Twenty-thousand leagues down below
Minus one-hundred and forty three degrees
Seize the info, gather the archaelogists
The aftermath needs to follow this 
'cause it's deep
Equivalent to the esophagus
Spreads to scientists, a.k.a. 
Optimus Prime
Time, television is dead
On this issue and very much irrelevant to this intuition
Deleting any alias info and descriptive mortal calm
Partition with infrared light vision
Precision, beams, colors, reds, fuschias, lime-greens
Black, don't you know my formulas form dope lyrics
Uplift spirits and yo I hear it's fatal
To walk the path of Konfusion
Where it's torture some cherish
While most human-like beings perish
Subjected to death
Their bodies don't agree with the hypnotical intellect
Poetical acid is burning up flesh
At the end of corridor you see me sitting there, Johnny More Grotesque 
literature
Somewhat equivalent to concentrated sodium hypochlorite
Insight, foresight, more sight
The clock on the wall reads a quarter past midnight
You feel nauseous
Forever you will avoid my royal presence as I step into darkness

Now is the time...to stretch your brain to its maximum

I am one who is one with all things
Thus the unorthodox I am
The paradox I am
The equinox extending my hand into dimensions
To unlock new doorways
And so the light has revealed to me that there must be more ways
And so I play with rhythms
It's nothing more than a mere game
Enabling me to advance in wisdom
Words will exist like vampires
No need for sunlight
From concentration camps I escape with my sanity
In 2010 every man will be subject to global warming
Formless oval, millions of locusts swarming
Seek and you shall find the deliverer of a rhyme
The intelligent one utilizing the mind
Third vision,
 surrounded by a three-sided figure
Containing the brain, 
the triggering mechanism from which I strike
Sight beyond sight, sound beyond sound
Which comes from below the magma, the granite, the ground
The surface will seperate dispersing harmful ashes
Your optics will not be able to detect the deadly hypnotical gases
Damn it's hard to breathe
But if I got one breath left
I'll suck wind from the valley of death
Here I come from the slums of Earth to center
I reveal myself as a beast within a
Unbreakable shell, walking through the doorways of Heaven
Or is this Hell?

The time is now... right now
This is the hour! This is the new dawn!
This is the new day

As I step into the thunderdome with flows as the wind blows
Visualize the intros
Releasing hypnotical gases, chemicals mixed, fixed
Taking it to the sixth round of poetical warfare
Energetically I walk with the flare
Rampaging like a rock-like figure
Throughout the night's atmosphere, I swear
My wrist holds mind-trigger, darkness can't overshadow me
'Cause of high rate of smashing you then trashing you
After I'm bashing you with my hammer
Whenceforth passed to me by Odin
Occasionally my profile is low-key
Gamma rays
 brainwashed to transforms me
But I still withhold my hammer to lift me up
For God still is my uplifter
I use this knowledge just to crush the cluster of Grifter
Night approaches so I proceed in flight
Back to the Hall of Justice as I continue to disintegrate 'em
Translating the codes in hypnotical language
Then a Theta assault stepping up
Frontin' to be quite blunt a radical creator of a 
poetical, hypothetical, mathematical slang slur
 punch that stuns and amazes and dazes and phases the stages
With pages of the lost chapters
Unfound factors
So I stretch like Reed Richards across the land
Continue with reading your equilibrium
With concepts that confuse ya, metabolism's fallin' off
Data consider oblivion
Now as I walk through the valley of death
Ignoring the battle lashes and gashes and rashes
The atom smashes 'cause I released the last hypnotical gases",https://genius.com/Organized-konfusion-releasing-hypnotical-gases-lyrics
The Extinction Agenda,Stress (The Extinction Agenda),1994.0,"...the extinction agenda
......the extinction agenda
...Back is the incredible O-R, G-to-the-A
N-I, Z-E, D with a K
O-N-F-U-S-to-the-I-O-N

Emerging up, to another level, there I stand
Hand to hand rap combat black
Back in the land I expand data for the wack
Leaving mutilated bodies lacerated limbs grim sites
And new jacks, pick up six and grab the ore
Dig deep into the ghetto (absorb)
I take you to a new realm
Levitating above the norm
 
anticipating me to pick up
Seven more new jacks and commencing with this and fading
(So how dare you question) The original aborigine
In the vicinity the city's committee consider me
The trilogy of terror
, 
whatever I do I bring light
You're blinded by the glare of the trendsetter
Beware when I strike, blueprints like no other
The soldier of fortune, the undercover
Rebel of rap attackin the ones who's attackin blacks
I'm on a mission of peace, I make tracks
Elevate with the almighty God in front of me
Teach seeds in the hood the truth
, the wannabe
Competitor will have no other choice but to surrender
Can't stand the pressure, the extinction agenda
(2x)
The Extinction Agenda, hah!
The Extinction Agenda, uhh
The Extinction Agenda, uhh
The Extinction Agenda, uhh

I'm the poetical poltergeist
 
I heist tracks from the past
And return 'em to the present time in rhyme form
What was once dead is now resurrected on the record
And the physical words are mere residuals for my bidding
For my disposal to dispose of... who are you kidding
Nightfall, I stuff the rook, then I'm looking for
The original book which contains the words of God
Six hours until dawn, my quest to capture the
 
queen
Without being seen by the pawns
Call me Bishop, bishop takes rook, rook takes pawn
Pawn takes knight, knight takes queen
Queen takes the original King James version (check)
I'm surgin up when I'm emergin
False clergymen you're urgin me to call you a virgin
When to say the least
Who can you trust when a priest is now the beast?
(who? what? why? and when?)
I'm the assassinator of rap
Hit rip rhyme rap ritual hit you with my best shot
Get you sit you down, let you know I never get dropped
When I flip-flop hip-hop, when I wreck shop (nigga)
I move, with the finesse and the smoothness
Even inside of the grooves of a record
, 
check it
Check it again, check it again, check it again
Check the metaphors, make sure they're making sense and then
Gimme one-hundred percent credit
Let it, medi-tate, in your brain, like a seda-tive
I said it and I bet it dwells in your bloodstream.... let it live
The verses of curses that burst in the face of the first time offenders
In the realm of the extinction agenda",https://genius.com/Organized-konfusion-the-extinction-agenda-lyrics
Thirteen,Stress (The Extinction Agenda),1994.0,"Rock- rock on with your bad self

Coming-uh, coming-uh
I'm comin' like a redneck trucker!
Watch your back *screech* you can't steer it
Face the bass drum, you run when you hear it
It's the most incredible rap, individual style
Piles up like drug cases in Queens
County Criminal Court, shorty, step back
Nigga you oughta watch it, my whole herd's packin'
Fuck rappin', let's take it to the corner of the block
And battle with the {TECs} and the {Glocks}
But if you'd like it to the stage and mic it
C'mon dere, that's how I like it,
 uh!
Hit me in the face, why don't ya
Prince Po will hunt ya and puncture your voodoo doll
Pharoahe, I'm no slave to a rhythm, I whip it
Then I take its name and change its religion
Then I chop the foot off the fuckin' beat
For trying to escape the track, now it's obsolete
That's just the state of mind that I'm in when I...

Rock- rock on with your bad self

I- I used to play beats on the lunchroom table
This it really enables me to stay stable inside of my mind
Thus allowing me to climb and then shine
This is a process that will occur in due time
Bust, everything I thrust is activated
Styles I file are not decaffeinated, I'm rough
Tougher than Tonka, why I even electrify the sky
As if I was Blanka
Kids follow me and my Phillies like Willy Wonka
Silly,
 
I assault and conquer, the cult and brainwash
And squash your little minds with rhymes
Rhymes that are rituals
So I say motherfucker, bitch-ass and Glock to spark brain cells
Not to sell units, you know
They say motherfucker, bitch-ass and Glock
For the periodical table of contents symbol Au
Hey you, you can't deny when I bust caps, the whole block scatters
Scraps of matter shatter, mad glass and what not
Crazy medical attention is needed to make a cop stop bleedin'
Then I'm proceedin' up the block
 with Prince Po, renegade
Raps shatter shows like grenades
I rip your shit like Sinead when I...

Rock- rock on with your bad self

Pa-pa-pa power power, ugh, I got the power
Gimme a pen and a pad I'll be back in an hour
With some more fat shit, I tell ya, MC Monchichi
I'm kickin' the po' black shit now
La-Di-Da, I flip it La-Di
Live at a Mardi Gras, 
or even at a party
Give me Bacardi, (hah) I smoke blunts
Stunts I wanna hump, chumps, I wanna pump 'em full of *gunshot*
I never ask the crowd to jump
I kick a rhyme, that ask-es you to use your mind
Flippin' it for the masses,
 kickin' a lot of asses
The M-O-N-C-H-E,
 I drink forties of brew
With the crew that rolls deeper than the Mediterranean
Here comes the rain again!
Flowin' on my head like a memory,
 now I got energy
That's for the enemies, that's in the industry
Who don't wanna be friends with me, I say fuck 'em
Suck my dick from the back
With a crazy straw, you lazy whore
Do that shit to make a dick expand but whatcha did
No teeth, no hands
Moolie, what am I an asshole?

Asshole!
What am I?...
Ahh! Uhh! Mmm, hah!",https://genius.com/Organized-konfusion-thirteen-lyrics
Prisoners of War,Organized Konfusion,1991.0,"I stand here before the forces of evil with a style
The poetically God-gifted child
Bringin' forth the story of a lyrical soldier
Blessed to manifest in the eyes of the beholder
Words of wisdom 
never abuse the lines
They increase, as I release a phrase like a Uzi 9
From the laryn-ex
Shot in repitition, words never heard before
But still the rendition of rap will enable me to attack
From dawn to dusk, for liberation
Driven I will never give in to interrogation
The rank, given to me, the Pharoahe
'Cause every blow flows like a crossbow
Equipped to pierce your soul with a poison-tip arrow
Any man wearing a blindfold can be misled
But wise are the ones with the eyes in the backs of the head
Here's the key to unlock the door:
Imagine a poet without poetical flaw
Rhymes are for sure as an attack
'Cause they adapt to combat for the prisoners of war

I drop, smash and cause a damage equivalent to a hydrogen bomb
Raidin' villages like a poetical soldier in Vietnam
Poetry releasin' deadly gasses
Bodies deteriorating as they stalk past the fatal acids
As a rebel of rap, I stop
Load the Luger as I manuever with precaution
As I verbally counterattack
Striking like a mad sniper 'cause I'm the type of hyperactive viper
To wipe away the enemy with no remedy
'Cause I'm the epitome so don't try to get rid of me
You little itty-bitty twenty-five automatic, you're killin' me
'Cause I'm a Glock 9 that will rock your mind, distortin' it
Shorten your brainwaves
As the rhyme intertwine with the sign of the times
Don't sleep 'cause I creep attackin' from the side that is blind
Therefore I gotta be hard to the core
And I walk as a prisoner of war

Wake up to the mathematics of an 
erratic rap
Rejuvenator of rhyme, that sort of come automatic
Poetical medical medicine for the cerebellum
I divert 'em and flirt 'em, insert 'em then I repel 'em
A breakdown, poetical shakedown
Fifty-two pick-up a stick-up so get on the floor facedown
The ammo to keep the people steppin'
Breakin' open the vault because I'm like a verbal assault weapon
I'm mathematical, acrobatical
Attack the wack, take rap to the maximum
You're strung out, you're hung out when you heard the style that I brung out of thin air
Must come out my mouth where I stick my tongue out in the atmosphere
Take a good look at what's happening here
On the microphone, I'm rappin'
Pickin' 'em, stickin' 'em up
Breakin' 'em, shakin' 'em up and bashin'
The lyric dictator, the aviator of antonym
All beware to prepare for the guillotine
Rhymes go express, expert, extreme
Be up to par with wisdom and intellect
Detatching one's head directly from one's neck
Still I've been illing and drilling your brain
Like a villain I came in the darkness to spark the literature for sure
When I rhyme for the prisoners of war

There is strength in my men-tal-bolism
Brains to spare upon info, knowledge, data
Greater aspects affects my future environment
So in the event I drop science to suit ya, uproot ya
Hunt ya down
Verbally attackin' from the ground up to intellectually shoot ya
Lurkin' through the shadows of darkness, shots fired
The spark hits the trees, releasin' lyrical ammo
While I camoflouge in the flash of my stature
Mentally cease MCs that be surrounded I capture
Enemy lines are crushed, bum-rushed
And plus your government officials are corrupted
'Cause they're down with us
Poetical rebels on a rampage of wrecked dialects
Blown lyric projects
Heat is scopin' you through my infrared twenty-twenty scope lens
Steppin' upon base that's when the Organized Konfusion massacre begins with a blast
Never will an intruder approach 'cause they will never ever last
'Cause the task is total termination
Poetry and the Pharoahe starts as the revelation",https://genius.com/Organized-konfusion-prisoners-of-war-lyrics
Why,Stress (The Extinction Agenda),1994.0,"So why you trying to play me though?
Out like a sucker (Repeat 4x)

You're sneaking around like a sneaker baby, what's the beeper for?
Used to do my chores, now you're acting like a whore
Phones at my crib with you off to the store
For now, you don't love me no more?
Hey, by the way who's Kirk?
Left a message on my machine said you didn't come to work
You're AWOL from the job,
 plus who's Rob?
The way you're acting, I think you've been slobbing 'em
Sometimes I swear I think I feel like robbing 'em
But my papa told me never to snuff no girls
You give 'em diamonds, jewels, furs, pearls
Rings and shoes and cars and things
From time to time I wanna diss her
You couldn't blame me if I treat her like Amy Fisher
And dismiss her from the courtroom in a Yugo
You know, something like Joe Buttafuoco
But deep inside my heart, the pain still stings
When I think back and remember I was gonna swing her a ring
For her ring finger,
 yes I used to bang her
Like ""inga binga bunga"" but I'm out like 
Felix Unger
 so uh...


I reminisce back when I was swinging with Miss Pretty Young Thing
She got a kick outta my jeep and a meal at Burger King
I shot her ego down with my maturity
Getting papers from Port Authority doing security,
 uh
She just used to climb up in my whipper whip
Just to stress a nigga quick, young chick on a ego trip
Whip ping ha ha I had to stop the pigeon
Step, find a dove who comprehends exactly how I'm living
So I met a girl around the way from the Uptown set
We used to drown in sweat, uh
She was my darling til I lost my 9 to 5
She started dissing listen pretending then shitting on my pride
She tried to crush my pride so cut off so to the next
Uh, not for the sex, this one used to run through the projects
Gossiping with the next about the next
Loved to cover her neck, for stress gave her a cat as a pet
Itchbay 
didn't know which way she wanted to flow
Flowing with this nosey hoochie when I was out doing my shows
Doing a dem bow, dem bow, dem bow, dem bow
You can't front, you used to bust all over Prince Po
And fall fast asleep into the morn
Girlfriend started flipping, so yo Prince had to be gone
I'm just another brother trying to get around the fakes
And keep my mental state, no matter what it takes and yo...",https://genius.com/Organized-konfusion-why-lyrics
Fudge Pudge,Organized Konfusion,1991.0,"Yeah, yeah
I think, I think Prince should go first on this one
(You think so?) Yeah I think so
(I think so too, get it live)

Here we go again with the funky intro
People approach me knowin' I'm the Prince Po-
-E-T-R-Y, yes and I'm the first batter
The Pharoahe usually go first, but it don't matter (Nah it don't matter)
Funky slices of beats like this
Comes once in a blue, but it's not hard for me to chew
So kick off your shoes and don't forget your socks
I wash and wash up emcees like Clorox
Skills I have, good and plenty
If you want dope lyrics plus ill gimmicks gimme
Beats, equivalent to this, something that I can
Float (float), float (float), float on
It's gettin' breezy so kiddies'll keep ya coat on
When I proceed to light the party
In the summer, somethin' like a Mardi
Gras, bikinis, panties, bras
Juicin' 'em and I'm suckin' the girls up like straws
Oops, upside ya dome
I don't answer the phone when I'm home not alone on the bone
Leave your name and your number and a brief message
At the end of the tone (Booop)
Oooooh, and I like it
'Cause I'm Poetry the psychic
Intellectual lovable brother - nah, nah I don't like that
Yo yo scratch that (you can do better than that) one more time
Rollin' lyrics, off the tip of my tongue (swing)
I swing (swing), I swang (swang), I swung (swung)
Bringin' you the news like Kaity Tong
But I'm not a pretty oriental specimen from
""Hong Kong Phooey, number one super guy""
I love the women but I don't try to see 'em
I'd rather make the money bein on the cover of EM
Get emcees mad make them flare up nostrils
I'm Poetry the rap fanatic I get hostile
Yeah (hostile, hostile, hostile)
Can I can I get a beat?
Yo, Pharoahe's up next yo, yo Monch
Kick it Monch

Pressure pressure pressure pressure pressure pressure cooker
I leave the party with a mass amount of hookers
Slip and slide, I sling the sludge
(Fudge) fudge (pudge) pudge, will never hold a grudge
Up against the wall, I caught you with the drugs
(The organisms are the jury) guess who's the judge?
(You!) I hit the hook heavy
Ready no chitter-chatter I figure since I'm bigger why pitter-patter
Prouncin' on particular poets who persist to portray professional punks
You're just a pussy 
Cat when I'm deckin you
Disrespectin you, clever whenever I select
A new dialogue, one plus one
Get it together, girls don't despair 'cause I'll be your
""Fair Weather Friend,"" friend
No I don't have a Benz and no I don't have an Infiniti
I figure the eight inches of meat will be the remedy
When I pull up to your bumper
'Cause I'll be down to thump a girl like Heather Hunter
I tell you now you'll never hate it (hate it)
The triple X when it comes to sex is what I'm rated
I tell you now that I can give good love
Yes I'm the one you should love (tell us about it)
So don't try to diss Fudge Pudge
'Cause it's alright, with, me
Kick slick rhymes out of the mouth
Tricky in a joust, plus I'm down with Mickey Mouse
C'mon everyone, lets flow to the rhythm of my tongue
To the rhythm of the drum
Emcees wanna battle but they can't get with the
Capital M-O-N-C-H on the mic I get swifter
Than the rest of them maybe even the best
Scoring 101 in a poetical test
So O.C., if you know who you are
Get on the mic become a superstar

The form I signify is cultivated why spread it
Many many lyrics memorized embedded
In my think tank sharp as a shank knife
I strike the mic just as quick as a snake bite
Suck out the poison, yeah go 'head, try it
Skills of an assassin, watch as I'll fly
Thorough, doesn't matter the borough I'm swingin'
Clear to the end keep the party people clingin'
Treatin' emcees like government cheese
Shred 'em like cheddar cut 'em up 'cause P's
Laid out on the bed while we write to the tracks
He's so funny when it comes to the snaps
Write a hardcore rhyme, that's what the boy said
I could whip up a rhyme that could slice a boar's head
No that's ham, and we don't digest that
Organism that's made of dog and a rat
So fee-fi-fum, everybody's Funky Drummin' it
When you hear the bassline, you'll be hummin' it
I'm keepin' it simple cause I can swing many ways
Rappers get met, 'cause MET it pays
It's a mad mad world and it's best to never wild out
Go against me and I'm quick to pull out
The driveway, by the way hey
Picked up your girl 'cause she was goin' my way
Hand on the stick, foot on the clutch
Flowin' over eighty miles per hour, I'll pull it on outta
Skid marks left on the ground like tattoos
The rubber smell badder than the doodoo on your shoes
You stink, better think wise is what I advise
'Cause O.C. has skills to kill a whole tribe
Off, awkward, spaghetti I'll sauce it
Lyrics flow like fluid out of a faucet

Yeahhh...(adlibs), here we go (woo)
Here we go, here we go
To the organisms, to the organisms (repeat)",https://genius.com/Organized-konfusion-fudge-pudge-lyrics
Numbers,The Equinox,1997.0,"Uhh, turn it up
Hah, uhh, yo, check it
Now add it up
Uhh, add it up
Uhh...

Check it out, we're like
Three LP's precise from my Five Deadly Venoms
With international plugs like nine Organized emblems
Get it? 
Twenty Thousand Leagues, extra deep
Runnin with the number thirteen with my 40 Below's upon the feet
Now Adam 12 got me in this 20/20
So I'm double oh seven about my four one one
Sunny forecast with eighty-three degrees of heat
We merkin four-twenty eat island three five N2Deep
Mack 10 under seat for carjacking Passenger 57's
A 
Product 19
 who gets the dumpster behind 7 Eleven
4-1-0-8-0-9-1-5-9
Same 227 style with one nosy bitch in the blind
Hit, one-five-five for twenty sacks and better
Nothin but love for this nigga, Mr. 16th Letter
Mr. 16th Letter, Mr. 16th Letter...

Yo, nine times out of ten, a nigga won't shine
I drop dime on five niggas who all had nines
On the corner of my block doin crime
, 
now I'm
Walkin around, with the fo'-pound, now lately
Lookin over my shoulder with a Sig-Sauer .380
Maybe the baby Tec woulda been nicer to bring along
Sing along with me if y'all know the song
Mines, gimme, not Vinnie but I'm Naughty
In forty projects drinkin 40's till I'm forty
 ?
Truncatin drum loops with Pauly
On the SP-1200
 
at 12-12 you feel it
Mission to create, matrimony and reveal it
It's love in the form of life, as you know it
You skatin with the eight and I'mma damn sure show it
Funky Four +1
, you know makes 
Five
Fantastic, romantic
, got live
Furious
 was cheeriest, 
the Treacherous Three
We be the Awesome Two most definitely
... makes Five ... got live
... Three, we be the Awesome Two

Now I can get Get, Smart smart
But I'm not not Eighty-Six in the mind
, 
mind you
I got a girl named Ninety-Nine
, 
and when I rhyme
She rhymes too
, 
she likes to do the sixty-nine
And so I climb, up through, to the, top of the pile
But see I'm not standing on Gomer
I hit a homer, and I got jumped by The Simpsons
Not to mention, Pharoahe Mon-Chi-Chi,
 eighty-nine percent
Of the time I'm sure of my rhyme like Shank Redemption
The remaining eleven percent come from seven percent
Great God Pharoahe of heaven ascent
Racin a 5.0, in my 380i
On my way back from Florida on four-ninety-five
We just parlayin with the one one one
Check one, now add it up
Now add the two *scratch* two two
Uhh, Monch, add it up
Truly with the three three three three
Yo, add it up
We be the Awesome Two most definitely

Now just yesterday I couldn't took my last Five Heartbeats
Now I feeling it's for spiritual reasons
No more sweet sixteens and dick teasing
Too many Tech-9's behind trees and five-oh keeps a black brotha bleedin
Fillin em up like Unleaded Phillips 66
Owin me more than 40 Acres and these Mule kicks
Gettin the 
48 Hours, like Eddie Murphy
Too dark to mix, now triple-six wanna hurt me
Still reachin for more than, ten million sales
In Studio 54, Waiting to Exhale
When in the world 12 disciples, in this life cycle
That's trifle, so my impact's a twenty gauge rifle
Fifty/fifty eight and thirteen inches of weapon
7-1-8 to 2-1-3 on the 747
Three strikes, two tokes, once again for the mass
Furious like the Five with Grandmaster Flash
Yo, Funky Four +1, you know makes Five
Fantastic, romantic, got live
Furious was cheeriest, the Treacherous Three
We be the Awesome Two most definitely",https://genius.com/Organized-konfusion-numbers-lyrics
