title,album,year,lyrics,urls
I Got It Made,Youngest in Charge,1989.0,"I'm your idol, the highest title, numero uno
I'm not a Puerto Rican, but I'm speaking so that you know
And understand I got the gift of speech
And it's a blessing
So listen to the lesson I preach
I talk sense condensed into the form of a poem
Full of knowledge from my toes to the top of my dome
I'm kinda young
--but my tongue speaks maturity
I'm not a child, I don't need nothing for security
I get paid when my record is played
To put it short, I got it made

I'm outspoken: my language is broken into a slang
But it's just a dialect that I select when I hang
I play it cool--cause coolin' is all that I'm about
Just foolin' with the girlies, yes I'm busting it out
I'm Special Ed and you can tell by the style that I use
I'm creatively superior, yo--I never lose
I never lost cause I'm the boss
I never will cause I'm still
The champion, chief one, won't lose until I choose
Which I won't cause I don't retreat
I'll run you over like a truck and leave you dead in the street
You're invitin' me, a titan to a battle--why?
I don't need your respect
 cause I-- got it made

I'm talented, yes I'm gifted
Never boosted, never shoplifted
I got the cash, but money ain't nothin'
Make a million dollars every record that I cut
 and--
My name is Special Ed and I'm a super-duper star
Every other month I get a brand new car
Got 20, that's plenty yet I still want more
Kind of fond of Honda scooters--got 74
I got the riches--to fulfill my needs
Got land in the sand of the West Indies
Even got a little island of my very own--
I gotta 
frog
--a dog with a solid gold bone
An accountant to account the amount I spent
Gotta treaty with Tahiti cause I own a percent
Got gear I wear for everyday
Boutiques from France to the U.S.A
And I make all the money from the rhymes I invent
So it really doesn't matter--how much I spent, because, yo
I make fresh rhymes--daily
You burn me--really?
Think, just blink and I've made--a million rhymes
Just imagine if you blinked-- a million times
Damn I'd be paid--
I got it made

I'm kinda spoiled 'cause everything I want I got made
I wanted gear--got everything from cotton to suede
I wanted leg--I didn't beg I just got laid
My hair was growing too long, so I got me a fade
And when my dishes got dirty, I got Cascade
When the weather was hot, I got a spot in the shade
I'm wise because I rise to the top of my grade
Wanted peace on Earth, so to God I prayed
Some kids across town thought I was afraid
They couldn't harm me, I got the army brigade
I'm not a trader, if what you got is greater I'll trade
But maybe later cause my waiter made potato 'n' alligator souflee--
I got it made",https://genius.com/Special-ed-i-got-it-made-lyrics
Lyrics,Revelations,1995,"Chorus 2X: ""Lyrics somebody want lyrics (yea yea)
Somebody want lyrics"" -- KRS-One
Verse One:
Here I go the lyrical specialist with the perscription
I give you the legal drug addiction, non-fiction
I got the shank, to your memory bank
How sharp, don't be afraid of the dark
Go in to the light, you still can't see
It can't be, the historical, metaphorical, oracle
Yes the S, you know the rest, fuck the spellin'
I'm tired of tellin' y'all who rule, cause you don't listen, fool
Your dealin' with a nigga feelin' fury
Surely, I purley destroy any toy with any game
That's why I never lose, I never play, I sever they style
While I maintain mine
Same time  yet, differ-rent, mag-nificent
No quest unless it's the Tribe
So check that vibe twice
Cause I'm nice
Whoever got beef
Tell me the price
And I'll raise you a mill, days to a kill, some praise to a bill
Never, yet I'm as lyrical as ever
Chorus
Verse Two:
You wanna start about, have you thought about
Consequences, sentences, come to your senses, or defenses
Cause I'm strictly throwin' hits
Knowin' it's, unfair
Gun here, take an extra clip
Cause I'm next to flip
Next time, bring in a next rhyme, cause I
Float like dead body, sting like a tazer
Sharper than a ... lazer
Open heart ... major
Surgery transplant cause you have none
Heres one, I dare Son, shoot a fair one, that's a real one
Grannit, you're now implanted with a enough heart to start
But can you manage when I damage your bandage
And your stitch is open
And your bitch is open
Is she, somethins' fishy
I don't like dis
When I'm like dis they try to 
ammulate
 my likeness
Clones
Microphones break from my intake
Faar phatter, mass matter, glass shatter
Be careful, I got an earful
Listen, I got them lyrics that your missin'
Chorus 3X
Verse Three:
You're commin' with your new sound
You never threw dowm
Why try? Try Muay Thai, hang em' high, in the closet
Cause it, wasn't, a good idea
Who should I fear
No one, the son of Jah
Gimmie some lah, and I get mystic
Lyrics dis thick, got weight
Your not great, your not good
I shot wood, put you out your misery history in the makin'
Fuckin' with a crazy Jamacain
See, they vanish when I brandish the hair trigga
Yea nigga
I'm goin hay wire
Might fire
Might not
But it's white hot
And with the right flow, the shit might blow
So I detonate, then evacuate, leavin' ash, don't even ask
Feel the blast, fast, I know you won't last
But you can still try
Somebody want lyrics
Then come see the eye
Chorus 3X",https://genius.com/Special-ed-lyrics-lyrics
I’m the Magnificent,Youngest in Charge,1989,"I am the magnificent!
I'm the magnificent with the sensational style
And I can go on and on for like a mile, a minute
I get in it like a car and drive
And if the record is smash, I can still survive
Cause I'm the 
man of steel
 on the wheel that you're steerin'
Or rather playin' on the record that you're hearin'
You might not understand what I'm saying at first
So Action Love, put it in reverse
I'm just conversin' with you, person
This is just a conversation
I'm Special Ed, with the special presentation, hey
I like to play, so for me it's recreation
It's not just a job, it's an adventure
If worse comes to worse, I've got your thirst quencher
But ya gotta buy it, dont' even try it
I don't rhyme for free, no matter how dry it gets
I collect my money in sets
One before the show and again when I jet
So I get mine, and I'm a get more
Cause I'm financially secure and I'm sure
So I don't need your tips or advice
Cause I'm too nice for that, you rat
I can't stand mice, I'm like a cat, kinda frisky
Battling is risky business
You might acquire dizziness, just like whisky
Isn't this enough?
Oh, you think you're tough, cookie
I think you better call your bookie
Cause you can bet your life, I'm gonna play you like hooky
On a Friday, this is my day
When I was through, I heard you say, ""Why they dis me like that?""
I shoulda repent
Somebody shoulda said that Special Ed was the magnificent
I am the magnificent
I'm the magnificent, dynamite, super dope, outta sight
Special Ed with my trusty pal
Action Love, the run we shall
Continue to win, yet this is not a game
But I'm 'a play you if say you claim to be better
I hate rumors and I give tumors
And eye jammies get Grammys
Yet I'm not an actor
, it's just a factor that we're famous
Don't blame us for nothin'
Action Love is cuttin', I'm on the rhyme
Skin your teeth and it's your beef that I'll grind
Like a butcher, I'll put you on a table
And let my D.J. cut ya
But you're such a little sucker
I might not even touch ya
I betcha whatcha want is just attention
Your mother and your father shoulda used some prevention
Look at all the time and the money they spent
And now ya wanna die against I-the magnificent?
I am the magnificent!
I'm the magnificent with the sensational style
And I can go on and on for like a mile, a minute
I get in it like a car and drive
And if the record is smash, I can still survive
Cause I'm the man of steel on the wheel that you're steerin'
Or rather playin' on the record that you're hearin'
You might not understand what I'm saying at first
So Action Love, put it in reverse",https://genius.com/Special-ed-im-the-magnificent-lyrics
Think About It,Youngest in Charge,1989," - Rakim

Sometime I wanna rhyme, but then again I must wait
For the approaching of a toy to introduce him to his fate
Death, I always try to figure out why
Sucker MC's wanna battle me when they know they will die
In the end, so why pretend you're livin trifle
I'ma rope you up like a cowboy, stifle
Your throat with my microphone cord, cause I'm the lord
Of the rhyme, some people say that they can never get bored
Cause I'm exciting, pleasurable listening
I'm only tryin to show you what your records keep on missing, and
I'm only tryin to help our your crew, and
I know I must forgive ya, cause you don't know what you're doin
So sucker MC's, please think twice
Would you join the navy if you didn't like the gravy and rice?
Think about it
(Think about it)

Think about that, then think about this
If I tried to hit you, do you think that I would miss?
Well, I'm fast, I only hit the center, mass and head
I'm Special Ed, funkadelic relic of the ages
If you like this, then I got pages and pages
Some dumb bubbleyum bubblegum chewin
Chumps be screwin
I the fly, I wonder why
What's the reason for the treason, huh, you wanna die?
I'm high-post, higher than most
Not from France, but I eat french toast
I'm international, I make the cash in all ways
Got dollars in my pocket, cause man, it pays
To be smart, I turn my art into an empire
Cause I grow and grow, so you know I never tire
Got the status and the clout, no doubt
Of all time, I got the rhyme to take you out
Cause my rap is like a trap that you fall into
I'm Special Ed, now who the hell are you?
You're unknown, don't even own a microphone
You can't rap, you make me wanna cap a stone
In your eye, why do you persist to make noise
When ever since I was a kid I never did like toys
I get furious, leavin MC's curious
In a daze, my hits do faze
I recommend you listen to the phrase that pays
Don't jest, you won't succeed
I make you bleed till you need a transfusion
This is no illusion
I know you're gettin blurried, don't worry, it's confusion
Of the mind, don't whine, you can't cry forever
It'll take your life to decipher the clever
Rhymes that I say in the way that I do
Akshun Luv, my deejay, I guess it's on you
But is there anybody better? I doubt it
And if you think you are, I think you better think about it
(Think about it)

The lyrics are suffice, suffice are my lyrics
Idolized by the public, praised by the critics
Worth more than gold, longer than a giraffe
Take em to the pawn shop, get a yard and a half
And I'm the creator of the rhymes you praise
All of y'all with the gall I will leave in a daze
Try to battle me, and I'ma make it my job
To burn you as I turn you like a shishkebab
Cause yo, the style that I portrait is the style of a leader
If you' re really gonna battle me, you're really gonna need a
Whole crew, not two, three or four
You gonna need a whole posse, a mossie or more
Cause I'm strong, rap long, yet the rhymes don't drag
Like a bag full of tricks or a trick in a bag
I'm uprising, surprising
Not a nag, not antagonizing
Cause I'm full of fun, and I got a gun
To kill MC's fresher than me, but there are none
Cause I've looked everywhere
Under every rock, in every chair
MC's they try to hide when I get hot
I know that they hide, but where I know not
You're nothin but a sucker, chump you're scared
You tried to battle me, but you wasn't prepared
You slept, I crept up, shot your drawers
And now you're runnin for your life like you're swimmin from Jaws
But go, I know that you've learned your lesson
Go to church, just confess, and
Tell the preacher you committed sin
You battled Special Ed when you couldn't win
Tried, you cried, you shouted, you pouted
But I told ya - you should thought about it
(Think about it)",https://genius.com/Special-ed-think-about-it-lyrics
The Mission,Legal,1990,"(We're on a mission) --] Salt-n-Pepa

This is a mission, not a small time thing
Let me tell you 'bout what happened when the phone went ( *ring* )
Well, I was coolin at the crib with this girl Suzanne
And everything was goin just accordin to plan
When the phone rang - yo, I couldn't believe it
Told myself to ignore it, forget it, leave it
Just when things had started goin great
It rang again I said, ""Hold up, wait""
Picked up the phone, yelled, ""Who the hell is this?""
Somebody said, ""This is serious business
There's a tape in the mailbox between your doors
Take the tape from the box, and put it in yours""
I listened to the tape and my mouth just dropped
I picked up the phone, but the man hung up
It said, yo, 'this tape will self-destruct'
I pressed the deck, but the tape was stuck
Oh well, what the heck, I just cleaned up the mess
Opened up the closet, got the bullet-proof west
Loaded up the sawed-off, the double-barrel
The rambo knife with the hunting apparel
Threw on the trench, kissed the girl good-bye
She said, ""Special Ed, don't go, you might die""
Started cryin and huggin on me, so I shot her
I said, ""Sorry baby, but I gotta do what I gotta
(You're on a mission)
Do what I gotta
This is a mission, not a small-time thing

Took the express on a air force jet
The thoughts in my mind broke me out into sweat
I was thinkin of the message again and again
In particular the name of Lu Chin Chen
Yo, I landed in Japan with intent to kill
You could tell I wasn't jokin by the look on my grill
Took a look at the picture of the man that I was after
A 5 foot 10 black-belt karate master
Knew where to find him, knew where he would be
I turned around and showin up Mr. Chen found me
I looked him in the eye with a stare so cold
I said, ""I came to revenge for the rhymes you stole
Now you must die, because that is my mission""
He flipped back, got into a fighting position
The tiger style, the shit was wild
He threw his hands in the air, he started to smile
I said, ""You can smile now, but you won't for long
Cause sucker, you'll be sorry that you stole my song""
He said, ""Choose your style"", I broke fool, I said, ""What?""
Pulled out the knife, tried to shove it in his gut
It didn't even cut, I flipped, I started buggin
Pulled out the hand gun, I shot a slug in
His chest, he said, ""Buddah bless"" and stood proud
Out shot the bullet, Mr. Chen just bowed
So I shot him again - yo, I couldn't believe
Mr. Chen caught the bullet in this two front teeth
Yo, he kicked me on the floor just like I was a child
I got fed up, I fought him Flatbush Style
Stood to my feet, threw my hands to the sky
Shaked him then, I faked him, then I caught him in the eye
He started stumblin, yo, I started wildin
He tripped, busted his lip, I started smilin
Knew he was defeated, but I wasn't done yet
So I shot him with the shotie, then I jetted in the jet
(You're on a mission)
Jetted in the jet
This is a mission, not a small-time thing",https://genius.com/Special-ed-the-mission-lyrics
Neva Go Back,Revelations,1995,"I'm gettin' restless, what guest list?
I'm rushin' the percussion, end of discussion
Now, as you were, you rhyme soft like fur
Oh, you write for her?
 Now, that explain it
But I reign it, I rule it, so cool it, while I school it
Listen, to precision
Rhymin', timin', climbin' through your window
(Crooklyn style!) And we in, yo
Ravagin' your whole premises, don't never diss
'Cause here's your address
'Cause mi bad, yes, so come test me now
Like Patra, I got it sewn like Sinatra
Organized crime in effect, snap that neck
Like E-Double if there be trouble
So, move on, there's nothin' to see here
Clear the area, your rhymes are dead
Get the burier to bury ya, I'm very effective, I might add
Original rude, since I was a little lad

I neva go back, I neva flow wack
I just come back, I just come phat

I'm pumpin' like Donovan, plus, I'm a little vicious
I eat MC's 'cause they delicious
It's just that some mistrust but I dust rhymes like a maid
Now, I'm back with How', stompin' like a parade
All up and down Fifth Ave, so if you riff, have plenty of back
'Cause I attack like blood cells, fightin' off diseased MC's
Like Super Friends, in a metropolis, in a super Benz
With Howie, now we got two threes
Fuck it, six, gimme the mix and I'm a kill 'em with the lyrics
So, dig a plot and nigga got, seven
Never doubt, I go all out, salida
You need a map, you need a rap
You need a slap, you need a nap
So, take one, because you're tired
I get so phat, I feel wired
But I never sell, or fall 'cause I never fell


I don't beg, I break your leg like an egg and fry it
Try it, and see what happens when I'm rappin'
Shit start so Get Smart like Max
'Cause cold hard facts prevail, I don't fail
I don't turn pale but I'm very ill, I'm fatal
I rock rhymes like a cradle
Many days, many ways, let me count 'em
Everybody that I caught, everybody thought
But but (bu-bu-but), don't stutter
Just say it, shit is butter
Now, don't that feel better? Get a sweater
'Cause it's gettin' colder, every time I hold a
Mic, niggas freeze up so ease up like, off the scrotum
'Cause you wrote 'em, like you know them
So, let me show them, real rhyme
'Cause I feel I might start buggin' if you don't back up off the mic
The lyrical war is on, and so I strike",https://genius.com/Special-ed-neva-go-back-lyrics
"Come On, Let’s Move It",Legal,1990,"I was proven effective by a clinical test
Because some couldn't come to believe I was the best
So they tested me, and now they in the clinic
They almost arrested me, because I did it
But I didn't mean to do it
But you had to mess with me, and then you blew it
Now you got to chew it, and swallow it all
I guess that's the way that you bounce the ball
Or somethin like that, my mother always told me
Your mother always told me, ""Baby, hold me""
Don't get mad because you don't get g's
And I get extra cheese like pizza
You can't keep your girl because you can't please her
But let's get back to the fact that's been approven
So let me prove it, come on, let's move it
(Come on)
(Yeah y'all, come on)	--]
 
Flavor Flav

I spent time with the rhyme like a person
Rehearsin like a verse in a chapter
Of a play, but 
I rap to
Not make money
Though you might find it funny
But hey, I do it cause I like it, plus it is constructive
Enriching to the mind, cause it's mentally productive
And I am one who seeks special education
Cause I can't learn from the system of my nation
Or should I say my residence run by dead presidents
Cause my mother and brother and father are
]From the motherland of another land called Jamaica
Some of them say God, some of them say Jah is the Maker
But I say why say and who is to say
Cause you make yourself what you are today
And only to yourself do you have to prove it
So come on, let's move it
(Yeah y'all, come on)

Straight from the heart and a shot to the brain
To the hand on the pen and then flaunt the fame
And fortune, suckers I be schorchin and torchin
On and on to victory, me, I be marchin
Each and every day, reachin out to pay
My respects and checks to everybody that helped me on the way
To where I've gotten, thanks a lot and
Everybody out there buyin records by the carton
Thanks to the banks and thanks to the label
Thank you everybody with my record on your turntable
Thanks to the sellers and the distributors
Everybody thank your moms cause she delivered us
Thanks to your pops, he gave the drops of life
Thanks ot the Lord, the sword, the double knife
That I use to fight evil like I fight suckers
Damn, I like jam, so I wanna thank Smuckers
Thanks to my deejay and thanks to my producer
Thanks to the girls cause you let me seduce ya
Thanks to the posse around the way
And thanks to the fans that paved the way
You're coming to the jams, throw your hands in the air and prove it
Come on, let's move it
(Yeah y'all, come on)",https://genius.com/Special-ed-come-on-lets-move-it-lyrics
Taxing,Youngest in Charge,1989,"After I pose for the photos, address the press
I take a rest to let my rhymes digest
Into my brain to sustain and cultivate it
Take a penny for my thoughts, from copper I gold-plate it
Enrich my mind like wine till I find
What I need to exceed with speed, proceed line
Fold it, I take the mic, I grab it and I hold it
Then I walk to and talk to the crowd, cause yo, I sold it
You bought it, you thought it wasn't worth
But the record went gold, it sold, jerk
I'm worldwide, from girls I hide
Not gay, no way, but they all wanna ride
Mine, they bring me roses and wine
But I hate cheap sex, so next time
Come correct like an intellect
Okay, do you hear what I say? Check
Yo, on the rhyme I'm a lyrical joy
And whoever shall front shall be destroyed
The lyrical composer, I produce all legit
My name's Special Ed and yo, your name ain't -
And I'm powerful in my stable mentality
Takin MC's, yes, of any nationality
Blitzin em, dissin em, off I'm pissin em
Makin em solo, broads won't be kissin em
You got taxed, face the facts
Now where's the jokes and all the wisecracks?
You made before you got slayed by the slayer
Special Ed, DJ Akshun on the record player
Chillin, still in the back just maxin
Me in the front, to be blunt, I'm taxin
I'm taxin

When I'm on the mic I make MC's wonder
How I don't make the foul-ups, bleeps or blunders
I'm fool-proof, I'm too couth, too
I got the Uzi for the crew, see, but the hands work for you
I give a fair one, because I never like to scare one
Unless he got a vest and a gun
A like a shoot-out, I like a have a root-and-toot-out
If you like to kick, I got the steel-toe boot out
Cause I'm malicious, vicious on the mic is how I am
And I always do as I like, clause I demand
The utmost respect from you
Because you should give respect where respect is due
To Special Ed, that's my name and that's the title I hold
You're gonna get burned if you wanna get bold
And I'm ready, I let the others call me Eddie
But for you it's Special Ed because I said so, spaghetti
And in the meantime break out the sixpacks and
Cool while I rule, cause I'm taxin
Taxin
I'm taxin
Taxin

Well, if you're lookin for a Brooklyn jam
Here's one you might like about a mic and a man
Well, I be meditatin, then I be waitin for the victim
If they flam then I slam them and kick them
Bite the face, then I taste em and lick them
Like Ray I slay, take a brick and
Brick them, yo, I'm not the typical, massive and large
I'm humongous, but the youngest in charge
In combat I contract with souls like crack
Decompose my foes to the size of toes
Because you get all hype and long-winded
But that ain't it, it's the rhymes that are commended
By the crowd as they start to cheer
With the Cisco, the blunts, and the forties of beer
Cause stimulation is what helps my creations
You know I get mellow before my presentations
Because it helps my rhymes to flow through
Like water, I caught a brew, on second thought a few
To release all the heat that I kept
When I was sober, so now it's overstepped
Aside, and by my rules abide
Protest, yes, and I suggest you hide
Cause I'm comin hummin the song of redemption
Makin stacks, takin tax exemptions
You start to fiend, scream and then holler
For a cigarette, as I get your last dollar
I'm taxin, usin Ajax and waxin
MC's with the fleas in their backs and
Behind their ears and up their butt-cracks and
Keep on till you clean up your act and
Stop hold your nose up like Michael Jackson
Dressin like a bum, cause you don't wear slacks, and
I'm done, thanks, it's been fun practisin
I'm done taxin",https://genius.com/Special-ed-taxing-lyrics
Hoedown,Youngest in Charge,1989,"Yo, I know you know a ho
You might know a few
This jam is about two
Skeezy, sleazy, peasy, low down
(Hoedown)
This is the hoedown
(Hoedown)
(Hoedown)
(Ho) (ho) (hoedown)
(Hoedown)

Lucy, I remember Lucy
With the big fat juicy
Watermelons comin out the grocery store
Saw her comin out of the door
I said, ""Miss, can I help you with this?
Please don't diss, I just wanna kiss""
She said, ""Of course,"" kissed with force
Suckin on my lips just like she was a horse
I said, ""Excuse me, please don't bruise me
Please don't tease or skeeze or use me
I'm not like that, I'm not kinky
Would you please remove your pinky
]From my rear?
Can't you hear?
What's the matter?
Get your hands off your bladder
We're standin outside on a crowded block""
I felt her hands goin down on my sock
It said Polo, she was so low down
I coulda swore her knees was on the ground
I said, ""Damn Ma'am, get on your feet
Be on your way, cause you can't have my meat""
Her eyes started waterin, so I brought her
In the store, to buy some more
Tissue, I said, ""Good-bye, I'm gonna miss you""
She said, ""No,"" I said, ""Yo ho, ho-ho, merry Christmas""
This must be a gift, have you ever imagined that if
You was a manget, and a girl was a metal filing
Would they all come piling?
On your body, growin like hair, yeah?
Well, just think of me as there
Didn't need a girl, had plans for the day
Wanted to step, but she wanted me to stay
You could say she was disturbing my peace
So I called the police
Cause yo
This ho was low down
(Hoedown)
And this is the hoedown
(Hoedown)
(Hoedown)
(Ho) (ho) (hoedown)
(Hoedown)
(Hoedown)
(Ho) (ho) (hoedown)

I was coolin on the ave, it was a regular day
Lookin for a girlie, cause I wanted to play
Saw a girl, as I examined her back
Her butt was bigger than a triple dipple Big Mac
As she turned around I had a look at the grill
I said, 'nah - chill'
I turned around, I was about to jet off
When I took a step and bumped into something soft
It was a girl, she was the sweetest thing
Yes indeed, she was a meal, she was fit for a king
I was scopin, but hopin and hopin to rope in
My desire was up, and my resistance was slopin
She said, ""Excuse me, but I was wrong
Maybe I came on a little bit too strong""
I couldn't talk, I couldn't even think
I said, ""Well, can I make it up, can I buy your a drink?""
She gave a nod to show her acception
To my pleasure, but with one suggestion
Yo, to be alone was the suggestion she had
Which was even better, so we went to her pad
I brought the wine that you call rose
We snuggled up in the couch, yes, we got cosy
She put the glass to her lip, and then she took a sip, and
Tried to get up, but she was slippin and trippin
Did a double summersault, the girlie was flippin
Took a step back, took out the hair clip, and
Unbuttoned her blouse, yes, the girlie was strippin
Put her hands on my pants, the zipper was zippin
Laid me down on the couch, sat down on my hip, and
Straddled up, and then she took a dip, and
The girl was sweeter than a chocolate chip, and
I called her name out loud, I said, Jodie - oh!""
I said, ""You must be down with the rodeo
The way you ride, it might sound silly
But you're ridin up and down like Bronco Billy""
Time went by, the sex had stopped
I looked around, I saw Jodie just dropped
What was the matter, yes, the girl was in shock
She said, ""Special Ed, I think it was your -
But never mind, I be fine, just chill""
I said, ""That's what you get for playin Buffalo Bill""
In a minute the girl recuperated
Gave her some soup for strength and she ate it
I then waited till she finished some soup
And then I said, ""Get the hell out, good lookin out, troop""
Cause yo
This ho was low down
(Hoedown)
And this is the hoedown
(Hoedown)
(Ho) (ho) (hoedown)
(Hoedown)
(Ho) (ho) (hoedown)",https://genius.com/Special-ed-hoedown-lyrics
Ready 2 Attack,Legal,1990.0,"Well, it's 1990, '89 has ended
Now it's time for all those who pretended
To settle and cease with the noise
You and your boys - it's time to put away the toys
Christmas is over and this is my resolution
To stop the confusion
Let the fresh get fresh and the stale get staler
And throw em in a pale of
Trash with the other trash and smash down the lid
For all the weak shit they did
Never in my life have I seen such preposterous behavior
And you got no flavor
Can't taste the juice cause I got the matz
I heard you paid for your _Billboard_ spots
Honest, I promise, I am not a liar
Can't you understand that I am flier than a flyer
No need to try a stunt like that
Never in my life could I front like that
On _Soul Train_ with your brand new hit
When it wasn't even playin cause you ain't sayin -
Nothin, cause they're wacker than wack
Yo Ak - get ready to attack
(Crushin MC's that be tryin to riff)	--] Big Daddy Kane

People say 'new jack', what jack?
You wanna get slapped, Jack
Or get flipped like a flapjack?
I been rockin rhymes and I been rockin mics
Ever since you was on BMX bikes
You was busy braggin bout the mags on your honey
I was in Flatbush tryin to get money
Brooklyn, crookin up the whole damn place
Want to truck jewelry, don't turn your face
But I don't resort to those sort of things
I don't wear big chains or big rings
Gold was stole from caves full of slaves
Now black-on-black, and you're free as waves
In the ocean, without a notion
Am I surfin fast over your head?
Maybe you need glasses or classes in Special Ed
Let me see -
I can fit you in on Monday at 3
Tuesdays is use days
And Wednesdays is friends days
And Thursdays is her's days
And Fridays is my days
And Saturdays is fun days
And Sunday's the one day
I rest, give thanks and bless
Again on Monday I will be back
Yo Ak - get ready to attack
(Crushin MC's that be tryin to riff)	--] Big Daddy Kane

Man your position, let's start dishin
Straight out battlin, no intermission
Ain't no stoppin us, ain't no toppin us
I suggest your best bet is drop and just
Run and don't stop until you drop
You might break your hip, but just hip-hop
But if you wanna go through it, the proceeding
Get a doc, cause when I rock you'll be needing
Medical attention - critical condition
Surgeon's callin, consult a physician
Get a prescription, go to the pharmacy
That's what happens when you don't want harmony
I'm not violent, I stay silent and mutual, I'm neutral
But negative souls wanna interreact
Then I get ready to attack
Yo Ak - let's attack
(Crushin MC's that be tryin to riff)	--] Big Daddy Kane",https://genius.com/Special-ed-ready-2-attack-lyrics
