title,album,year,lyrics,urls
Off the Books,Stone Crazy,1997.0,"(""Yooouuu better watch your step!"")
(""Yooouuu better watch your step!"")

Hey yo
It's all love, but love's got a thin line and Pun's got a
Big nine, respect crime but not when it reflect mine
The shit I'm on is wrong but it lasts long
Pull a fast one on Pun and wake up with your stash gone
I'm mad strong, and my cream is fast
, smoke the
Greenest grass, my bitch got the meanest ass
And a taste legit, I don't have to waste a whole case of Crist'
All it takes is my pretty face and my gangsta wit
Lace the clique, 'cause we all share, it's all fair
Like love and war, 
thug galore with the long hair
Big Pun, Pun the name that makes the kids run
Like spelling murder reverse it deliver redrum
Come one, come all, if you wanna brawl 
I'm the mighty
Thor clotheslining motherfuckers like Steven Seagal
'Cause all you're gonna get, is your ass kicked or up in a casket
That's it (That's it?) That's it

Punisher
Bash it, at last it's rappers that really blast shit
Cats getting Big Willie niggas like 
Billy Bathgate
Up in Jimmy's Cafe, having caviar
Crackin Cristal at the bar, smokin' cigars, livin' large
We rob and steal, run with the mob, doin' jobs for bills
I'm hard to kill for real, nigga, guard your grill
I like to chill, spark an L and get high
I'm one hell of a guy, 
fly pelican fly

Whattup Duke-o, you know, politickin' papi chuco
I'm out here, 
watching for Jake
, getting this loot though
Shoot bro, I got a waterproof suit yo
Swervin' like a A.K.A. in Beirut yo
Squeezin', out of automatic M3's
 and
Please, you ain't seen no thugs like these
I can tell you lots of things that'll make you believe
In Corona, yo, it's better to take than to receive

Your career's on life support, and I'mma pull the plug
And have every thug shootin' that Beatnut drug
In they blood, no escapin' this, 
niggas is
Goin' over their favorite shit (for what?) to be tapin' this
World premiere, loud and clear
Lah and beer,
 get the dough, blow up the show
Disappear, jump in the Cavalier
Feelin marvelous, street pharmacist, 
twist arboles
For pleasure, bring your territory terror
Keep my workers under pressure got em sayin' ""FUCK LESTER""
But that's aight Duke-o, my heart nowadays too cold
Don't give a fuck where you been, what you done
Where you go, you know, peep this statement
In black shades like a secret agent
We're night thieves, 
roll up on you like sleeves
We light trees, bust these and stack cheese

It's off the
Hook this year (cheddar), 
makin' mad money off the
Books this year
. (""Yooouuu better watch your step!"") Ain't nothin' but
Crooks in here, gettin' mad money off the
Books this year. It's off the
Hook this year (cheddar), 
gettin' mad money off the
Books this year
. (""Yooouuu better watch your step!"") Ain't nothin' but
Crooks in here, gettin' mad money off the
Books this year

Go, go, go, go
Go, go, go, go
Go, go, go, go
Go, go, go, go
Go, go, go, go
Go, go, go, go (""Yooouuu better watch your step!"")
Go, go, go, go
Go, go, go, go (""Yooouuu better watch your step!"")
Go, go, go, go
Go, go, go, go
Go, go, go, go
Go, go, go, go
Go, go, go, go
Go, go, go, go (""Yooouuu better watch your step!"")
Go, go, go, go, go
Go, go, go, go (""Yooouuu better watch your step!"")",https://genius.com/The-beatnuts-off-the-books-lyrics
Lick the Pussy,The Beatnuts: Street Level,1994.0,"""Mmm yeah, I bet you're dying to take out your cock and fuck me
Aren't you? (Mmm hmm) Don't you wanna fuck me? (Mmm hmm)
But first...""

A'ight, and away we go
You got the World Famous Kool with the smooth-ass flow
I’m speakin' about what I get with or stick on the reg
Got you running round in circles fiending for the third leg
But baby, don't you go yet, cause you ain't really strong
You haven't even had a taste of my motherfucking tongue
I say motherfuckin' 'cause your mommy was a victim
Your cousins, sisters, aunts, oh yeah I licked 'em
I tricked em and they all come back for the treats
But I don't eat the cake before I frost the feet
And you get weak like S W to the V
Soaking wet victim in between my J sheets
And ain't no freak could lick you up and down better
Even if his tongue was silk, he couldn't get you wetter
Find space on my face, give me all that you got
So I can get up close and kiss that pretty twat

(Lick the pussy)
Psycho Les like to (Lick the pussy)
My man Rob like to (Lick the pussy)
Rik man like to (Lick the pussy)
My little brother Devine like to (Lick the pussy)
Yeah, Lucien like to (Lick the pussy)
V.I.C. like to (Lick the pussy)
The fucking JV like to (Lick the pussy)

The Kool, the kinky dude on the streets after dark
I fish for meats so I can eat like a shark
Get hit on by jailbait but pay it no mind
Because I never ate a dish a day before its time
Now I'm givin' brothers in my town the fucking blues
'Cause 'fore I knock the boots I wanna lick the shoes
Get dirt on my chin, still puffing a bunch of smoke
She screaming shoot her cream, right down my fucking throat, nope
I never let a dark honey pass
I just slam my face in that fat Onyx ass, gasp
The chick was 69 not 61
That's when I bust a nut but the bitch never cum
Hum mmmm mmmmm
I gots to have it cause my tongue wants
To keep her going like that fucking rabbit, just grab it
But say no and I won't be pushy
Just make me change your mind, so I can lick your pussy

(Lick the pussy)
A JuJu like to (Lick the pussy)
My man Rob like to (Lick the pussy)
Yeah, the god Lamar like to (Lick the pussy)
Ha, Kurious like to (Lick the pussy)
Yeah, Dr. Butcher like to (Lick the pussy)
My cousin Ron like to (Lick the pussy)
C'mon, Sam Dean like to (Lick the pussy)

In and out with the tongue, ain't another brother finer
Cause I can dunk like that fuckin' Harold Miner
After I see you here now you're in for a suprise
My lips are suction cups in a fucking fat disguise
Rise up off the bed in a twist
I make your head spin like the fucking Exorcist
Miss Mary Jane, you blow for a change, come on
Act insane and suck out my damn brains, the main
Vein is up for spring cleaning
Trick licking on my balls, yeah now you got me fiending
I'm dreaming, I'm in the cemetary sucking breasts
I pet the clit and put the pussy to rest
I might not flow like Fat Joe,
 
but I'm cool
Fucking third of the trio, a pussy eating fool
Dripping out my mouth baby
So let me lick the pussy before you drive me crazy

(Lick the pussy)
JMD like to (Lick the pussy)
Stretch Armstrong
 like to (Lick the pussy)
My man 
T-Roy
 like to (Lick the pussy)
Yeah, Diggy Dice like to (Lick the pussy)
C'mon, niggas in the Skills like to (Lick the pussy)
Yo, out in LA they like to (Lick the pussy)
Yeah and DC like to (Lick the pussy)
I think lesbians like to (Lick the pussy)
Yeah, and I like to (Lick the pussy)
Yeah, you can cut it off like (Lick the pussy)",https://genius.com/The-beatnuts-lick-the-pussy-lyrics
Watch Out Now,A Musical Massacre,1999.0,"""Watch out now!""
Yea, yea.. uh-uh!
Mm-mmm!
Get money, get money!
(Get, get money, get money)
(Get, get money, get money) Uh-uh!
(Get) GET MONEY, GET MONEY (get that money)
(Get) GET MONEY, GET MONEY
Yeah, GET MONEY, GET MONEY
""Listen to the first verse""
""Watch out now!""

Aiyyo my song's on, I gotta get my grub on some to-to
(I love to-to) Order three buckets of Mo'-Mo'
We gettin' more dough, off the books (you gettin' jelly)
Pullin more hoes off the looks (you gettin' jelly)
You wan' hate me? Cause your wifey, wants a autograph?
From the look in her eyes, I can see she wants more than that
When I see fat asses I make fat passes like quarterback
Beatnuts is ALLA THAT, your shit, ALL THE WACK
Open can-dela, if you foolin' wit my cheddah
Hardrock, ever since, junior high escuela
Fly fella, takin my beats, to make your crowd get up
I'm fed up, niggas wanna bring it -- WHATEVER!
I'mma storm your pa-rade (pa-rade) blow your legs off
With a gre-nade, now you flappin', like a mermaid
Yappin off, bitch you cough at the lips
While I'm at the bar, baggin', the bartender tips
Then I bag this chick, with a, ""Hi,"" and the eye
She did the butterfly, rubbin' her ass, against my buttonfly
I could already imagine my shit stuck inside
Everytime I strike, haters be like, ""Dat fucking guy!""

How's that yo? It's hard for you to swallow
It don't take much for us to let the metal holla
Lead's bustin out of a old black Impala
Thug nigga only fuck wit, muchacha malla
Big Ju, dimelo el coño, how we do?, how we do? (How we do)
(How the girl don't only love me, they love you!)
Whatchu gonna do? (What, what, what?)
Nigga whatchu gonna do? (What, yo)

Here's to my pollyin' niggas who campaign
To the killers who be lovin' the chicas and champagne
Thugs who get wild in the club and snatch chains
Players who be pimpin' the hoes with no brains
Front watch a nigga get shot from close range
The most range, crazy motherfucker won't change
Beatnuts, forever diehard, you want pain?
Cause you walkin' outta here breathin' is insane
Flip a beat fast, you leave the club with a heat rash
You got a weak stash, came in the club with a free pass
I ain't even know they made a Roley for your cheap ass
Makin me laugh, you was in jail wearin' kneepads
Now the beef has gotten over your head
It's over you dead, Ranger Rover, both of your legs
Till both of us said, platinum gettin' took this year
Cause for real, there ain't nothin' but crooks in here, nigga

How's that yo? It's hard for you to swallow
It don't take much for us to let the metal holla
Lead's bustin out of a old black Impala
Thug nigga only fuck wit, muchacha malla
Big Ju, dimelo el coño, how we do?, how we do? (How we do)
(How the girl don't only love me, they love you!)
Whatchu gonna do? (What, what, what?)
Whatcha gon' do when Beatnuts come through baby!

(Get money, get money) Psycho Les
(Get money, get money) Big Ju
(Get money, get money) Beatnuts
(Get money, get money)
(Get money, get money)
(Get money, get money) Throw your hands up, throw your hands up
(Get money, get money) Throw your hands up, throw your hands up..",https://genius.com/The-beatnuts-watch-out-now-lyrics
No Escapin’ This,Take It or Squeeze It,2001.0,"No escaping this

Oh, oh, oh! 2 G's mother, uh!
The Beatnuts y'all, uh!
Uh, oh! Juju, Psycho Les, uh, oh!
Turn it out oh, oh my god oh!
Oh, oh, it's the hardcore b-boy shit!
Hard to the core motherfucker, no keyboard shit!

Aiyyo the Nuts landed, so pack it up
Pass the mic to big Psych, the manufacturer
The architect, bringing you the art of wreck
You used to hate my click, now you want a part of it
We coming with more hits that funk like Parliament
Comparing me to another's going to lead to an argument
The heat we fry you with, straight from the armory
Guerilla army, we kill tracks in harmony
My Nut orchestra blowing fuses
Your amp can't hold this music, it's booming
I'm in my truck cruising, 97 tuned in
The latest news is the Nuts new album is ruling
Y'all vs. the Nuts, you have a big chance of losing
(There's no escaping this) Or confronting the union
So stop fooling yourself, and feel these Nuts
Cause (No one's ready to deal with us) What?
(No escaping this) (Repeat 3x)
""No one's ready to deal with us""

Don't be humble, it's better to pull
Belive you eligable, get left like a vegetable
Man it's crazy and there's no escape
It's turned into a police state
The average cat don't even know his fate
Walking round like he hurting something
And there's nothing that he got to say that's even worth discussing
Listen to me, it's better to be
Lying dead with honor, soldier, than to never be free
Young niggas out here losing they dads
In the battle, others turn into fags
Every other country burnin' a flag
Don't let history repeat itself
That's how the devil plan to keep his wealth and feed himself
I'm the New York power hitter
Hit the devil in the fucking shitter
Take his manhood and all his glitter
Got guns ready to bust
""No one's ready to deal with us""
(No escaping this) (Repeat 7x)
""No one's ready to deal with us""
""Can't get away, there's no escaping this!
Surrender now, come out with your hands in the air

Oh, no! Turn it out oh!
Oh my God oh! Turn it out oh! (Repeat 4x)
Juju, rockin on rockin on
Psycho Les, rockin on, rockin on (Repeat 4x)
""Corona in the house"" ""Throw your hands up!"" (Repeat 4x)",https://genius.com/The-beatnuts-no-escapin-this-lyrics
Se Acabo,A Musical Massacre,1999.0,"Beatnuts, Mista Mef, you know how we do
(""Se Acabo"")

Free drinks on the house, word
Everybody drinking tonight
(WHAT DA DEALLY?)
Por ahi viene el perro, por ahi viene
Cae la gorda por
Yo check it out
Swing a bat on you like the devil himself
Put it on us, sickness or health
Making you could only breathe wit help
I ain't playin', you don't wanna hear what you sayin' yourself
Hit the street wit incredible beats
We renowned for tearin' it down
Never have you heard a similar sound
Like a drop off when shit pop off, feel a hot one
Side scorching from a hot gun
Niggas get lost in the buildings wit money and the children
Not the type to talk too much and catch feelin'
Dominican flag over the bed on the ceiling
Protect everything I rep, that's the first thing
Many things follow, bullets stay hollow
You actin' like we don't chew, you can't swallow
Niggas try to change my plans, I'mma beat you till I break my hands
Ju the German every place I stand (""Se Acabo"")

All day everyday (""Se Acabo"") mothafuckers!
Step up front! What's goin' on?

Aiyyo it's Big Psych, baby you don't want no problems
Suckers want war, and yo bomb em
Bring the heat, squeeze the flame torch
Then peel out in a convertible gray Porsche
Just in case your snitch wanna get payed off
I'm three miles ahead of you, I took the plates off
Pull out the chainsaws, It's a Musical Massacre
Cut the head off the driver and the passenger
Sic my dogs after ya, have you climbin' in a tree
Just another crime in the street
Ain't nuttin' better than findin' a beat
So if you find that and try to blow my spot up
(""You!"") Get shot up (""Se Acabo"")
Means (""It's Over"") bro, Method Man on the remix, it's over yo
(""Se Acabo"") Beatnuts flip the beat, it's over yo
""It's a Beatnuts thing, yo you know how that go"" 

What kind of Beatnut am I? Spanish Fly, P-O-P-P-I
(Who got the live special guest for the night?)
Excuse me as I kiss the sky
Yo one on through the nasal
To put food on the table, I Rush Associated Labels
Huh, ready, willing and able to rock cradle
And rock steady, when I get the drop I drop heavy
Twist the metal, mask the machete
This god don't want beef, he want veggie
Plus signs over Deadly Medley
Who got em gassed on his own Getty
Battery Back, he Eveready
Now what's fuckin' wit that ha?
Not you, you chocha
I fuck wit Beatnuts, Livin' La Vida Loca!
Callete la boca, see the Spanish Fly on the sofa
One word, he slap you wit the toaster
Keep it in the holster on safety
Put yourself in timeout, playin wit this dough, let me find out
You ain't hard to find though, barrel on your tonsils
Sigan hablando y siga mamando
(""Se Acabo"") (""Se Acabo"")
All day everyday (""Se Acabo"") No doubt
What the fuck's goin on? Worldwide!
(Beatnuts) Write your own rhymes (""Se Acabo"")
Yeah yeah yeah yeah yeah (""Se Acabo"")
All you punk niggas walk it off, (""Se Acabo"")
We ain't playin' over here yamean (""Se Acabo"")",https://genius.com/The-beatnuts-se-acabo-lyrics
Do You Believe,Stone Crazy,1997.0,"Ayo, it's ill when I'm heated how my heart stay cold
Write a rhyme that make the gats around the 
world
 explode
Now behold the burning malice of a treacherous soul
First time I shot a gun duke, I was 12 years old
But since then, I've never put it down my friend
She go to war when I tell her
Fuck a who, why, when , til the end
Indeed its good to have and not need
Even better when you can shoot back and not bleed
Take heed, 
poppin like an El full of seed
My team is gettin bigger, got more mouths to feed
Shorty let me tell you bout my only vice
It got to do with lots of money and it ain't nothin nice
It ain't nothin nice

Ay, you believe in God?
You do, tell him to save you
Cause me and these niggas here
We ain't tryin to pay you
Regardless of the fact that its close to home
I gotta finish your life, so I can start my own
My own nigga

Ayo , my audios guaranteed to lift the audience
It was that time again
So we gathered up 40 men
40 ounces, trees burning, heads bouncin
Dollars is the mission
Sittin in the yoga position
Isolate my mind from your bitchin
Pulp fiction
Lose you in the mix in
Lets get this poppin, lock down the top 10
Knockin pretty boy cats on they ass each time we drop kid
Yeah, you know how we comin'
Raw grooves with the funky drum drummin'
And when my song goes off
You'll still be hummin'
Noddin' your head, or singin my chorus
The after midnight feen
The 4 in the morning blunt feen
Peelin dutches
Fill em in like taco shells
Willing judges
Wheeling jake with half a cake in my coat
Pointin gats like remotes
At cats with federal notes
Tossin bodies off boats

Our own nigga , our own",https://genius.com/The-beatnuts-do-you-believe-lyrics
Reign of the Tec,Intoxicated Demons: The EP,1993.0,"It's the hard little pistol-packing punk dope smuggler
Lethal when I kill, I go straight for the jugular
Back again to hit ya with the junkyard funk
Shit gets out of hand, I got a Tec in the trunk
Let's flip the ill shit kid, yo he looped it
Hardcore, straight to make you brothers act stupid
Now I'm on a rampage, prepare for the slaughter
Lyrical monster busting nuts in your daughter
Slaying competition is the real beat digger
(Clank) Hit you with a shovel now you're dead, nigga
Freaking the funk, I be the ill funk freaker
With the diabolical sound coming through your speaker
Bulletproof ready for action, no fronting
Fully loaded Tec, chump, ready to go hunting
So sleep and watch me let off and catch wreck
""John Wayne couldn't even stand the reign of the Tec""
When I pop the trunk, hit the deck
""John Wayne couldn't even stand the reign of the Tec""
Head for the hills before you get wrecked
""John Wayne couldn't even stand the reign of the Tec"" (Repeat 2x)

Here I come up your block, drivin' drunk
Smoking skunk, waiting for a fucking punk
To beef, so he can get killed by the psycho thief
Retarded like Biz, eating cats like Heath-
Cliff, light the spliff, crack the quart and
If I kill you first nigga, be a good sport and
Die, don't give me no hassle
I snatch up your bitch, take her to White Castle
To crack her asshole, so I can fuck her
Hit that doo doo brown, then buck her
The crazy rapist smelling like much vaginas
Carjacking punks, pulling 'em out they Pathfinders
It makes me want to scream, but I just chill
By the end of the week, how many punks must I kill?
I'm sticking up picnics, I'm robbing 'em good so after dark
Stay the fuck out the woods (You fucking punk!)
When I pop the trunk, hit the deck
""John Wayne couldn't even stand the reign of the Tec""
Head for the hills before you get wrecked
""John Wayne couldn't even stand the reign of the Tec"" (Repeat 2x)

Come on girl, don't give me that shit
Blast my nine to your spine, take your money then split
Audi, now your ass is ghost to me
Beatnuts on the loose sticking Hindu grocery shops
So what's up hops?
I shoot you with no problem, I'm used to shooting cops
I'll let you go this time, but next time you pop
That shit, your ass gets dropped

Yo, it's the gun-slinging lunatic demons outta hell
Intoxicated punks letting off bad smell
Beatnuts forever, die hard motherfuckers
Low-key deadly, taking out all suckers
Before you even step and try to play me, son
Bring heavy ammunition so you don't have to run
Take heed, this ain't something you should laugh to
Yo I'll shoot your moms if I have to
When I pop the trunk, hit the deck
""John Wayne couldn't even stand the reign of the Tec""
Head for the hills before you get wrecked
""John Wayne couldn't even stand the reign of the Tec"" (Repeat 2x)",https://genius.com/The-beatnuts-reign-of-the-tec-lyrics
Slam Pit,A Musical Massacre,1999.0,"Marlon: ""Yo it's, yo B""
(""Chill chill Marlon, chill"")
Marlon: ""Nah, yo, it's...I don't know this nigga B"" (""Chill Marlon"")
Marlon: ""Why yo yo, put that down B, I don't know you son!
I DON'T KNOW YOU SON! HOLD UP HOLD UP!""
*gunshots and screams*
""I Links with the Cuban""
""I'm hard to kill, for real nigga, guard your grill"" 

Yo flipmode is how this nigga roll
Finger on the trigger low
Quick to lick a shot for that bigger pot of gold
Lock and load, my heavy metal rock and rolls
If you gotta go, you gotta go
That's part of the show
My heart is cold like Antarctica, nailin niggas like carpenters
Stalkin the hardest squadrons
Spark them from New York to Arkansas
Watchin the projects how I got my logic
Economics is pickin pockets then we split the profit
The only shit I pop is when my Glock spit
Watch for the cops since we spark the chocolate
Cuz the blocks are hotter than the fuckin tropics
In topless bars, college girls with no bras
My whole squad got blowjobs smokin Godfather cigars
Live large like Scarface
Parlay in a far place
No car chasin, she's watchin all the stars in space
Safe in sound in my playground with my trey-pound
Got eighty rounds just in case clowns wanna play around
I lay it down for them non-believers
Them non-achievein niggas that wanna be leaders but can never beat us
Ya'll better greet us if you ever see us
TS, Beatnuts, knuckle up but grab your mothafuckin heaters, word up
""Slammin MC's on cement"" 
""The Beats and Nuts""
""Got you froze like gunpoint"" 
""It's the hard little pistol packin"" 

It's the control freak, leave you wit a hole in your cheek
Worst attitude in rap, Ju stay on the streets
I gotta eat, the only thing I'm playin is keeps
You beats cost a lot of money but they sound real cheap
You sound weak, anemic like you get no sleep
Fuckin with me, you outta your mind, get outta your jeep!
Know I'm gonna beat you till the police come
And tell niggas who the fuck I got that Rollie from (The Beats)

Jump in the Pit
Beatnuts fuckin up shit
Ju hold my gun and the clip
As I smoke one and spit
Ammo over the piano
For a man's show, you don't understand bro!
You do, don't make me laugh at your ass
Cuz you don't even know the HALF of the HALF!
When I crash on the scene
You know it's me and a bunch of crazy cats outta Queens
So hide your shine, hold your bitch and stop smiling
Beatnuts will never stop wildin
Pit Fighting and rockwilding!
""Common Sense gonna tell ya!""

Picture a king
Wit heater, holy book, and big rings
Real niggas doin big things
Interpreting dreams off of Jim Beam
Ain't shit Sweet but Sixteens
My gods got the block sewn to the inseem
I'm on the other side tryin to get green
So I fast at grass and ass at least a day
War with self I battle the Middle Eastern way
Bring heat like the months that's east of May
Casted in the role and saw a new school nigga that knows the old
G memory I hold the scroll, my flow is a Road
Less Travelled, you rock but been through less gravel
My mystique suggest battle, and what have you
Rip a nigga from New York to west coast, Chicago
Don't give a fuck where he from
He'll get beat like a drum
Till this rap goes numb, seekin the hot producer for circu-lation
I strangled his string music and suffocate his drum
Wanted to be a star until I seen I was the sun
Got my weight up like Pun
Improvise to get ass, emphasize to get past
Fuck a mic check, I bring my flow in cash
""Slammin MC's on cement""",https://genius.com/The-beatnuts-slam-pit-lyrics
Props Over Here,The Beatnuts: Street Level,1994.0,"Sho nuff with the funky bass in your face
New York City have mercy, have mercy one time
Introducing the crew...

Hey, you ain't really you and you ain't really down
Plus I'm tired of seeing your fucking phony face around
Cause when I sit back and think back on how you flam me
It make me react and be at my fucking jammy
Now I don't cock, though my mind's in the sewer
I just kick back with six-packs and then I do her
But she gets stuck on clawing like a cat
And cause them toes got sucked on she don't know how to act
Back in the days, I.S. 237
Used to run with Kevin, bagging hoes was like heaven
Eleven years later I try to hide
And hope they pass me by like I'm the the Pharcyde
Just let me puff and lounge with my niggas
Don't have no time to fake funk with triggers
Don't believe in kids with that puss cat scent
Fuck around with Fash and get your whole shit bent
Spent crazy years with the Blues paying dues
Before I met the Psychos and the Junkyard Jules
But now the crew combined and we can't be stopped
Going round the globe to collect our props

When I'm in New York, you know what I wanna hear
(Yeah you get props over here)
Come on, out in Cali, you know what I wanna hear
(Yeah you get props over here)
When I'm down in Detroit, you know what I wanna hear
(Yeah you get props over here)
Now when I'm out in Philly, you know what I wanna hear
(Yeah you get props over here)

I get stoned every day I got nothing else to do
I'm getting drunk with my niggas til the night is through
And when the night is through I won't have a fucking clue
Of what tomorrow will bring so I maintain (true)
Yo life's kind of funny
If you don't make money then your days ain't fucking sunny
Excuse me for my language but I'm trying to get my land stitched
Together, and build a crib for me and my damn bitch, I never
Had it like I deserve to have it
I whip it, I stab it, I grip it, I grab it
You silly rabbit, I'm coming at you pure
Tracks by the stacks, video and brochure
I'm sure, unlike others wanna pop
You's a piss drop, talking that shit you need to stop
Cause when I approach and you can't back up what you said
(Toma!) Fly you fucking head like that

Now when I'm in Atlanta, you know what I wanna hear
(Yeah you get props over here)
Texas, uhh, you know what I wanna hear
(Yeah you get props over here)
When I'm out in Chicago, you know what I wanna hear
(Yeah you get props over here)
Out in DC, you know what I wanna hear

Real niggas do real things and that's a fact
And real niggas could leave big holes in nigga's backs
And your life sounds like a heavy price to pay
For some bullshit that you ain't even had to say
But don't sweat that, cause I'mma let you keep your head
If I wanted you killed, you'd already be dead
I got a lot of things to do, a lot of money to make
I got no time for you and all the moves you fake
Taking care of business yeah without no doubt
And I'mma make a million dollars kid before I'm out
Yeah I gotta give a shout to my peeps in Corona
Going hand to hand getting loot on the corner
Life is full of stress and it wrecks my brain
So I puff the buddha bless and destroy the pain
I got a lot of things to do, a lot of money to make
I got no time for you and all the moves you fake

When I'm in Japan, you know what I wanna hear
(Yeah you get props over here)
When I'm out in London, you know what I wanna hear
(Yeah you get props over here)
Hey when I'm in Norway, you know what I wanna hear
(Yeah you get props over here)
And when I'm out in Paris, you know what I wanna hear
(Yeah you get props over here)",https://genius.com/The-beatnuts-props-over-here-lyrics
Look Around,A Musical Massacre,1999,"1999
Beatnuts, dead prez
CHORUS:
Everytime I look around, I see so much drama goin down
Everytime I look around, I see so much fakeness goin down

Why I'ma, be stingy when I can share
Why I'ma, be hateful if I could care
Why would I hate my own, and forsake my home
Why would I fuck around and get a jake my chrome
I wouldn't have to stick you if we all could eat
It wouldn't be no need for beef, dyin over streets
We don't even own anyway, you could get bucked off any day
We behind enemy lines, y'all still writin Henessy rhymes
While I'm tryin to get a good price for a nine
Feel like my life on the line
That's why a nigga be hype all the time
Ready for the revolution at the drop of a dime

I got a duty to have security for my niggas
My duty to serve the beautiful black sisters
A duty to stand with anybody that's with us
And fully criticize all bullshitters
There should be awards presented, to niggas who fight back
Like Panther jackets, or sisters who like gats
I'm a full blooded warrior, ready for change
Recognize any soldier that's doin the same
Because I love who I am, and that means everything to me
My life ain't worth
A damn unless I'm dealin with reality
When I look myself in the eyes it's
Just me
And I ain't gotta tell nobody no lies I feel free
And I would
Rather deal with the truth than falsehood
Than bein fake with my people and
Claimin it's all good
You can't run away from yourself so that's
Useless
If your word is bond then you don't have to make excuses
CHORUS

Yo as I sit and contemplate about the fate of my kids
If I die, is the state gonna snatch up my kids?
City life, no choice but to live by the knife
Put food on the table at whatever the price
My beautiful wife, all the time cookin precise
When there ain't no meat, she bless me with the eggs and the rice
Never think twice, I love you for the rest of my life
That's why I taught you how to shoot when situations get trife
Save the children from the evil that we smell in the air
Used to bein happy, now the feelin is rare
I'mma soldier in the struggle just tryin to prepare
Cuz when the revolution comes it ain't gon be fair

Yo it's the Beatnuts, dead prez, we connect like Tetris
How we comin at the world on some Malcolm X shit
So turn it up, so we can drop these gems quick
If you on some bullshit, then nigga hit the exit
There's enough cash, grass, and ass here for you and me
You wanna be greedy, sayin fuck the community
Watch out cuz life's gonna change very soon you see
I really don't believe we could ever have unity
This shit is serious we all tryin to have a milli stash
But love life cuz that's all a nigga really has
Love your fam, cuz that's all you really have
And handle your biz and stop bein a silly ass
Ayo it's gettin, gettin, it's gettin, gettin it's gettin kinda hectic
Slugs burn, so naturally thugs learn to stay vested
You need to learn a Psycho Les-son
And treat others the same way you wanna be respected, because...
CHORUS
Live together
Feed each other (feed each other)
Die together (die together)
Love each other (love each other)
Eat together (eat together)
Show each other (show each other)
Fight together (fight together)
Know each other (know each other)
(*2X*)
CHORUS

Bring the power back to the streets, where the people live
Bring the power back to the streets, where the people live
Brother, brother, there's too many of you dying
War is not the answer
Too many mothers crying, oh this is a revolution, yeah yeah yeah",https://genius.com/The-beatnuts-look-around-lyrics
