title,album,year,lyrics,urls
Friends,Escape,1984.0,"Friends ‎– how many of us have them?
Friends ‎– ones we can depend on
Friends ‎– how many of us have them?
Friends ‎– before we go any further, let's be
Friends

Is a word we use everyday
Most the time we use it in the wrong way
Now you can look the word up, again and again
But the dictionary doesn't know the meaning of friends
And if you ask me, you know, I couldn't be much help
Because a friend's somebody you judge for yourself
Some are ok, and they treat you real cool
But some mistake your kindness for bein' a fool
We like to be with some, because they're funny
Others come around when they need some money
Some you grew up with, around the way
And you're still real close to this very day
Homeboys through the Summer, Winter, Spring and Fall
And then there's some we wish we never knew at all
And this list goes on, again and again
But these are the people that we call friends

When we first went out together, we barely knew each other
We had no intentions, on becoming lovers
But in no time at all, you became my girl
Me and you, one on one, against the world
Talkin on the telephone for hours at a time
Or else I was at your house, or you was at mine
And then came the arguments and all kinds of problems
Besides making love, we had nothing in common
It could've lasted longer because it started out strong
But I guess we went about the whole thing wrong
'Cause out of nowhere it just came to an end
Because we became lovers before we were friends

Friends ‎– how many of us have them?
Friends ‎– ones we can depend on
Friends ‎– how many of us have them?
Friends ‎– before we go any further, let's be
Friends

You say you and your girlfriend were so tight
You took her out with you and your guy one night
She even had a set of keys to your home
And you shared mostly everything you owned
But as she shook your hand, she stole your man
And it was done so sweet, it had to be a plan
Couldn't trust her with cheese, let alone your keys
With friends like that you don't need enemies
You wonder how long it was all going on
And you’re still not sure if you’re glad he’s gone
You say, well if she took him he was never mine
But deep inside you know that's just another lie
And now you're kinda cold toward people you meet
'Cause of something that was done to you by some creep
But nevertheless, I'll say it again
That these are the people that we call friends

Friends ‎– how many of us have them?
Friends ‎– ones we can depend on
Friends ‎– how many of us have them?
Friends ‎– before we go any further, let's be
Friends",https://genius.com/Whodini-friends-lyrics
Freaks Come Out At Night,Escape,1984.0,"The freaks come out at night
The freaks come out at night
The freaks come out at night
(the freaks come out)
The freaks come out at night

Discos don't open till after dark
And it ain't till twelve till the party really starts
And I always had to be home by ten
Right before the fun was about to begin
Crowds of people lined up inside and out
Just one reason, to rock the house
But in the day time the streets were clear
You couldn't find a good freak anywhere, cause

The freaks come out at night
The freaks come out at night
The freaks come out at night
(the freaks come out)
The freaks come out at night

Now when freaks get dressed to go out at night
They like to wear leather jackets, chains and spikes
They wear rips and zippers all in their shirts
Real tight pants and fresh mini skirts
All kinds of colors runnin' through their hair
And you could just about spot a freak anywhere
But then again, you could know someone all their life
But might not know they're a freak unless you see them at night, cause

The freaks come out at night
The freaks come out at night
The freaks come out at night
(the freaks come out)
The freaks come out at night

Now the party's jumpin', the place is packed
And when the crowd's like this, I'm ready to rap
But before I could bust a rhyme on the mic
Freaks are all over me like white on rice
Freaks come in all shapes, sizes and colors
But what I like about 'em most is that they're real good lovers
They do it in the park, they do it in the dark
But most freaks are known for breakin' hearts
You could never tell what a freak was thinkin' of
And you may never catch a freak without at least one glove
And they don't walk, when they step, they strut
And nine times out of ten they drive you nuts
But take my advice, you don't stand a chance
Freaks are so bad they got their own dance
So if you wanna live a nice quiet life
Do yourself a favor, don't come out at night, cause

The freaks come out at night
The freaks come out at night
The freaks come out at night
(the freaks come out)
The freaks come out at night
Hut one, hut two
Hut hut hut

The freaks come out at night
The freaks come out at night
The freaks come out at night
(the freaks come out)
The freaks come out at night",https://genius.com/Whodini-freaks-come-out-at-night-lyrics
I’m a Ho,Back In Black,1986.0,"I'm ready
(here we go)
Yo, Donkey?
(Yo whassup man?)
Yo what's happening tonight, man?
(I'm goin' to check out a few skeezers over there, know what I’m saying?)
Yo, man I seen a lot of skeezers in this place tonight, man
(I know I'm ready to do the wild thing, know what I’m saying?)
(And, and, and, it goes a little something like this)

Some say it's an art, some say it's a shame
You would give me your body, before your name
But I'm a jigga-high, and I'm a gigolo
I'm a jigga wherever it can go
So later on don't act like you don't know
When I pick out the freaks in the front row
I'm the rapper J, that's the rapper Ex
We're known for playing tag team sex
When I get you in the house, you know what I do
Well, let me tell you a story that's definitely true
When I came to the party I was by myself
Nine times out of ten I'll leave with someone else
It's something about the way I rock the microphone
The ladies in the place wanna take me home
Stretch me out all along the couch
And show me what good lovin' is all about
So when I get 'em, then I let 'em
I throw my jimmy on the top and then I wet 'em

'Cause I'm a ho, you know I'm a ho
I rock three different freaks after every show
'Cause I'm a ho, you know I'm a ho
How do you know, because I told you so

Now the lover of many I just may be
But I'll never touch another man's property
So if you got a little momma, you wanna keep her neat
Then keep the little freak off my street
Because if she comes knocking at my door
It's my duty to give her what she came here for
What can I say? That's the life I live
Now how's your wife and my kid

'Cause I'm a ho, you know I'm a ho
I rock three different freaks after every show
'Cause I'm a ho, you know I'm a ho
How do you know, because I told you so

Now if I knock on your door you should open it up
You wanna know who it is, the neighborhood slutbuster
Been rocking freaks, all through the week
Now when I say freaks, I mean the ones with the sneaks
I mean the ones with the nerve, the ones with the guts
To call me a ho when they're giving it up
So I think it's about time you all learned a lesson
Slutbusters is our new profession

'Cause I'm a ho, you know I'm a ho
I rock three different freaks after every show
'Cause I'm a ho, you know I'm a ho
How do you know, because I told you so

A-dicky-dicky-dicky-dicky-dicky-dick-what?
A-dicky-dicky-dicky-dicky-dicky-dick-who?

Now if knock on your door, you should open it up
You wanna know who it is, the neighborhood slutbuster
Been rocking freaks, all through the week
Now when I say freaks, I mean the ones with the sneaks

A-dicky-dicky-dicky-dicky-dicky-dick-what?
A-dicky-dicky-dicky-dicky-dicky-dick-who?",https://genius.com/Whodini-im-a-ho-lyrics
Five Minutes of Funk,Escape,1984.0,"Now the party didn't start 'til I walked in
And I probably won't leave until the thing ends
But in the mean time, the in between time
If you work your thing, then I'll work mine
We came here together so we could have fun
Me and you baby, goin' one on one
Now this is the last chance for us to get off
So either get loose, or you aught to get lost
'Cause I'm just about ready to do my thing
'Cause I'm the stone cold, New York, Rap Machine
I'ma give you what I got, and baby that's plenty
And never has one man rocked so many
I'ma make you wet and make you sweat
Just to see how funky you can get
Now when I'm on the mic, I do serve well
And I go by the name of the Rapper Jalil
*Four minutes left*
Now sit back, relax, put on your head gear
Get ready for a trip through the Atmosphere
Gonna take you for a ride through the Twilight Zone
I don't need a space ship, I use my microphone
So hold on tight, with all your might
'Cause Ill be rappin' like this for the rest of the night
Its Jalil, yo, your master rapper
And when I'm on the mic its a sheer disaster
'Cause MC's crumble when we rumble
Some think I'm soft just because I'm humble
So all you MC's, I hope you're real good listeners
'Cause in this battle, I'm takin' no prisoners
I'm slayin' MC's right on the spot
'Cause I'm the the master of the Rap, the doctor of the Rock
The Jack of all Trades, The Master of One
And the thing I master is called havin' fun
We got three minutes left to rock this funk
To separate the good stuff from the junk, so
Get in the groove, and feel the sound
And once you're inside, spread yourself around
From the bottom to the top, the top to the bottom
Come on Master Dee and get funky while we got em
*Three minutes left*
Me and my partner, from the start
We usually get together, after dark
Sometimes to rap, sometimes to sing
In the Summer or the Winter cause it ain't no thing
And ever since I first came 'round
Side by side, we'd throw down
We came here to this here place
To serve you all right to your face
Because this jam here is our show stopper
We didn't wanna use it but I guess we gotta
We're the men of the hour, makin' the ladies scream and holler
Too hot to trot, too sweet to be sour
I'm gonna set the record straight
And I hope that it is not too late
If you want the best, I won't settle for less
Put your money on me, I'm your best bet
Come on
One for the treble
Two for the Bass
Three for the ladies
Four for the plaid
Five, minutes of funk, this ain't no junk
So pull your bottom off the tree stump
Ladies real pretty, from city to city
But now we're gettin' down to the nitty gritty
From the bottom to the top, the top to the bottom
*Two minutes left*
I'm gonna rock em, while I still got em
Our rappin' shower has style and power
And this, is our disco hour
I don't know what all of you have heard
So it's up to me to spread the word
About the man that we feel has got to be real
Our crowned Prince on the wheels of steel
He goes by the name of Grandmaster Dee
So if its alright with you, its alright with me
We gonna rock you people's minds with ease
With some help from the Maestro, if you please
*One minute left*
*Im sorry, your five minutes are up, please begin your ending, or your volume will be interrupted*",https://genius.com/Whodini-five-minutes-of-funk-lyrics
One Love,Back In Black,1986.0,"From the L to the O and the V to the E
The L... the O... and the V... the E
Love... love... love

The words love and like both have four letters
But they’re two different things altogether
'Cause I've liked many ladies in my day
But just like the wind they've all blown away
See to love someone is an atmosphere
That you both still share when one's not there
There's no real way it can be explained
I guess it's the way I smile when I hear your name
It's the little things you do that mean so much
It's the care that you put into every touch
It's the way I trust you, and you trust me
I guess some of us are so lucky

I was known for having the upper hand
I was known as a stone cold ladies' man
If it wasn't for you, I'd be that way still
But lately there's a change in Jalil
Though my friends play games, and tease me a lot
I know I'm more than happy with what I got
When I get up in the morning, and go to work
See all day long I stay alert
Until we come home at night, and close the doors
Two people sharing one common cause
When I say one love, you can trust me
'Cause never have I been so lucky

One love, one love
You're lucky just to have just one love
One love, one love
You're lucky just to have just one
One love, one love
You're lucky just to have just one love
One love, one love
You're lucky just to have just one
One love, one love
You're lucky just to have just one love

Now the love I used to have just left me cold
I used to buy her everything from diamonds to gold
At first I thought she'd left me 'cause I didn't buy her enough
But then she left me a note along with all my stuff
Said ""Maybe one of these days you'll have to learn
That love is something that you gotta earn
And once you earn it gotta know how to keep it
You got to want it as well as you need it""
To have lost love was a hurtin' lesson
But to have had love was a definite blessing
And I know what the Beatles were thinking of
When they said that money can't buy me love

When you say lost love, what do you mean?
I just went through the exact same thing
Mind was lost for a whole different reason
I lost my love because of cheatin'
Started goin' through the streets all day and night
I guess greedy best describes such an appetite
I wish I had her back, but it remains a wish
I guess a bird in the hand beats two in the bush
I'd like to thank you girl for teaching me love
Because all in all I had a ball
Guess it's better to have loved and to have lost
Then to never have loved at all

One love, one love
You're lucky just to have just one love
One love, one love
You're lucky just to have just one
One love, one love
You're lucky just to have just one love
One love, one love
You're lucky just to have just one
One love, one love
You're lucky just to have just one love

Now I think it's 'bout time that we break it down
This is all about the love that we lost and found
About the love that we missed, and the love we shared
About the love that just up and disappeared
About who's was for real and who was fake
So you can learn from our mistakes

'Cause it was already written, done and said
So you can stay two steps ahead
The L is for the love which you give
The O is for the one who we live
And the V is for the vibrant letter
The E means may we last forever

One love, one love
You're lucky just to have just one love
One love, one love
You're lucky just to have just one
One love, one love
You're lucky just to have just one love
One love, one love
You're lucky just to have just one
One love, one love
You're lucky just to have just one love
One love, one love
You're lucky just to have just one love
One love, one love
You're lucky just to have just one
One love, one love
You're lucky just to have just one love
One love, one love
You're lucky just to have just one",https://genius.com/Whodini-one-love-lyrics
Big Mouth,Escape,1984.0,"A big mouth, a big mouth!
There’s a rumor bein’ spread about me and the crew
About somethin’ we did or supposed to do
You might not have heard it or maybe you have
But when I first heard it all I did was laugh
I used to get angry and all uptight
But you could say what you want, just spell my name right
‘Cause all I’m ever guilty of is rockin’ the house
But that’s not what the rumor was all about
Now if you like me then tell all your friends
And if you don’t wait until you see me again
This way I could hear it from the horse's mouth
And right then and there we could straighten it out
Because I don’t get involved with he said, she said
So take my advice and quit while you’re ahead
Because one day I might not laugh
The day your mouth writes the check your behind can’t cash
You got a big mouth, a big mouth
You got a big mouth, a big mouth
A big mouth!
People used to say that you had a big mouth
And now I understand what they’re talkin’ about
Because what we do is just between me and you
Not somethin’ that you run and tell your crew
But you had to tell Sharon and she told Carol
Then the story rolled on just like a wheel barrel
Carol told Dee Dee and she told Pam
And Pam was overheard talkin’ to her man
Pam was told Cookie what she thought she heard
And somehow Easy E had got the word
He told somebody I knew from uptown
And they called me up and put me down
Now the whole darn story’s been changed around
And that’s the reason why I’m not with you now
Because you never shoulda opened your mouth at all
And I wouldn’t have no reason to make this call
You got a big mouth, a big mouth
You got a big mouth, a big mouth
A big mouth!
Now you’re the Don Dapper of the neighborhood
And every time I see you you’re up to no good
You’re just like a snake crawlin’ on the ground
Lookin’ for some new dirt to spread around
Then you stick out your tongue and start spreadin’ lies
And now somebody else has been victimized
You may stop for a while, then you’re at it again
And you always got to have the last word in
They call your mouth almighty, tongue everlastin’
You ain’t satisfied unless somethin’s happenin’
You don’t have to be there no more than a minute
But you always got to have your two cents in it
So to all you big mouths this jam’s for you
Some’in’ else you could run and go tell your crew
‘Cause we made to be big so we could rock the house
But we also made it big enough to fit in your mouth!
You got a big mouth, a big mouth
You got a big mouth, a big mouth
A big mouth!
You got a big mouth, a big mouth
You got a big mouth, a big mouth
A big mouth!",https://genius.com/Whodini-big-mouth-lyrics
Funky Beat,Back In Black,1986.0,"Extra, extra read all about it
Whodini drops another one in everybody's face
And dig it, they call this one Grandmaster Dee's ""Funky Beat""
Film at 11

Funky beat, funky beat
Funky beat, funky beat, funky beat
Funky beat, funky beat, funky beat

Right here and now, I do declare
This to be the new funky beat of the year
If you want a funky beat, why not use mine?
I be rocking funky beats, all the time
So now's the time, and this is the chance
Cause the next record might not make you dance
Cause funk ain't nothing but a four letter word
That's often spelled but seldom heard
Listen to the bass drum hit the ground
The bass sounds like it weighs at least a pound
You heard the drum roll, there was a glare in your eye
But tell me the truth, are you that surprised?
We make beats with rhythm and rhythm with beats
Hear my records in the clubs, as well as the streets
So to all you emcees, that's looking for an idol
Jalil is my name, Master Rapper's my title

This beat here will be served and deserved
We'll rock on point, and turn all curves
We'll rock every beat with the greatest of ease
And if you try and drum roll us - we'll bob and weave
We'll slip and slurk, tear off our shirt
Just to show you what it's like when a rapper's at work
So from now until the man who we feel
Is gonna go rocking on the wheels of steel
Grandmaster Dee, hit me!

Funky beat, funky beat, funky beat
Funky beat, funky beat, funky beat

Now you heard DJ's on the record scratch
But how many have you heard bust a rap?
My DJ, Grandmaster Dee
He raps on the mic with Ecstasy and me
And when we're at the party, we turn it out
Cause that's what Whodini is all about
I am the rapper that they call Jalil
Master Dee is the one on the wheels of steel
Behind the turntable, one and two
Something from Whodini, special for you (yo)
You (yo) you (yo) you (yo) you (yo)
You, you, you, yo' Drew!

Yo last 
Fresh Fest
 I was rockin ""Good Times""
This Fresh Fest I'm busting out rhymes
When I'm on the set I take total control
I rock your mind, yo' feet, your body, your soul
Other DJs may stop and stare
But when I'm on the set, I show no fear
I rock the beat because it is bad
Jam the other the DJs know that I am
Def, def, def, def, yo Ex!

The point we tried to make, is simple
On the turntables he's quick and nimble
Since he's here we're gonna prove our point
Now that Whodini's inside the joint
Born and raised in the streets of Brooklyn
There are three of us, and we're all good looking
Young ladies hearts, we're sho' to win
Cause like five plus five we equal ten
So easy on the tweeter, heavy on the bass
With some help from Master Dee we're gonna rock
My time is up, it's on you Jalil

All DJs aren’t created equal
To this rap there will be no sequel
People like you must understand
That all rap groups don't need no band
All we need in order to achieve
Is some help from the Master you better believe
And you'll get results, and not insults
And that's the way our business is dealt

The words we speak are so explicit
We rock from the Atlantic to the Pacific
We're the men with the international beeper
But call us at night because our rates are cheaper
And it's our intent to represent
The DJ that'll give you one hundred percent
Mo' excitement than a one man band
Too good to be great so we call the man Grand
Master Dee
Ooh-wee! (9x)

Funky beat, funky beat, funky beat
Funky beat, funky beat, funky beat
Funky beat, funky beat, funky beat
Funky beat, funky beat, funky beat
Funky beat
(Repeat 1x)",https://genius.com/Whodini-funky-beat-lyrics
Haunted House Of Rock,Whodini,1983.0,"Welcome to the place where all the creatures meet
The last building to your left on a dead-end street
You'll find skeleton bones outside on the pavement
And torture chambers down in the basement
Cobwebs hangin' over your head
And music bein' played by the Grateful Dead
And spinnin' on the turntables back to back
Is no other than my main man wolfman Jack
The M.C. of the night rappin' to the tunes
Was the creature from the black lagoon
There's a sign on the door that can't be missed
It reads: ""Enter... But at your own risk""
'Cause people seen reported goin' in the haunted house
But never again seen comin' out
You ask me if it's true
I'll leave it up to you
Here's an invite
I hope I see you tonight

We sent out invitations for weeks and weeks
We invited in all kinds of creeps
Like Dr. Jekyll and Mr. Hyde
The Addams family and the monster five
The invisible man
Where could he be? We know he got inside the party free
One of these days they're gonna catch him red-handed
If not for sneakin' in free
For being a booty bandit
The bartender was cute
But kinda hairy
And Dracula was killin' those Bloody Marys
He got drunk as a skunk
And started trouble all night
But everybody knew his bark was bigger than his bite
It was the only place for you to be
The first 200 witches in the party were free
And all was well until the clock struck 12
Everybody jumped up and started raisin' hell

They were screaming
They were breakin'
They were foaming at the mouth
Just minor side effects of the haunted house
You'll have haunted dreams all in your sleep
You'll be tossin' and turnin' to the funky beat
Frankenstein was there with some crazy looking chick
I think she said her name was ""Voodoo on a stick""
She had a big fat head and a skinny body
I wouldn't be caught with her alone
There is none at a party
Igor was there with the monster crew
I seen everybody there except you
Why didn't you come?
Weren't you prepared?
Or could it be that you were scared?
It's just not fair that you couldn't be there
Because you really missed a lot, I'm tellin' you
We really brought the place down at the haunted house of rock!",https://genius.com/Whodini-haunted-house-of-rock-lyrics
Escape (I Need a Break),Escape,1984,"Escape, gotta get away
I need a break, gotta get away
I left my house this morning on my way to work
Some lady on the train spilled coffee on my shirt
And people started laughing like the whole thing was funny
I woulda went home except I need the money
'Cause times is hard, my boss is crazy
The guy that works with me he's so damn lazy
Sits around all day drinks coffee and tea
He expects all the work to be done by me
And sometimes I wonder what they hired me for
To operate computers or run to the store
And when I ask for a raise, they tell me be patient
I've been working three years without a damn vacation
Things could be better but they're gettin' worse
Until I got this job I never used to curse
Well, I've had it up to here with people treating me wrong
Somebody tell the DJ to play my song!
Escape, gotta get away
I need a break, gotta get away
I buy a lottery ticket every chance I get
And if I hit I got someplace my boss can kiss
My friends are backstabbing so I hang out alone
Think it's crazy on my job it's no better at home
My girl's half-mad, she drives me wild
All she ever cares about is rippin' the styles
She wants diamonds, furs, and now she wants kids
But what she needs is somewhere else to live
My psychiatrist tells me to give her more time
But one more second might blow my mind
The pressure's building up on me more and more
It's gotten so I'm doing things I've never done before
I need a break, y'all, I can't take this place
I feel locked up and I wanna escape
And I wanna escape, and I wanna escape, escape, escape, escape, escape, escape! escape, escape
So you wanna leave your job, but you need the funds
Take a sick day off and find another one
And if your girl or your man ain't treatin' you right
Just the same buncha headaches night after night
Don't go crazy trying to please somebody else
You don't owe them a thing but you owe it yourself
So do what you gotta in order to escape
Take it from me it's never too late
'Cause I'm breaking these chains I may never come back
Going to go out and give myself a rap attack
And if I like it a lot I'm going to make it a double
And if you stand in my way you're looking for trouble
There's only one way for me to have peace
And that's for me to go out and rock the beat, ha
So turn up the highs, boost up the bass
Come on everybody let's rock the place!
Gotta get away
Escape, gotta get away
I need a break
Gotta get away
Escape, gotta get away
I need a break, gotta get away",https://genius.com/Whodini-escape-i-need-a-break-lyrics
Magic’s Wand,Whodini,1982.0,"Oh my God, I think I'm having a rap attack

Somebody get a doctor!
Quick, man
She's having an attack!

She said “Rap attack"", man, not “Heart attack”

Oh, you mean she's alright then, right?

Of course, man
You never heard of a Mr. Magic Rap Attack?
Where is this guy from, man?

Oh, I heard of a heart attack or a Big Mac attack
But what's a rap attack?

Come here, man, I see I'ma
Have to explain it to you like this
See, a rap attack means

Deejays jammin' in the street
MC's rappin' to the beat
The people downstairs sayin' they can't sleep
'Cause the people upstairs are stompin' their feet
It's not like they're startin' a riot
“We'll call the cops, 'cause we want some quiet!”
There's no need for them to get excited
They're just mad because they're not invited
(It's all in Mr. Magic's Wand)

Oh see, now I understand what a rap attack is

Well, it's about time!

All you had to do is explain it to me
But let me ask you a question:
“How long have they been rockin' like this?”

Well, rapping's always been around
(Well, it says that it's big time now)
Every neighborhood had its own crew
(That meant you against me) and me against you
(They would jam every weekend at the neighborhood center)
And charge a small price for the crowds to enter
(The parties would be packed inside and out)
To see who was best at rockin' the house
(It's all in Mr. Magic's Wand)

Then Magic went on the radio
And everybody said: “What a way to go!”
The moment he went on the air
It was plain to see a new phase was here
He started out playing mostly rap
Then they all said: “Nobody's into that”
Well, they all turned out to be wrong
Cause rappin' on the mike had caught on strong
Some still say it's not what's happenin'
After 'Rapper's Delight' went triple platinum
The record world was in for a smash
Sugarhill, Kurtis Blow, to Grandmaster Flash
Blondie, Stevie Wonder, Teena Marie
They even made a rapper out of me
In no time at all, a star was born
And I think he owes it all to his Magic Wand

Now that you heard our rap and you caught a contact
(And by now you're all to be blasted)
We want you all to know that we got to go
(But it was big fun while it lasted)
Hey y'all, but we'll be back again, so tell all your friends
(Good things don't always come to an end)
With somethin' innovative (To rock you all well)
From Ecstasy (And the Rapper Jalil)",https://genius.com/Whodini-magics-wand-lyrics
